Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,49.5,49.72,49.46,49.72,42.9491,1597235
2020-01-03,49.05,49.3279,49.05,49.08,42.3962,1486892
2020-01-06,48.88,49.2,48.87,49.2,42.4999,1947924
2020-01-07,49.14,49.165,49.02,49.1,42.4135,1026558
2020-01-08,49.03,49.36,48.99,49.23,42.5258,1544223
2020-01-09,49.39,49.41,49.2701,49.36,42.6381,1792480
2020-01-10,49.44,49.5334,49.26,49.3,42.5862,2213648
2020-01-13,49.44,49.73,49.35,49.73,42.9577,2843178
2020-01-14,49.56,49.73,49.55,49.68,42.9145,1316921
2020-01-15,49.61,49.68,49.53,49.57,42.8195,1160329
2020-01-16,49.72,49.84,49.71,49.83,43.0441,667239
2020-01-17,49.95,50.03,49.875,50,43.1909,1036977
2020-01-21,49.58,49.6154,49.39,49.39,42.664,1528614
2020-01-22,49.69,49.7,49.495,49.57,42.8195,1369546
2020-01-23,49.24,49.425,49.005,49.39,42.664,2102110
2020-01-24,49.52,49.52,48.98,49.1,42.4135,1132860
2020-01-27,47.96,48.18,47.82,47.97,41.4374,2456936
2020-01-28,48.19,48.43,48.065,48.39,41.8002,2567969
2020-01-29,48.56,48.59,48.363,48.42,41.8261,937049
2020-01-30,47.89,48.25,47.731,48.23,41.662,1485501
2020-01-31,47.69,47.73,47.205,47.44,40.9795,2627553
2020-02-03,47.52,47.8051,47.52,47.57,41.0918,1691450
2020-02-04,48.42,48.61,48.39,48.47,41.8693,4768753
2020-02-05,49.06,49.06,48.79,48.89,42.2321,806873
2020-02-06,49.12,49.14,48.98,49.02,42.3444,4088115
2020-02-07,48.68,48.69,48.47,48.52,41.9125,1220610
2020-02-10,48.44,48.66,48.44,48.66,42.0334,622052
2020-02-11,49.05,49.19,48.93,49,42.3271,3224072
2020-02-12,49.3,49.37,49.22,49.36,42.6381,895609
2020-02-13,48.9,49.09,48.8273,48.93,42.2666,891330
2020-02-14,49.01,49.01,48.77,48.91,42.2494,688496
2020-02-18,48.55,48.68,48.5,48.58,41.9643,885990
2020-02-19,48.8,48.897,48.78,48.83,42.1803,633418
2020-02-20,48.6,48.6697,48.18,48.43,41.8347,1284583
2020-02-21,48.28,48.33,48.1,48.18,41.6188,795843
2020-02-24,46.29,46.69,46.24,46.4,40.0812,4278026
2020-02-25,46.72,46.773,45.71,45.73,39.5024,3966140
2020-02-26,46.18,46.47,45.83,45.88,39.632,2491181
2020-02-27,45.17,45.6,44.55,44.55,38.4831,3774570
2020-02-28,43.48,44.34,43.14,44.28,38.2499,1749930
2020-03-02,44.37,45.025,43.97,44.99,38.8632,2356179
2020-03-03,45.21,45.76,44.31,44.7,38.6127,2326025
2020-03-04,45.38,45.8,45.065,45.76,39.5283,812260
2020-03-05,44.92,45.2,44.5,44.67,38.5868,1178831
2020-03-06,43.84,44.17,43.55,44.02,38.0253,1429209
2020-03-09,41.09,41.66,40.46,40.5,34.9846,1541995
2020-03-10,42.06,42.19,40.85,42.1,36.3668,4135705
2020-03-11,41.06,41.12,39.8,40,34.5527,2467478
2020-03-12,37.05,37.25,35.235,35.55,30.7087,3355326
2020-03-13,38.03,38.3,35.9,37.9,32.7387,1884330
2020-03-16,33.63,35.2934,32.9571,33.75,29.1539,2439503
2020-03-17,34.49,35.74,33.96,35.57,30.726,4880323
2020-03-18,33.19,34.2,32.4,33.17,28.6529,2380260
2020-03-19,33.1,34.35,32.7501,33.67,29.0848,5104317
2020-03-20,34.68,35.12,33.42,33.42,28.8688,2980945
2020-03-23,33.41,33.67,32.59,32.8,28.3332,5159266
2020-03-24,35.14,35.77,34.935,35.55,30.7087,3448758
2020-03-25,36.13,37.45,35.65,36.98,31.944,4678127
2020-03-26,37.11,38.48,37.11,38.45,33.2138,4881594
2020-03-27,36.9,37.64,36.56,37.02,31.9786,4124906
2020-03-30,37.08,37.65,36.83,37.62,32.4968,7849358
2020-03-31,37.3,37.92,37.16,37.65,32.5228,4745487
2020-04-01,36.43,36.7,35.85,35.85,30.9679,4048665
2020-04-02,36.08,36.9,36.045,36.7,31.7021,2932848
2020-04-03,36.37,36.47,35.78,35.95,31.0543,2892262
2020-04-06,37.23,37.97,37.18,37.84,32.6869,3162780
