Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,74.9,74.9,74.612,74.85,64.6617,1444926
2020-01-03,74.31,74.71,74.3099,74.41,64.2816,888240
2020-01-06,74.37,74.6,74.27,74.56,64.4112,1065878
2020-01-07,74.65,74.69,74.43,74.45,64.3161,696870
2020-01-08,74.42,74.66,74.3437,74.45,64.3161,989834
2020-01-09,74.61,74.72,74.53,74.72,64.5494,739608
2020-01-10,74.72,74.83,74.53,74.6,64.4457,713939
2020-01-13,74.68,74.92,74.53,74.89,64.6962,996236
2020-01-14,74.89,75.12,74.8665,75.08,64.8604,794208
2020-01-15,75.16,75.29,75.0084,75.22,64.9813,818709
2020-01-16,75.39,75.5,75.2786,75.49,65.2146,819195
2020-01-17,75.66,75.76,75.55,75.75,65.4392,943457
2020-01-21,75.69,75.69,75.43,75.44,65.1714,789534
2020-01-22,75.79,75.81,75.5969,75.63,65.3355,954097
2020-01-23,75.61,75.715,75.3381,75.68,65.3787,1115754
2020-01-24,75.94,75.94,75.44,75.56,65.275,857105
2020-01-27,74.73,74.73,74.34,74.39,64.2643,929096
2020-01-28,74.66,74.95,74.61,74.89,64.6962,1021204
2020-01-29,75.07,75.16,74.88,74.96,64.7567,886355
2020-01-30,74.74,75.14,74.61,75.14,64.9122,883314
2020-01-31,74.76,74.76,74.14,74.3,64.1865,1166482
2020-02-03,74.52,74.6351,74.315,74.41,64.2816,638324
2020-02-04,74.99,75.07,74.9,74.94,64.7394,1050129
2020-02-05,75.54,75.54,75.31,75.51,65.2318,939187
2020-02-06,75.69,75.6925,75.535,75.66,65.3614,874134
2020-02-07,75.38,75.43,75.1817,75.19,64.9554,873111
2020-02-10,75.07,75.37,75.07,75.37,65.1109,644484
2020-02-11,75.7,75.74,75.54,75.63,65.3355,1379714
2020-02-12,75.65,75.65,75.44,75.63,65.3355,1250327
2020-02-13,75.18,75.5399,75.175,75.34,65.085,931056
2020-02-14,75.45,75.45,75.28,75.4,65.1368,955930
2020-02-18,75.21,75.355,75.17,75.26,65.0159,660893
2020-02-19,75.56,75.56,75.33,75.34,65.085,746918
2020-02-20,74.96,74.975,74.4387,74.75,64.5753,1098829
2020-02-21,74.62,74.7,74.45,74.6,64.4457,940280
2020-02-24,72.7,72.88,72.35,72.41,62.5538,1450591
2020-02-25,72.64,72.64,71.28,71.39,61.6726,1508574
2020-02-26,71.68,72.12,71.35,71.35,61.6381,1810997
2020-02-27,70.55,70.94,69.49,69.53,60.0658,2787590
2020-02-28,68,68.96,67.49,68.82,59.4525,4862719
2020-03-02,68.96,69.93,68.765,69.88,60.3682,3624569
2020-03-03,70.61,71.2,69.39,69.81,60.3077,3099897
2020-03-04,71,71.64,70.5144,71.55,61.8109,2446504
2020-03-05,70.79,71.23,70.4,70.73,61.1025,1305721
2020-03-06,69.87,70.22,69.4359,70.13,60.5842,2371135
2020-03-09,66.03,67.5,65.55,66.08,57.0854,2570688
2020-03-10,67.95,67.95,65.87,67.5,58.3121,3044560
2020-03-11,66.27,66.55,64.61,65.02,56.1697,2804567
2020-03-12,60.2,60.7971,57.107,57.72,49.8634,4291343
2020-03-13,60.83,61.7213,58.1,60.67,52.4118,3511871
2020-03-16,58.85,58.85,53.83,55.08,47.5827,3920592
2020-03-17,56.86,59.56,56.82,59.42,51.332,3894737
2020-03-18,56.2,58,55.135,57.03,49.2673,3706398
2020-03-19,56.46,58.02,56.033,56.75,49.0254,2806867
2020-03-20,57.15,58.37,55.6,55.73,48.1442,2746454
2020-03-23,55.51,56.17,54.51,54.87,47.4013,4338113
2020-03-24,57.68,58.82,57.52,58.21,50.2867,2831878
2020-03-25,58.93,60.86,58.2639,59.9,51.7466,3358023
2020-03-26,60.44,62.94,60.3,62.86,54.3037,3361043
2020-03-27,60.9,62.54,60.51,61.46,53.0943,2406172
2020-03-30,61.81,62.9324,61.53,62.84,54.2864,2151594
2020-03-31,61.77,62.55,61.425,62.05,53.604,2448768
2020-04-01,60.03,60.8384,59.71,59.74,51.6084,2992976
2020-04-02,59.67,60.765,59.67,60.64,52.3859,1774985
