Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,2315,2336.455,2300.56,2331.25,2331.25,63358
2020-01-03,2317.5,2330.8784,2309,2322.5,2322.5,176434
2020-01-06,2302,2304.82,2279.5,2291,2291,191660
2020-01-07,2301.5,2307,2293,2301.5,2301.5,132936
2020-01-08,2282,2305.75,2277.5,2305.75,2305.75,121068
2020-01-09,2334.5,2353,2331.41,2336,2336,122979
2020-01-10,2346.5,2357,2343.3,2351,2351,107332
2020-01-13,2377,2387.5,2373.5,2385,2385,152027
2020-01-14,2380,2388,2374.5,2376,2376,101006
2020-01-15,2367.5,2374.797,2364.5,2364.5,2364.5,91196
2020-01-16,2371,2376.62,2365.5,2368.75,2368.75,72644
2020-01-17,2372,2385.5,2367.6,2381.5,2381.5,140020
2020-01-20,2388.5,2389,2381.674,2383.75,2383.75,185153
2020-01-21,2344.5,2344.5,2326.8999,2339.5,2339.5,419894
2020-01-22,2357,2358,2328.5,2333,2333,1406573
2020-01-23,2314,2315,2293,2293,2293,113481
2020-01-24,2323,2331.5,2309.5,2316.5,2316.5,189449
2020-01-27,2248,2250,2199.9,2222.5,2222.5,367837
2020-01-28,2245.5,2265,2228.4,2259.25,2259.25,386441
2020-01-29,2275.5,2280.85,2263,2268,2268,191607
2020-01-30,2218.5,2231.5,2196.82,2200.75,2200.75,198489
2020-01-31,2197.5,2197.7,2152.15,2152.75,2152.75,1132552
2020-02-03,2177.5,2217,2171.65,2212,2212,159553
2020-02-04,2264.5,2274.25,2259.66,2274.25,2274.25,196114
2020-02-05,2259.5,2310.5,2253.725,2288,2288,406020
2020-02-06,2309,2312.5,2295,2303,2303,119876
2020-02-07,2293,2295.35,2260,2275.75,2275.75,365554
2020-02-10,2288,2288,2265.1,2274.5,2274.5,187745
2020-02-11,2301.5,2309,2289.5,2306.5,2306.5,1841210
2020-02-12,2311.5,2323,2311,2322.5,2322.5,316884
2020-02-13,2305,2308.5,2281.4,2289.5,2289.5,169451
2020-02-14,2296,2303.9,2294,2294,2294,192851
2020-02-17,2305.5,2309.5,2301.16,2308.5,2308.5,158009
2020-02-18,2279.5,2284.5,2271.5,2272,2272,115073
2020-02-19,2296.5,2308.85,2293,2308.5,2308.5,117044
2020-02-20,2314.5,2314.5,2282.25,2282.25,2282.25,81418
2020-02-21,2283.5,2283.5,2254,2264.25,2264.25,160197
2020-02-24,2215.5,2216,2167.5,2180.75,2180.75,178144
2020-02-25,2212.5,2214.2,2165.1601,2169.25,2169.25,187200
2020-02-26,2173.5,2204,2149.575,2201.25,2201.25,349226
2020-02-27,2180,2188.3399,2126.8778,2147,2147,358737
2020-02-28,2093,2105.96,2063.1845,2102.5,2102.5,385089
2020-03-02,2163.5,2179,2117,2155,2155,336686
2020-03-03,2172,2209.6333,2166.3836,2181.5,2181.5,581810
2020-03-04,2188.5,2207.5,2181.5,2188.5,2188.5,197329
2020-03-05,2200.5,2200.5,2159.5,2166,2166,602102
2020-03-06,2117,2122.75,2068,2074.5,2074.5,128299
2020-03-09,2000,2000,1897.0893,1926,1926,289219
2020-03-10,1982.5,2023.96,1977.05,1984,1984,176264
2020-03-11,2001,2008.2555,1970.7853,1981.25,1981.25,152763
2020-03-12,1883,1888.2211,1762,1762,1762,146622
2020-03-13,1900,1978.5,1849,1896.5,1896.5,184046
2020-03-16,1836.5,1836.5,1730.915,1794.5,1794.5,239374
2020-03-17,1842.5,1881.08,1757.04,1848,1848,377900
2020-03-18,1764.5,1805.64,1738,1774.25,1774.25,394292
2020-03-19,1767.5,1806,1737,1754,1754,295805
