Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,100.27,100.4882,100.27,100.41,86.9091,16051
2020-01-03,100.41,100.5175,100.3332,100.385,86.8875,11771
2020-01-06,100.51,100.5664,100.3226,100.37,86.8745,23358
2020-01-07,100.45,100.45,100.2758,100.41,86.9091,14581
2020-01-08,100.38,100.42,100.3129,100.35,86.8572,14062
2020-01-09,100.31,100.421,100.31,100.38,86.8831,8814
2020-01-10,100.54,100.54,100.3,100.3,86.8139,5854
2020-01-13,100.33,100.47,100.33,100.42,86.9178,12343
2020-01-14,100.4,100.534,100.38,100.395,86.8961,20199
2020-01-15,99.92,100.4571,99.92,100.415,86.9134,14002
2020-01-16,100.57,100.57,100.2212,100.44,86.9351,9754
2020-01-17,100.47,100.47,100.2126,100.44,86.9351,6958
2020-01-20,100.42,100.5005,100.3489,100.43,86.9264,22260
2020-01-21,100.54,100.5461,100.2319,100.43,86.9264,39673
2020-01-22,100.38,100.5356,100.2435,100.42,86.9178,17382
2020-01-23,100.41,100.5,100.3746,100.45,86.9437,9147
2020-01-24,100.33,100.561,100.33,100.47,86.961,8558
2020-01-27,100.34,100.523,100.34,100.465,86.9567,8162
2020-01-28,100.4,100.5624,100.4,100.455,86.948,13184
2020-01-29,100.28,100.516,100.28,100.475,86.9654,14420
2020-01-30,100.51,100.6288,100.3988,100.48,86.9697,4963
2020-01-31,100.47,100.5988,100.3688,100.43,86.9264,11968
2020-02-03,100.8,100.8,100.3588,100.46,86.9524,15008
2020-02-04,100.41,100.7722,100.41,100.47,86.961,9124
2020-02-05,100.46,100.5146,100.3844,100.42,86.9178,12000
2020-02-06,100.42,100.5719,100.4063,100.48,86.9697,11230
2020-02-07,100.53,100.53,100.3853,100.45,86.9437,12112
2020-02-10,100.61,100.61,100.4045,100.46,86.9524,8843
2020-02-11,100.44,100.629,100.4225,100.49,86.9783,9546
2020-02-12,100.38,100.6192,100.38,100.52,87.0043,18019
2020-02-13,100.43,100.6206,100.4224,100.51,86.9957,19941
2020-02-14,100.54,100.5687,100.4589,100.535,87.0173,15981
2020-02-17,100.44,100.56,100.44,100.51,86.9957,8972
2020-02-18,100.54,100.6015,100.4522,100.51,86.9957,8043
2020-02-19,100.55,100.569,100.4587,100.52,87.0043,4452
2020-02-20,100.59,100.6501,100.4444,100.52,87.0043,9166
2020-02-21,100.5,100.6024,100.4551,100.53,87.013,7203
