Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-02,100.92,100.92,100.67,100.735,93.2086,14401
2024-01-03,100.72,100.84,100.6698,100.715,93.1901,15129
2024-01-04,100.85,100.85,100.58,100.76,93.2318,7394
2024-01-05,100.75,100.8,100.71,100.77,93.241,12359
2024-01-08,100.71,100.92,100.71,100.78,93.2503,20757
2024-01-09,100.86,100.91,100.71,100.855,93.3197,22388
2024-01-10,100.91,100.94,100.79,100.8,93.2688,5910
2024-01-11,100.91,101,100.8339,100.925,93.3844,27944
2024-01-12,100.97,101.0707,100.9,101.02,93.4723,13062
2024-01-15,100.98,101.09,100.9,100.97,93.4261,14381
2024-01-16,101.27,101.27,100.83,100.91,93.3705,21334
2024-01-17,101,101.02,100.84,100.905,93.3659,20040
2024-01-18,100.87,101.0818,100.87,101.04,93.4908,67954
2024-01-19,101.08,101.13,101.03,101.13,93.5741,49811
2024-01-22,101.03,101.13,101.02,101.075,93.5232,14314
2024-01-23,101.17,101.2,100.92,101.08,93.5278,43637
2024-01-24,101.14,101.2556,101.051,101.12,93.5649,12696
2024-01-25,100.98,101.21,100.98,101.15,93.5926,6618
2024-01-26,101.08,101.24,101.08,101.2,93.6389,9412
2024-01-29,101.1,101.26,101.1,101.21,93.6481,8977
2024-01-30,101.33,101.3622,100.9,101.225,93.662,6849
2024-01-31,101.25,101.33,101.17,101.275,93.7083,13565
2024-02-01,101.09,101.4215,101.09,101.285,93.7175,13887
2024-02-02,101.29,101.37,101.21,101.345,93.773,26171
2024-02-05,101.34,101.34,101.16,101.3,93.7314,32584
2024-02-06,101.28,101.39,101.24,101.32,93.7499,8141
2024-02-07,101.4,101.45,101.25,101.385,93.8101,52820
2024-02-08,101.36,101.45,101.31,101.385,93.8101,11988
2024-02-09,100.76,101.44,100.76,101.395,93.8193,16198
2024-02-12,101.37,101.44,101.33,101.41,93.8332,8664
2024-02-13,101.47,101.48,101.19,101.365,93.7916,14993
2024-02-14,101.42,101.5,101.33,101.48,93.898,15242
2024-02-15,101.48,101.49,101.42,101.44,93.8609,10810
2024-02-16,101.44,101.53,101.39,101.47,93.8887,13112
2024-02-19,101.45,101.54,101.4197,101.5,93.9165,19873
2024-02-20,101.49,101.51,101.46,101.475,93.8933,9225
2024-02-21,101.55,101.55,101.43,101.46,93.8795,23573
2024-02-22,101.46,101.58,101.43,101.535,93.9488,30832
2024-02-23,101.6,101.65,101.49,101.595,94.0044,13492
2024-02-26,101.68,101.71,101.54,101.54,93.9535,20917
2024-02-27,101.64,101.64,101.48,101.48,93.898,12789
2024-02-28,101.48,101.62,101.48,101.57,93.9812,28414
2024-02-29,101.57,101.71,101.51,101.63,94.0368,20754
2024-03-01,101.69,101.77,101.6,101.7,94.1015,18351
2024-03-04,101.78,101.82,101.63,101.685,94.0876,11700
2024-03-05,101.84,101.8737,101.575,101.705,94.1061,11130
2024-03-06,101.7,101.87,101.66,101.71,94.1108,17333
2024-03-07,101.84,101.84,101.5276,101.73,94.1293,146254
2024-03-08,101.88,102.05,101.71,101.84,94.2311,16965
2024-03-11,101.8,101.9307,101.63,101.755,94.1524,48708
2024-03-12,101.755,101.95,101.755,101.805,94.1987,14798
2024-03-13,101.97,101.97,101.7,101.835,94.2264,23388
2024-03-14,101.99,102.0518,101.8097,101.875,94.2634,14741
2024-03-15,101.96,102.31,101.81,101.865,94.2542,12711
2024-03-18,101.98,102.08,101.87,101.9,94.2866,20708
2024-03-19,101.82,102.11,101.82,101.93,94.3143,57416
2024-03-20,101.95,102.02,101.9237,101.97,94.3513,26064
2024-03-21,101.97,102.19,101.9032,101.975,94.356,14009
2024-03-22,101.95,102.07,101.88,102.04,94.4161,13441
2024-03-25,102.06,102.22,102.02,102.05,94.4254,7911
2024-03-26,102.02,102.11,101.89,102.04,94.4161,12748
2024-03-27,102.04,102.06,101.9,102.055,94.43,30747
2024-03-28,102.18,102.28,102.01,102.16,94.5272,28469
2024-04-02,102.12,102.62,101.7,102.175,94.541,18979
2024-04-03,102.13,102.2,102.03,102.18,94.5457,16034
2024-04-04,102.2,102.29,102.15,102.25,94.6104,13388
2024-04-05,102.4,102.8968,102.22,102.285,94.6428,25989
2024-04-08,102.41,102.51,102.22,102.305,94.6613,23001
2024-04-09,102.45,102.45,102.3,102.35,94.703,10158
2024-04-10,102.48,102.48,102.25,102.32,94.6752,16540
2024-04-11,102.32,102.38,102.3,102.345,94.6983,21426
2024-04-12,102.38,102.4272,102.28,102.355,94.7076,4944
2024-04-15,102.48,102.53,102.3,102.36,94.7122,29925
2024-04-16,102.28,102.46,102.28,102.415,94.7631,19464
2024-04-17,103.15,103.15,102.37,102.435,94.7816,24081
2024-04-18,102.56,102.56,102.38,102.49,94.8325,24550
2024-04-19,102.45,102.61,102.45,102.56,94.8973,127694
2024-04-22,102.45,102.64,102.45,102.6,94.9343,45573
2024-04-23,102.5,102.64,102.5,102.62,94.9528,34709
2024-04-24,102.56,102.7,102.56,102.6,94.9343,28435
2024-04-25,102.64,102.8,102.51,102.69,95.0176,9446
2024-04-26,102.63,102.87,102.58,102.69,95.0176,29605
2024-04-29,102.81,102.81,102.5135,102.685,95.0129,19510
2024-04-30,102.75,102.849,102.55,102.71,95.0361,8012
2024-05-01,102.79,102.9979,102.5886,102.63,94.962,182661
2024-05-02,102.67,102.89,102.5,102.7,95.0268,29352
2024-05-03,102.65,102.84,102.65,102.805,95.124,30387
2024-05-07,102.72,102.87,102.7,102.785,95.1055,66860
2024-05-08,102.82,102.87,102.73,102.83,95.1471,29612
2024-05-09,102.88,103.05,102.7,102.85,95.1656,28751
2024-05-10,103.15,103.15,102.84,102.89,95.2026,27522
2024-05-13,102.86,103.13,102.86,102.905,95.2165,18886
2024-05-14,103.15,103.15,102.87,102.895,95.2072,20008
2024-05-15,102.95,103.07,102.87,102.9,95.2119,23972
2024-05-16,103.15,103.66,102.91,102.965,95.272,19085
2024-05-17,102.85,103.01,102.85,102.98,95.2859,18252
2024-05-20,103.67,103.67,102.96,102.97,95.2766,28536
2024-05-21,103.35,103.35,102.93,103.01,95.3136,23087
2024-05-22,103.07,103.31,102.93,103.02,95.3229,12402
2024-05-23,103.03,103.197,102.946,103.06,95.3599,14691
2024-05-24,103.14,103.292,102.94,103.075,95.3738,15111
2024-05-28,103.08,103.3719,103.04,103.06,95.3599,19430
2024-05-29,103.44,103.44,102.93,103.115,95.4108,19620
2024-05-30,103.59,103.59,102.94,103.145,95.4386,26322
2024-05-31,103.18,103.25,102.94,103.21,95.4987,25048
2024-06-03,102.95,103.58,102.95,103.21,95.4987,38148
2024-06-04,103.18,103.46,103.14,103.18,95.4709,11159
2024-06-05,103.63,103.63,103.11,103.185,95.4756,25476
2024-06-06,103.35,103.35,103.14,103.185,95.4756,9763
2024-06-07,103.3,103.3,103.13,103.16,95.4524,4410
2024-06-10,103.15,103.25,102.98,103.135,95.4293,33874
2024-06-11,103.2,103.25,103.03,103.175,95.4663,35003
2024-06-12,103.16,103.27,103.15,103.15,95.4432,20922
2024-06-13,100.49,100.53,100.3807,100.48,95.5513,22505
2024-06-14,100.43,100.87,100.43,100.535,95.6036,26282
2024-06-17,100.54,100.78,100.51,100.55,95.6179,14416
2024-06-18,100.53,100.6589,100.49,100.5,95.5703,9931
2024-06-19,100.48,100.67,100.48,100.59,95.6559,12001
2024-06-20,100.55,100.6677,100.53,100.59,95.6559,5740
2024-06-21,100.85,100.85,100.58,100.62,95.6844,7510
2024-06-24,101.17,101.17,100.6024,100.655,95.7177,18772
2024-06-25,101.19,101.19,100.62,100.69,95.751,12411
2024-06-26,100.6,100.7907,100.6,100.69,95.751,9200
2024-06-27,101.12,101.12,100.61,100.715,95.7748,25558
2024-06-28,101.25,101.25,100.7,100.74,95.7986,11553
2024-07-01,100.61,101.04,100.61,100.72,95.7795,35322
2024-07-02,100.74,100.8662,100.74,100.76,95.8176,5895
2024-07-03,100.8,101.18,100.74,100.825,95.8794,32027
2024-07-04,100.8,101.09,100.79,100.825,95.8794,32567
2024-07-05,100.74,101.1,100.74,100.85,95.9032,23077
2024-07-08,100.86,101.36,100.8325,100.9,95.9507,10605
2024-07-09,100.86,101.04,100.84,100.915,95.965,7293
2024-07-10,101.09,101.09,100.8661,100.91,95.9602,22299
2024-07-11,101.41,101.41,100.91,100.97,96.0173,46424
2024-07-12,100.53,101.24,100.53,101.015,96.0601,21144
2024-07-15,101.46,101.46,100.89,100.985,96.0315,13201
2024-07-16,101.01,101.45,100.91,100.945,95.9935,27948
2024-07-17,101.47,101.47,100.92,101.01,96.0553,16176
2024-07-18,101.52,101.52,101.01,101.035,96.0791,15218
2024-07-19,101.14,101.36,100.91,101.065,96.1076,16080
2024-07-22,101.54,101.54,101.03,101.13,96.1694,18776
