Date,Open,High,Low,Close,Adjusted_close,Volume
2024-03-06,30.8225,30.8225,30.8225,30.8225,30.8225,0
2024-03-07,31.1503,31.1503,31.1503,31.1503,31.1503,0
2024-03-08,31.305,31.305,31.305,31.305,31.305,0
2024-03-11,30.9951,30.9951,30.9951,30.9951,30.9951,0
2024-03-12,31.1106,31.1106,31.1106,31.1106,31.1106,0
2024-03-13,31.2122,31.2122,31.2122,31.2122,31.2122,0
2024-03-14,31.0497,31.0497,31.0497,31.0497,31.0497,0
2024-03-15,30.895,30.895,30.895,30.895,30.895,0
2024-03-18,31.04,31.06,30.9375,30.9375,30.9375,2093
2024-03-19,30.87,31.16,30.84,31.16,31.16,650
2024-03-20,31.18,31.18,31.1625,31.1625,31.1625,674
2024-03-21,31.555,31.555,31.5075,31.5075,31.5075,186
2024-03-22,31.465,31.465,31.3975,31.3975,31.3975,1773
2024-03-25,31.375,31.48,31.285,31.4075,31.4075,5088
2024-03-26,31.4975,31.4975,31.4975,31.4975,31.4975,0
2024-03-27,31.445,31.48,31.395,31.4575,31.4575,3263
2024-03-28,31.455,31.5525,31.455,31.5525,31.5525,4295
2024-04-02,31.34,31.34,31.0775,31.0775,31.0775,3229
2024-04-03,31.18,31.3825,31.13,31.3825,31.3825,1903
2024-04-04,31.51,31.59,31.5,31.5475,31.5475,5386
2024-04-05,31.17,31.265,31.13,31.185,31.185,12971
2024-04-08,31.305,31.305,31.09,31.2775,31.2775,3529
2024-04-09,31.315,31.405,31.2225,31.2225,31.2225,4627
2024-04-10,31.475,31.475,30.89,30.955,30.955,9417
2024-04-11,31.005,31.035,30.725,30.79,30.79,3366
2024-04-12,31.085,31.085,30.7,30.7,30.7,4793
2024-04-15,30.775,30.89,30.65,30.6975,30.6975,3806
2024-04-16,30.315,30.325,30.15,30.16,30.16,5040
2024-04-17,30.185,30.355,30.075,30.1575,30.1575,3299
2024-04-18,30.29,30.29,30.29,30.29,30.29,0
2024-04-19,30.2,30.245,30.2,30.22,30.22,90
2024-04-22,30.435,30.435,30.265,30.3075,30.3075,1676
2024-04-23,30.72,30.7725,30.705,30.7725,30.7725,5675
2024-04-24,30.86,30.86,30.6525,30.6525,30.6525,60
2024-04-25,30.65,30.65,30.27,30.4175,30.4175,11757
2024-04-26,30.635,30.81,30.61,30.6525,30.6525,4924
2024-04-29,30.945,30.945,30.785,30.8125,30.8125,6690
2024-04-30,30.585,30.585,30.585,30.585,30.585,0
2024-05-01,30.3825,30.3825,30.3825,30.3825,30.3825,0
2024-05-02,30.74,30.74,30.645,30.655,30.655,2906
2024-05-03,30.985,30.985,30.985,30.985,30.985,0
2024-05-07,31.3,31.555,31.3,31.455,31.455,5616
2024-05-08,31.35,31.375,31.3275,31.3275,31.3275,5419
2024-05-09,31.55,31.55,31.5125,31.5125,31.5125,200
2024-05-10,31.705,31.74,31.65,31.665,31.665,1464
2024-05-13,31.65,31.73,31.6,31.6775,31.6775,13565
2024-05-14,31.67,31.8,31.67,31.7875,31.7875,806
2024-05-15,31.965,32.15,31.9,32.15,32.15,2445
2024-05-16,32.16,32.225,32.09,32.09,32.09,4478
2024-05-17,32.115,32.1275,32.115,32.1275,32.1275,604
2024-05-20,32.255,32.2775,32.215,32.2775,32.2775,1098
2024-05-21,32.345,32.345,32.045,32.0975,32.0975,20790
2024-05-22,31.975,31.99,31.87,31.8875,31.8875,17285
2024-05-23,32.05,32.05,31.82,31.845,31.845,885
2024-05-24,31.685,31.915,31.685,31.915,31.915,3248
2024-05-28,32.35,32.35,31.92,31.9425,31.9425,5826
2024-05-29,31.56,31.575,31.375,31.375,31.375,873
2024-05-30,31.51,31.7,31.51,31.6775,31.6775,1111
2024-05-31,31.81,31.825,31.72,31.72,31.72,3493
2024-06-03,31.985,32.11,31.97,32.06,32.06,4531
2024-06-04,32.065,32.065,31.895,31.895,31.895,17
2024-06-05,32.195,32.195,32.04,32.04,32.04,1680
2024-06-06,32.23,32.2375,32.205,32.2375,32.2375,539
2024-06-07,32.4,32.52,31.955,31.9825,31.9825,335283
2024-06-10,31.98,31.98,31.715,31.835,31.835,831
2024-06-11,31.9,31.935,31.475,31.5125,31.5125,3734
2024-06-12,31.655,32.12,31.655,32.0825,32.0825,2002
2024-06-13,31.9,31.9,31.4175,31.4175,31.4175,4161
2024-06-14,31.215,31.215,31,31.11,31.11,802
2024-06-17,31,31.075,30.98,31.075,31.075,4978
2024-06-18,31.185,31.335,31.185,31.265,31.265,7995
2024-06-19,31.5,31.5,31.2825,31.2825,31.2825,55450
2024-06-20,31.415,31.415,31.415,31.415,31.415,0
2024-06-21,31.32,31.32,31.11,31.1475,31.1475,27946
2024-06-24,31.36,31.5425,31.36,31.5425,31.5425,702
2024-06-25,31.785,31.785,31.44,31.4775,31.4775,14986
2024-06-26,31.69,31.69,31.26,31.2675,31.2675,14568
2024-06-27,31.31,31.405,31.305,31.3125,31.3125,5638
2024-06-28,31.38,31.4859,31.32,31.3725,31.3725,8229
2024-07-01,31.85,31.85,31.335,31.3775,31.3775,11066
2024-07-02,31.455,31.455,31.235,31.37,31.37,1866
2024-07-03,31.58,31.905,31.58,31.8675,31.8675,5031
2024-07-04,31.95,32.0475,31.95,32.0475,32.0475,2137
2024-07-05,32.1,32.18,31.91,31.9825,31.9825,62973
2024-07-08,31.82,32.11,31.82,31.965,31.965,19950
2024-07-09,31.975,31.975,31.7175,31.7175,31.7175,1412
2024-07-10,32,32.145,32,32.145,32.145,2916
2024-07-11,32.155,32.47,32.155,32.425,32.425,8803
2024-07-12,32.41,32.765,32.41,32.765,32.765,54165
2024-07-15,32.77,32.77,32.5325,32.5325,32.5325,11377
2024-07-16,32.315,32.4375,32.28,32.4375,32.4375,6853
2024-07-17,32.51,32.515,32.41,32.415,32.415,1104
2024-07-18,32.615,32.655,32.2325,32.2325,32.2325,10092
2024-07-19,32.25,32.25,31.8975,31.8975,31.8975,3092
2024-07-22,31.985,32.21,31.985,32.1175,32.1175,8793
2024-07-23,32.12,32.19,31.92,32.085,32.085,888
2024-07-24,31.9,31.935,31.85,31.86,31.86,1184
2024-07-25,31.645,31.645,31.325,31.555,31.555,4900
2024-07-26,31.6,31.785,31.6,31.7775,31.7775,3353
2024-07-29,31.8,31.8731,31.68,31.68,31.68,4251
2024-07-30,31.77,31.875,31.755,31.7775,31.7775,9325
2024-07-31,32.23,32.48,32.21,32.23,32.23,2197
2024-08-01,32.07,32.07,31.485,31.5025,31.5025,119329
2024-08-02,31.25,31.25,30.69,30.7,30.7,10974
2024-08-05,29.915,30.34,29.55,30.1625,30.1625,9405
2024-08-06,30.25,30.415,30.085,30.225,30.225,31081
2024-08-07,30.87,30.975,30.85,30.9125,30.9125,513
2024-08-08,30.82,30.895,30.535,30.8875,30.8875,2781
2024-08-09,30.99,31.165,30.92,31.0025,31.0025,488
2024-08-12,31.12,31.15,31.03,31.1175,31.1175,11198
2024-08-13,31.53,31.53,31.135,31.4525,31.4525,3542
2024-08-14,31.79,31.905,31.645,31.6975,31.6975,11280
2024-08-15,31.815,32.24,31.815,32.24,32.24,10050
2024-08-16,32.49,32.49,32.12,32.195,32.195,9571
2024-08-19,32.425,32.665,32.39,32.6525,32.6525,17624
2024-08-20,32.735,32.745,32.55,32.55,32.55,4927
2024-08-21,32.6,32.815,32.6,32.815,32.815,5763
2024-08-22,32.925,32.955,32.795,32.795,32.795,4399
2024-08-23,32.985,33.21,32.885,33.21,33.21,2492
2024-08-27,33.325,33.33,33.125,33.195,33.195,7001
2024-08-28,33.415,33.415,33.18,33.18,33.18,2138
2024-08-29,33.3,33.365,33.2193,33.2825,33.2825,10256
2024-08-30,33.37,33.415,33.25,33.25,33.25,1713
2024-09-02,33.3,33.33,33.145,33.1981,33.1981,6412
2024-09-03,33.38,33.385,32.9,32.9738,32.9738,3861
2024-09-04,32.655,32.7,32.55,32.675,32.675,3480
2024-09-05,32.645,32.725,32.595,32.595,32.595,1088
2024-09-06,32.68,32.71,32.1375,32.1375,32.1375,107145
2024-09-09,32.4,32.52,32.275,32.2765,32.2765,4036
2024-09-10,32.35,32.355,32.0934,32.0934,32.0934,846
2024-09-11,32,32.305,32,32.095,32.095,170
2024-09-12,32.59,32.65,32.5025,32.5025,32.5025,1302
2024-09-13,32.885,32.885,32.825,32.855,32.855,92
2024-09-16,32.685,33.05,32.685,32.91,32.91,5338
2024-09-17,32.97,33.16,32.93,32.98,32.98,311369
2024-09-18,32.845,32.985,32.7925,32.7925,32.7925,6163
2024-09-19,33.34,33.3575,33.3,33.3575,33.3575,69
2024-09-20,33.29,33.525,33.045,33.045,33.045,1682
2024-09-23,33.25,33.305,33.055,33.2425,33.2425,700
2024-09-24,33.345,33.44,33.345,33.4225,33.4225,561
2024-09-25,33.5,33.555,33.385,33.385,33.385,1681
2024-09-26,34,34,33.695,33.87,33.87,4087
2024-09-27,34.035,34.05,33.655,33.9425,33.9425,3178
2024-09-30,34.175,34.175,33.665,33.665,33.665,306
2024-10-01,34.025,34.025,33.355,33.4075,33.4075,16389
2024-10-02,33.43,33.555,33.24,33.31,33.31,1448
2024-10-03,33.6,33.6,33.01,33.0475,33.0475,3505
2024-10-04,33.18,33.315,33.1125,33.1125,33.1125,1288
2024-10-07,33.38,33.985,33.075,33.1875,33.1875,1320
