Date,Open,High,Low,Close,Adjusted_close,Volume
2024-09-12,27.715,27.715,27.715,27.715,27.715,0
2024-09-13,27.815,27.815,27.815,27.815,27.815,0
2024-09-16,27.82,27.82,27.82,27.82,27.82,6
2024-09-17,27.875,27.875,27.875,27.875,27.875,0
2024-09-18,27.765,27.765,27.765,27.765,27.765,0
2024-09-19,28.24,28.24,28.24,28.24,28.24,0
2024-09-20,28.195,28.195,28.195,28.195,28.195,0
2024-09-23,28.195,28.195,28.195,28.195,28.195,0
2024-09-24,28.23,28.23,28.23,28.23,28.23,0
2024-09-25,28.315,28.315,28.315,28.315,28.315,0
2024-09-26,28.655,28.655,28.655,28.655,28.655,0
2024-09-27,28.575,28.575,28.575,28.575,28.575,1700
2024-09-30,28.585,28.585,28.485,28.485,28.485,103
2024-10-01,28.335,28.335,28.335,28.335,28.335,0
2024-10-02,28.345,28.345,28.345,28.345,28.345,0
2024-10-03,28.3,28.3,28.3,28.3,28.3,0
2024-10-04,28.405,28.405,28.405,28.405,28.405,0
2024-10-07,28.6,28.6,28.395,28.395,28.395,1070
2024-10-08,28.145,28.27,28.145,28.27,28.27,135
2024-10-09,28.29,28.29,28.29,28.29,28.29,25
2024-10-10,28.365,28.365,28.365,28.365,28.365,17
2024-10-11,28.4,28.4,28.4,28.4,28.4,0
2024-10-14,28.635,28.635,28.635,28.635,28.635,0
2024-10-15,28.525,28.525,28.525,28.525,28.525,50
2024-10-16,28.33,28.335,28.33,28.335,28.335,300
2024-10-17,28.545,28.545,28.545,28.545,28.545,32
2024-10-18,28.55,28.55,28.55,28.55,28.55,0
2024-10-21,28.54,28.54,28.505,28.505,28.505,618
2024-10-22,28.12,28.24,28.12,28.16,28.16,3774
2024-10-23,27.995,27.995,27.995,27.995,27.995,0
2024-10-24,27.995,27.995,27.995,27.995,27.995,0
2024-10-25,28.17,28.17,28.17,28.17,28.17,170
2024-10-28,28.225,28.225,28.225,28.225,28.225,138
2024-10-29,28.35,28.35,28.16,28.16,28.16,282
2024-10-30,28.08,28.08,27.995,28.005,28.005,235
2024-10-31,27.5,27.5,27.5,27.5,27.5,35
2024-11-01,27.95,27.95,27.95,27.95,27.95,0
2024-11-04,27.95,27.95,27.95,27.95,27.95,50
2024-11-05,27.95,27.95,27.95,27.95,27.95,0
2024-11-06,28.455,28.455,28,28,28,1177
2024-11-07,28.2,28.2,28.2,28.2,28.2,0
2024-11-08,28.245,28.245,28.245,28.245,28.245,17
