Date,Open,High,Low,Close,Adjusted_close,Volume
2024-03-14,28.7,28.73,28.42,28.425,28.425,703
2024-03-15,28.455,28.455,28.445,28.445,28.445,111
2024-03-18,28.5,28.55,28.44,28.485,28.485,6293
2024-03-19,28.455,28.7,28.455,28.7,28.7,3490
2024-03-20,28.65,28.74,28.65,28.695,28.695,2232
2024-03-21,28.93,29.06,28.93,29.06,29.06,46
2024-03-22,29.095,29.095,28.995,29.045,29.045,3922
2024-03-25,29.025,29.045,28.885,28.985,28.985,3281
2024-03-26,28.995,29.125,28.985,29.125,29.125,895
2024-03-27,29.09,29.12,29,29.12,29.12,16200
2024-03-28,29.4,29.4,29.15,29.28,29.28,11622
2024-04-02,29.21,29.245,28.865,28.9,28.9,9706
2024-04-03,29.3,29.3,28.9,29.035,29.035,10239
2024-04-04,29.03,29.1,29,29.095,29.095,13127
2024-04-05,28.82,28.97,28.74,28.83,28.83,33544
2024-04-08,28.91,28.91,28.67,28.815,28.815,14549
2024-04-09,28.885,28.955,28.755,28.755,28.755,22322
2024-04-10,28.99,29.015,28.715,28.82,28.82,22838
2024-04-11,28.895,28.92,28.74,28.755,28.755,10525
2024-04-12,29.02,29.11,28.85,28.89,28.89,15921
2024-04-15,29.3,29.7,28.845,28.925,28.925,19236
2024-04-16,28.545,28.775,28.365,28.385,28.385,30751
2024-04-17,28.405,28.52,28.32,28.35,28.35,18303
2024-04-18,28.455,28.455,28.33,28.45,28.45,5440
2024-04-19,28.21,28.38,28.195,28.38,28.38,8924
2024-04-22,28.555,28.575,28.405,28.505,28.505,8346
2024-04-23,28.73,28.85,28.585,28.76,28.76,33596
2024-04-24,28.985,28.985,28.69,28.69,28.69,5831
2024-04-25,28.88,28.88,28.28,28.385,28.385,26978
2024-04-26,28.595,28.81,28.53,28.81,28.81,16174
2024-04-29,28.85,28.88,28.73,28.73,28.73,13443
2024-04-30,28.84,28.84,28.645,28.74,28.74,5005
2024-05-02,28.74,28.74,28.625,28.625,28.625,14995
2024-05-03,28.79,28.89,28.72,28.775,28.775,9895
2024-05-06,28.985,29.04,28.905,29.04,29.04,6132
2024-05-07,29.115,29.24,29.04,29.21,29.21,25235
2024-05-08,29.19,29.225,29.095,29.15,29.15,14776
2024-05-09,29.185,29.255,29.13,29.255,29.255,2722
2024-05-10,29.46,29.525,29.395,29.42,29.42,23377
2024-05-13,29.455,29.455,29.285,29.325,29.325,14227
2024-05-14,29.355,29.45,29.355,29.375,29.375,8223
2024-05-15,29.53,29.615,29.46,29.61,29.61,8284
2024-05-16,29.73,29.73,29.535,29.56,29.56,29876
2024-05-17,29.6,29.6,29.495,29.555,29.555,7134
2024-05-20,29.685,29.72,29.665,29.72,29.72,6355
2024-05-21,29.6,29.63,29.445,29.565,29.565,34503
2024-05-22,29.54,29.54,29.45,29.465,29.465,10480
2024-05-23,29.53,29.6,29.42,29.425,29.425,9463
2024-05-24,29.32,29.445,29.21,29.435,29.435,6064
2024-05-27,29.48,29.6,29.47,29.6,29.6,10451
2024-05-28,29.61,29.61,29.385,29.45,29.45,14267
2024-05-29,29.32,29.32,29.045,29.045,29.045,14100
2024-05-30,29.09,29.25,29.075,29.23,29.23,7879
2024-05-31,29.285,29.375,29.27,29.33,29.33,7432
2024-06-03,29.62,29.62,29.45,29.565,29.565,19623
2024-06-04,29.465,29.465,29.24,29.295,29.295,11106
2024-06-05,29.44,29.53,29.37,29.53,29.53,8682
2024-06-06,29.6,29.75,29.57,29.63,29.63,7317
2024-06-07,29.725,29.75,29.47,29.59,29.59,18861
2024-06-10,29.6,29.655,29.49,29.655,29.655,17493
2024-06-11,29.635,29.635,29.305,29.415,29.415,16641
2024-06-12,29.435,29.64,29.435,29.62,29.62,25649
2024-06-13,29.525,29.525,29.185,29.215,29.215,33946
2024-06-14,29.305,29.33,29.01,29.08,29.08,29638
2024-06-17,29.14,29.14,28.9,29.01,29.01,22846
2024-06-18,29.195,29.24,29.02,29.24,29.24,53775
2024-06-19,29.28,29.28,29.12,29.12,29.12,15984
2024-06-20,29.22,29.36,29.2,29.325,29.325,8320
2024-06-21,29.23,29.3,29.135,29.17,29.17,10089
2024-06-24,29.215,29.42,29.17,29.375,29.375,11814
2024-06-25,29.4,29.41,29.355,29.4,29.4,11672
2024-06-26,29.485,29.585,29.27,29.335,29.335,4563
2024-06-27,29.405,29.405,29.255,29.295,29.295,10053
2024-06-28,29.39,29.4,29.26,29.325,29.325,13091
2024-07-01,29.47,29.47,29.22,29.22,29.22,24095
2024-07-02,29.325,29.325,29.13,29.225,29.225,23530
2024-07-03,29.37,29.565,29.34,29.54,29.54,20056
2024-07-04,29.62,29.71,29.6,29.64,29.64,12048
2024-07-05,29.61,29.715,29.495,29.55,29.55,19482
2024-07-08,29.49,29.595,29.46,29.515,29.515,13200
2024-07-09,29.545,29.565,29.37,29.375,29.375,7299
2024-07-10,29.42,29.705,29.42,29.705,29.705,7506
2024-07-11,29.7,29.855,29.69,29.81,29.81,12457
2024-07-12,29.885,30.06,29.81,30.055,30.055,24937
2024-07-15,29.97,30.025,29.835,29.885,29.885,17237
2024-07-16,29.69,29.825,29.685,29.825,29.825,15189
2024-07-17,29.8,29.8,29.595,29.64,29.64,20478
2024-07-18,29.64,29.815,29.565,29.59,29.59,48714
2024-07-19,29.505,29.505,29.31,29.355,29.355,22894
2024-07-22,29.45,29.605,29.42,29.55,29.55,24712
2024-07-23,29.52,29.69,29.43,29.585,29.585,10783
2024-07-24,29.445,29.48,29.365,29.415,29.415,10411
2024-07-25,29.12,29.12,28.87,29.085,29.085,22158
2024-07-26,29.01,29.315,29.01,29.315,29.315,5710
2024-07-29,29.405,29.48,29.27,29.295,29.295,3822
2024-07-30,29.325,29.475,29.325,29.405,29.405,3235
2024-07-31,29.83,29.845,29.71,29.79,29.79,5832
2024-08-01,29.705,29.705,29.155,29.155,29.155,21237
2024-08-02,28.945,28.945,28.1,28.195,28.195,44017
2024-08-05,27.575,27.775,27.02,27.635,27.635,50152
2024-08-06,27.655,27.875,27.5,27.69,27.69,39516
2024-08-07,28.055,28.35,28.025,28.205,28.205,49151
2024-08-08,28.16,28.335,27.9,28.325,28.325,19731
2024-08-09,28.295,28.565,28.295,28.38,28.38,18273
2024-08-12,28.51,28.51,28.415,28.46,28.46,11515
2024-08-13,28.695,28.725,28.485,28.725,28.725,5795
2024-08-14,28.8,28.8,28.685,28.75,28.75,5725
2024-08-15,29.04,29.26,28.91,29.235,29.235,27860
2024-08-16,29.415,29.415,29.2,29.29,29.29,7152
2024-08-19,29.41,29.545,29.26,29.53,29.53,12210
2024-08-20,29.6,29.6,29.34,29.34,29.34,8416
2024-08-21,29.475,29.5,29.39,29.45,29.45,14597
2024-08-22,29.47,29.605,29.47,29.515,29.515,13697
2024-08-23,29.64,29.68,29.535,29.68,29.68,6510
2024-08-26,29.72,29.765,29.665,29.69,29.69,15141
2024-08-27,29.865,29.865,29.69,29.705,29.705,10685
2024-08-28,29.83,29.91,29.8,29.81,29.81,6092
2024-08-29,29.9,30.11,29.9,30.055,30.055,7435
2024-08-30,30.1,30.2,30.07,30.07,30.07,9291
2024-09-02,30.11,30.11,29.915,30.07,30.07,28105
2024-09-03,30.2,30.2,29.74,29.815,29.815,35016
2024-09-04,29.56,29.585,29.44,29.525,29.525,14384
2024-09-05,29.485,29.55,29.41,29.445,29.445,14706
2024-09-06,29.335,29.47,28.975,28.995,28.995,14517
2024-09-09,29.345,29.4,29.21,29.345,29.345,14837
2024-09-10,29.225,29.37,29.115,29.115,29.115,14963
2024-09-11,29.25,29.315,29.04,29.15,29.15,3872
2024-09-12,29.61,29.61,29.365,29.49,29.49,5068
2024-09-13,29.515,29.66,29.515,29.66,29.66,11904
2024-09-16,29.635,29.7,29.57,29.6,29.6,16879
2024-09-17,29.73,29.775,29.655,29.655,29.655,7974
2024-09-18,29.66,29.66,29.5,29.52,29.52,11643
2024-09-19,29.905,30,29.79,29.935,29.935,8953
2024-09-20,29.955,29.955,29.695,29.695,29.695,9959
2024-09-23,29.8,29.89,29.695,29.865,29.865,6992
2024-09-24,30.055,30.055,29.9,29.97,29.97,7429
2024-09-25,29.75,29.96,29.75,29.93,29.93,6885
2024-09-26,30.245,30.415,30.235,30.345,30.345,10040
2024-09-27,30.26,30.41,30.25,30.385,30.385,11118
2024-09-30,30.425,30.45,30.13,30.225,30.225,25150
2024-10-01,30.365,30.415,30.11,30.21,30.21,16591
2024-10-02,30.29,30.29,30.105,30.23,30.23,9410
2024-10-03,30.265,30.265,29.96,30.06,30.06,18882
2024-10-04,30.1,30.3,30.075,30.26,30.26,10837
2024-10-07,30.355,30.355,30.15,30.23,30.23,13157
2024-10-08,29.985,30.115,29.91,30.095,30.095,32885
2024-10-09,29.955,30.24,29.955,30.24,30.24,9579
2024-10-10,30.25,30.25,30.085,30.155,30.155,8277
2024-10-11,30.2,30.35,30.155,30.35,30.35,13554
2024-10-14,30.435,30.49,30.265,30.49,30.49,18619
2024-10-15,30.535,30.535,30.26,30.29,30.29,24117
2024-10-16,30.185,30.185,30.1,30.16,30.16,76875
2024-10-17,30.32,30.54,30.195,30.38,30.38,5146
2024-10-18,30.385,30.46,30.31,30.395,30.395,13075
2024-10-21,30.4,30.41,30.17,30.17,30.17,22460
2024-10-22,30.2,30.21,29.96,30.135,30.135,19599
2024-10-23,30.125,30.13,29.93,29.955,29.955,8965
2024-10-24,30.11,30.165,29.95,29.95,29.95,8546
2024-10-25,29.965,30.03,29.9,29.99,29.99,12242
2024-10-28,30.065,30.13,29.855,30.095,30.095,14896
2024-10-29,30.235,30.245,29.93,29.93,29.93,25872
2024-10-30,29.995,29.995,29.735,29.755,29.755,12994
2024-10-31,29.59,29.59,29.275,29.4,29.4,17584
2024-11-01,29.44,29.735,29.4,29.67,29.67,27686
2024-11-04,29.65,29.7,29.565,29.6,29.6,25997
2024-11-05,29.605,29.695,29.53,29.675,29.675,10851
2024-11-06,29.855,30.315,29.71,29.805,29.805,16169
2024-11-07,29.925,30.05,29.825,30.045,30.045,25585
2024-11-08,30.015,30.095,29.8,29.88,29.88,21041
2024-11-11,29.955,30.26,29.955,30.215,30.215,15490
2024-11-12,30.08,30.08,29.765,29.79,29.79,16716
2024-11-13,29.745,29.77,29.565,29.74,29.74,15433
2024-11-14,29.86,30.02,29.81,30.02,30.02,13806
2024-11-15,29.81,29.875,29.725,29.78,29.78,16259
2024-11-18,29.855,29.915,29.64,29.81,29.81,36666
2024-11-19,29.94,29.94,29.575,29.785,29.785,76024
2024-11-20,29.69,29.905,29.69,29.77,29.77,35731
2024-11-21,29.79,30.025,29.685,30.025,30.025,15738
2024-11-22,30.02,30.44,30.02,30.36,30.36,14384
2024-11-25,30.465,30.465,30.24,30.335,30.335,29584
2024-11-26,30.02,30.23,30.01,30.23,30.23,33291
2024-11-27,30.125,30.135,30.01,30.075,30.075,16875
2024-11-28,30.26,30.285,30.135,30.145,30.145,41796
2024-11-29,30.18,30.405,30.17,30.385,30.385,19518
2024-12-02,30.495,30.705,30.43,30.65,30.65,66276
2024-12-03,30.8,30.895,30.725,30.85,30.85,49795
2024-12-04,30.845,30.925,30.795,30.85,30.85,37955
2024-12-05,30.87,30.895,30.745,30.82,30.82,19160
2024-12-06,30.775,30.865,30.765,30.82,30.82,30056
2024-12-09,30.885,30.945,30.82,30.86,30.86,31393
2024-12-10,30.78,30.81,30.705,30.745,30.745,25738
2024-12-11,30.615,30.86,30.615,30.86,30.86,20227
2024-12-12,30.78,30.885,30.745,30.775,30.775,14963
2024-12-13,30.785,30.785,30.445,30.5,30.5,38521
2024-12-16,30.515,30.515,30.365,30.415,30.415,55299
2024-12-17,30.34,30.39,30.26,30.325,30.325,31070
2024-12-18,30.215,30.425,30.215,30.245,30.245,50977
2024-12-19,30.02,30.045,29.82,29.92,29.92,37961
2024-12-20,29.695,29.785,29.35,29.765,29.765,50427
2024-12-23,29.77,29.88,29.665,29.745,29.745,39433
2024-12-27,30.065,30.105,29.88,29.955,29.955,35688
2024-12-30,29.975,30.01,29.89,29.89,29.89,17453
2025-01-02,30.3,30.36,30.03,30.36,30.36,468545
2025-01-03,30.31,30.31,30.125,30.2,30.2,27383
2025-01-06,30.28,30.43,30.165,30.4,30.4,36340
2025-01-07,30.395,30.5,30.255,30.455,30.455,28199
2025-01-08,30.48,30.555,30.28,30.37,30.37,21562
2025-01-09,30.325,30.49,30.285,30.465,30.465,52042
2025-01-10,30.435,30.525,30.12,30.525,30.525,31777
2025-01-13,30.095,30.14,29.935,30.14,30.14,59450
2025-01-14,30.225,30.225,29.965,29.98,29.98,37645
2025-01-15,30.16,30.41,30.04,30.355,30.355,27162
2025-01-16,30.51,30.555,30.425,30.49,30.49,51199
2025-01-17,30.695,30.75,30.615,30.745,30.745,33893
2025-01-20,30.9,30.9,30.64,30.77,30.77,36885
2025-01-21,30.8,30.9,30.69,30.9,30.9,35622
2025-01-22,30.935,30.99,30.825,30.915,30.915,25641
2025-01-23,30.975,31.035,30.87,31.015,31.015,44067
2025-01-24,31.11,31.145,30.95,31.06,31.06,41955
2025-01-27,30.88,30.95,30.74,30.92,30.92,70853
2025-01-28,31.075,31.175,31,31.135,31.135,60787
2025-01-29,31.29,31.33,31.2,31.255,31.255,83264
2025-01-30,31.38,31.54,31.375,31.54,31.54,162871
2025-01-31,31.64,31.715,31.52,31.57,31.57,168039
2025-02-03,31.24,31.81,31.07,31.305,31.305,90083
2025-02-04,31.265,31.465,31.07,31.37,31.37,37552
2025-02-05,31.355,31.475,31.29,31.475,31.475,49645
2025-02-06,31.605,31.895,31.605,31.895,31.895,24296
2025-02-07,31.8,31.98,31.68,31.73,31.73,89759
2025-02-10,31.825,31.95,31.77,31.95,31.95,46433
2025-02-11,32.035,32.035,31.78,31.97,31.97,81599
2025-02-12,32.435,32.435,31.71,31.765,31.765,107715
2025-02-13,31.985,32.2,31.84,32.2,32.2,70159
2025-02-14,32.145,32.17,31.99,32.05,32.05,56927
2025-02-17,32.16,32.265,32.135,32.245,32.245,91702
2025-02-18,32.31,32.35,32.21,32.335,32.335,101102
2025-02-19,32.365,32.365,32.065,32.15,32.15,118416
2025-02-20,32.15,32.2,31.955,32.045,32.045,133313
2025-02-21,32.05,32.17,32,32.125,32.125,74290
2025-02-24,32.125,32.125,31.82,32.015,32.015,157974
2025-02-25,32.015,32.11,31.825,31.895,31.895,101437
2025-02-26,32.125,32.235,32.03,32.23,32.23,93554
2025-02-27,32.235,32.39,32.005,32.22,32.22,116632
2025-02-28,31.89,32.04,31.79,32.025,32.025,129119
2025-03-03,32.325,32.43,32.105,32.325,32.325,214169
2025-03-04,32.06,32.06,31.4,31.52,31.52,156983
2025-03-05,31.745,31.855,31.58,31.59,31.59,109395
2025-03-06,31.76,31.78,31.41,31.695,31.695,321322
2025-03-07,31.505,31.685,31.28,31.46,31.46,100739
2025-03-10,31.615,31.615,31,31.08,31.08,181633
2025-03-11,31.02,31.035,30.44,30.53,30.53,129000
2025-03-12,30.75,30.895,30.6,30.88,30.88,134187
2025-03-13,30.84,30.98,30.73,30.805,30.805,149725
2025-03-14,30.835,31.18,30.8,31.135,31.135,95039
2025-03-17,31.21,31.425,31.14,31.425,31.425,278210
2025-03-18,31.39,31.565,31.36,31.505,31.505,106253
2025-03-19,31.51,31.685,31.43,31.625,31.625,192235
2025-03-20,31.725,31.75,31.41,31.585,31.585,152386
2025-03-21,31.515,31.57,31.31,31.51,31.51,98804
2025-03-24,31.615,31.62,31.425,31.605,31.605,191180
2025-03-25,31.565,31.775,31.52,31.745,31.745,119435
