Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-01,1.2832,1.2847,1.2806,1.283,1.283,0
2020-01-02,1.2826,1.2842,1.2742,1.2767,1.2767,0
2020-01-03,1.2765,1.2779,1.268,1.2726,1.2726,0
2020-01-06,1.2713,1.2763,1.2679,1.2749,1.2749,0
2020-01-07,1.2746,1.2798,1.2716,1.2736,1.2736,0
2020-01-08,1.2732,1.2784,1.2665,1.2759,1.2759,0
2020-01-09,1.2754,1.2785,1.2665,1.2719,1.2719,0
2020-01-10,1.2714,1.2764,1.2689,1.2702,1.2702,0
2020-01-13,1.2692,1.27,1.258,1.261,1.261,0
2020-01-14,1.2607,1.2625,1.2547,1.2595,1.2595,0
2020-01-15,1.2592,1.2614,1.2523,1.2569,1.2569,0
2020-01-16,1.2564,1.2625,1.2544,1.2616,1.2616,0
2020-01-17,1.2613,1.266,1.258,1.2597,1.2597,0
2020-01-20,1.2578,1.2603,1.2549,1.2596,1.2596,0
2020-01-21,1.2593,1.2647,1.2566,1.2641,1.2641,0
2020-01-22,1.2635,1.2755,1.2628,1.2721,1.2721,0
2020-01-23,1.2714,1.2735,1.2675,1.2715,1.2715,0
2020-01-24,1.2709,1.2772,1.2669,1.2701,1.2701,0
2020-01-27,1.2694,1.2722,1.2641,1.2659,1.2659,0
2020-01-28,1.2656,1.2679,1.259,1.2677,1.2677,0
2020-01-29,1.2673,1.2697,1.2653,1.2672,1.2672,0
2020-01-30,1.2667,1.2711,1.259,1.2696,1.2696,0
2020-01-31,1.2695,1.2757,1.2679,1.2716,1.2716,0
2020-02-03,1.2725,1.2728,1.2538,1.2552,1.2552,0
2020-02-04,1.2546,1.2647,1.2526,1.2631,1.2631,0
2020-02-05,1.2625,1.2708,1.2597,1.2657,1.2657,0
2020-02-06,1.2653,1.2662,1.2592,1.2602,1.2602,0
2020-02-07,1.2593,1.2641,1.2587,1.2607,1.2607,0
2020-02-10,1.2602,1.2651,1.2577,1.262,1.262,0
2020-02-11,1.2616,1.2677,1.2601,1.2641,1.2641,0
2020-02-12,1.2639,1.2686,1.2628,1.268,1.268,0
2020-02-13,1.2676,1.2792,1.2645,1.2779,1.2779,0
2020-02-14,1.2772,1.2817,1.2748,1.2816,1.2816,0
2020-02-17,1.2799,1.2819,1.2744,1.2759,1.2759,0
2020-02-18,1.2754,1.2819,1.2714,1.2782,1.2782,0
2020-02-19,1.2776,1.2809,1.2697,1.2713,1.2713,0
2020-02-20,1.2708,1.2718,1.2621,1.2676,1.2676,0
2020-02-21,1.2672,1.2714,1.2648,1.2689,1.2689,0
2020-02-24,1.2673,1.2709,1.2613,1.2651,1.2651,0
2020-02-25,1.2654,1.2714,1.2642,1.2697,1.2697,0
2020-02-26,1.2688,1.2708,1.2584,1.2607,1.2607,0
2020-02-27,1.2602,1.2609,1.2457,1.247,1.247,0
2020-02-28,1.2464,1.2495,1.2323,1.2378,1.2378,0
2020-03-02,1.2357,1.2395,1.2189,1.2234,1.2234,0
2020-03-03,1.2229,1.2291,1.2197,1.2251,1.2251,0
2020-03-04,1.2246,1.2321,1.2177,1.2317,1.2317,0
2020-03-05,1.2313,1.2337,1.2224,1.226,1.226,0
2020-03-06,1.2244,1.226,1.2128,1.2233,1.2233,0
2020-03-09,1.2227,1.2235,1.2027,1.2151,1.2151,0
2020-03-10,1.2143,1.2232,1.2054,1.2133,1.2133,0
2020-03-11,1.2124,1.2159,1.1984,1.2039,1.2039,0
2020-03-12,1.203,1.2053,1.1826,1.187,1.187,0
2020-03-13,1.1866,1.1933,1.1648,1.1663,1.1663,0
2020-03-16,1.1664,1.1775,1.154,1.1619,1.1619,0
2020-03-17,1.1613,1.1651,1.1559,1.1584,1.1584,0
2020-03-18,1.1579,1.1647,1.1163,1.1246,1.1246,0
2020-03-19,1.1243,1.154,1.1109,1.1326,1.1326,0
2020-03-20,1.132,1.1711,1.126,1.1487,1.1487,0
2020-03-23,1.1494,1.1555,1.124,1.1374,1.1374,0
2020-03-24,1.1368,1.1581,1.1324,1.1543,1.1543,0
2020-03-25,1.1538,1.1719,1.1415,1.1608,1.1608,0
2020-03-26,1.1608,1.176,1.1495,1.176,1.176,0
2020-03-27,1.1754,1.1898,1.1669,1.1852,1.1852,0
2020-03-30,1.1897,1.1929,1.177,1.1903,1.1903,0
2020-03-31,1.1894,1.2032,1.1781,1.1935,1.1935,0
2020-04-01,1.1931,1.2036,1.1867,1.1953,1.1953,0
2020-04-02,1.1944,1.2088,1.1936,1.207,1.207,0
2020-04-03,1.206,1.2084,1.1941,1.1991,1.1991,0
2020-04-06,1.1978,1.2048,1.192,1.1971,1.1971,0
2020-04-07,1.1966,1.2019,1.1905,1.1955,1.1955,0
2020-04-08,1.1953,1.2062,1.1943,1.2039,1.2039,0
2020-04-09,1.2032,1.2091,1.2012,1.2034,1.2034,0
2020-04-10,1.2033,1.2061,1.2017,1.2034,1.2034,0
2020-04-13,1.2038,1.2118,1.2012,1.2105,1.2105,0
2020-04-14,1.2097,1.2143,1.2063,1.2122,1.2122,0
2020-04-15,1.2119,1.213,1.2041,1.2073,1.2073,0
2020-04-16,1.2067,1.2096,1.2035,1.209,1.209,0
2020-04-17,1.2084,1.2119,1.2052,1.209,1.209,0
2020-04-20,1.209,1.2101,1.2023,1.2038,1.2038,0
2020-04-21,1.2033,1.2051,1.1865,1.1922,1.1922,0
2020-04-22,1.1918,1.1987,1.1905,1.1983,1.1983,0
2020-04-23,1.1977,1.2068,1.1966,1.206,1.206,0
2020-04-24,1.2056,1.2074,1.2002,1.2037,1.2037,0
2020-04-27,1.2034,1.2127,1.202,1.2125,1.2125,0
2020-04-28,1.2122,1.2203,1.2101,1.2117,1.2117,0
2020-04-29,1.211,1.2154,1.2065,1.2142,1.2142,0
2020-04-30,1.2134,1.2199,1.21,1.2159,1.2159,0
2020-05-01,1.2158,1.2172,1.1994,1.2023,1.2023,0
2020-05-04,1.2011,1.2024,1.1958,1.201,1.201,0
2020-05-05,1.2004,1.2119,1.1994,1.2096,1.2096,0
2020-05-06,1.2091,1.2114,1.2018,1.2035,1.2035,0
2020-05-07,1.203,1.2091,1.1981,1.203,1.203,0
2020-05-08,1.2025,1.2081,1.2007,1.2047,1.2047,0
2020-05-11,1.2047,1.2074,1.1939,1.2005,1.2005,0
2020-05-12,1.1999,1.2019,1.1878,1.1887,1.1887,0
2020-05-13,1.1883,1.1947,1.1847,1.189,1.189,0
2020-05-14,1.1885,1.1907,1.1846,1.1901,1.1901,0
2020-05-15,1.1895,1.191,1.1754,1.1763,1.1763,0
2020-05-18,1.1738,1.1902,1.1722,1.1842,1.1842,0
2020-05-19,1.1838,1.1936,1.1832,1.1903,1.1903,0
2020-05-20,1.1898,1.1915,1.179,1.1813,1.1813,0
2020-05-21,1.1808,1.1878,1.1768,1.1864,1.1864,0
2020-05-22,1.1859,1.188,1.1807,1.1822,1.1822,0
2020-05-25,1.1824,1.1855,1.1812,1.1851,1.1851,0
2020-05-26,1.184,1.1961,1.1827,1.1909,1.1909,0
2020-05-27,1.1903,1.1976,1.1829,1.1866,1.1866,0
2020-05-28,1.1859,1.1922,1.1855,1.1879,1.1879,0
2020-05-29,1.1876,1.1921,1.1807,1.1869,1.1869,0
2020-06-01,1.1862,1.2024,1.1834,1.2006,1.2006,0
2020-06-02,1.1999,1.2095,1.1988,1.2077,1.2077,0
2020-06-03,1.2072,1.2135,1.2062,1.2088,1.2088,0
2020-06-04,1.2084,1.2097,1.1998,1.2035,1.2035,0
2020-06-05,1.2031,1.2258,1.2015,1.2192,1.2192,0
2020-06-08,1.2201,1.2242,1.2121,1.2185,1.2185,0
2020-06-09,1.2181,1.2211,1.2047,1.2101,1.2101,0
2020-06-10,1.2097,1.2129,1.201,1.2045,1.2045,0
2020-06-11,1.2033,1.2048,1.183,1.1899,1.1899,0
2020-06-12,1.1892,1.1977,1.1845,1.1945,1.1945,0
2020-06-15,1.193,1.197,1.186,1.1965,1.1965,0
2020-06-16,1.196,1.2036,1.1929,1.1965,1.1965,0
2020-06-17,1.1956,1.1972,1.1887,1.1912,1.1912,0
2020-06-18,1.1907,1.1924,1.1796,1.1822,1.1822,0
2020-06-19,1.182,1.184,1.1742,1.177,1.177,0
2020-06-22,1.1766,1.1826,1.1735,1.1812,1.1812,0
2020-06-23,1.1806,1.1845,1.1752,1.1826,1.1826,0
2020-06-24,1.1823,1.1845,1.1759,1.1773,1.1773,0
2020-06-25,1.1769,1.1823,1.1756,1.1777,1.1777,0
2020-06-26,1.177,1.1796,1.1676,1.1695,1.1695,0
2020-06-29,1.1692,1.1724,1.1627,1.1701,1.1701,0
2020-06-30,1.1695,1.1749,1.1648,1.1747,1.1747,0
2020-07-01,1.1743,1.1817,1.1698,1.1798,1.1798,0
2020-07-02,1.1796,1.1829,1.1774,1.1786,1.1786,0
2020-07-03,1.1782,1.1811,1.1767,1.1809,1.1809,0
2020-07-06,1.1809,1.1811,1.1724,1.177,1.177,0
2020-07-07,1.1764,1.1856,1.1745,1.1819,1.1819,0
2020-07-08,1.1814,1.1843,1.1777,1.1834,1.1834,0
2020-07-09,1.1829,1.188,1.1817,1.185,1.185,0
2020-07-10,1.1849,1.1899,1.1834,1.1878,1.1878,0
2020-07-13,1.1869,1.1901,1.181,1.1822,1.1822,0
2020-07-14,1.1815,1.1833,1.1728,1.1795,1.1795,0
2020-07-15,1.1791,1.1915,1.1784,1.1882,1.1882,0
2020-07-16,1.1879,1.1907,1.1827,1.1867,1.1867,0
2020-07-17,1.1864,1.1883,1.1758,1.1797,1.1797,0
