Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-01,1.0711,1.0723,1.0691,1.0708,1.0708,0
2024-01-02,1.07,1.0787,1.0684,1.0727,1.0727,0
2024-01-03,1.0721,1.0799,1.0713,1.0753,1.0753,0
2024-01-04,1.0751,1.0814,1.0742,1.0782,1.0782,0
2024-01-05,1.0777,1.0819,1.0758,1.0811,1.0811,0
2024-01-08,1.0809,1.0824,1.078,1.0811,1.0811,0
2024-01-09,1.0806,1.0841,1.0789,1.0832,1.0832,0
2024-01-10,1.0828,1.0856,1.0808,1.0842,1.0842,0
2024-01-11,1.0838,1.0898,1.0808,1.0871,1.0871,0
2024-01-12,1.0869,1.0892,1.0842,1.0871,1.0871,0
2024-01-15,1.0861,1.0897,1.0848,1.089,1.089,0
2024-01-16,1.0891,1.0902,1.0862,1.0887,1.0887,0
2024-01-17,1.088,1.0989,1.0864,1.0957,1.0957,0
2024-01-18,1.0952,1.1038,1.0946,1.103,1.103,0
2024-01-19,1.1028,1.1039,1.1,1.1035,1.1035,0
2024-01-22,1.1025,1.106,1.1009,1.1046,1.1046,0
2024-01-23,1.1041,1.1055,1.1018,1.1035,1.1035,0
2024-01-24,1.103,1.1051,1.097,1.098,1.098,0
2024-01-25,1.0977,1.1024,1.0968,1.1017,1.1017,0
2024-01-26,1.1015,1.1024,1.0963,1.0983,1.0983,0
2024-01-29,1.0972,1.0991,1.0927,1.0948,1.0948,0
2024-01-30,1.0943,1.0959,1.09,1.0944,1.0944,0
2024-01-31,1.094,1.0954,1.0896,1.0928,1.0928,0
2024-02-01,1.0925,1.0949,1.089,1.093,1.093,0
2024-02-02,1.0925,1.0962,1.0875,1.0947,1.0947,0
2024-02-05,1.094,1.0974,1.0897,1.0914,1.0914,0
2024-02-06,1.0909,1.0984,1.0898,1.0957,1.0957,0
2024-02-07,1.0953,1.1047,1.0945,1.1043,1.1043,0
2024-02-08,1.1038,1.1046,1.1,1.1024,1.1024,0
2024-02-09,1.1026,1.1059,1.1005,1.1047,1.1047,0
2024-02-12,1.1039,1.1066,1.1023,1.1061,1.1061,0
2024-02-13,1.1057,1.1184,1.1045,1.1171,1.1171,0
2024-02-14,1.1165,1.1175,1.1109,1.1131,1.1131,0
2024-02-15,1.1131,1.1131,1.1055,1.1088,1.1088,0
2024-02-16,1.1086,1.1108,1.106,1.1097,1.1097,0
2024-02-19,1.1093,1.1128,1.1088,1.1112,1.1112,0
2024-02-20,1.1105,1.1147,1.109,1.1134,1.1134,0
2024-02-21,1.1127,1.114,1.1091,1.1116,1.1116,0
2024-02-22,1.111,1.1158,1.1078,1.1146,1.1146,0
2024-02-23,1.1141,1.1176,1.1132,1.1169,1.1169,0
2024-02-26,1.1156,1.1173,1.1139,1.1164,1.1164,0
2024-02-27,1.1158,1.1171,1.1137,1.1144,1.1144,0
2024-02-28,1.1146,1.1156,1.1115,1.1129,1.1129,0
2024-02-29,1.1122,1.1168,1.1111,1.1168,1.1168,0
2024-03-01,1.1164,1.1222,1.1155,1.118,1.118,0
2024-03-04,1.1176,1.1247,1.1156,1.1231,1.1231,0
2024-03-05,1.1227,1.1263,1.1212,1.1224,1.1224,0
2024-03-06,1.1221,1.1268,1.1212,1.123,1.123,0
2024-03-07,1.1235,1.125,1.1202,1.1242,1.1242,0
2024-03-08,1.1237,1.1288,1.1222,1.1287,1.1287,0
2024-03-11,1.1285,1.1287,1.1233,1.1245,1.1245,0
2024-03-12,1.124,1.1249,1.118,1.1223,1.1223,0
2024-03-13,1.122,1.1248,1.121,1.1248,1.1248,0
2024-03-14,1.1245,1.1277,1.1235,1.1272,1.1272,0
2024-03-15,1.1266,1.1275,1.1239,1.126,1.126,0
2024-03-18,1.1249,1.1307,1.1233,1.1301,1.1301,0
2024-03-19,1.1294,1.1305,1.1241,1.1299,1.1299,0
2024-03-20,1.1291,1.1348,1.1284,1.1342,1.1342,0
2024-03-21,1.1337,1.1458,1.1305,1.1361,1.1361,0
2024-03-22,1.136,1.1379,1.129,1.1315,1.1315,0
2024-03-25,1.1303,1.1366,1.1291,1.1365,1.1365,0
2024-03-26,1.1362,1.143,1.1351,1.1415,1.1415,0
2024-03-27,1.1411,1.1451,1.1392,1.1424,1.1424,0
2024-03-28,1.1421,1.1438,1.1367,1.1383,1.1383,0
2024-03-29,1.1374,1.1401,1.1359,1.1388,1.1388,0
2024-04-01,1.1381,1.1399,1.1339,1.135,1.135,0
2024-04-02,1.1344,1.1424,1.1338,1.142,1.142,0
2024-04-03,1.142,1.1438,1.1405,1.1427,1.1427,0
2024-04-04,1.1423,1.1484,1.1381,1.1396,1.1396,0
2024-04-05,1.139,1.1429,1.1351,1.1395,1.1395,0
2024-04-08,1.139,1.1462,1.1374,1.1458,1.1458,0
2024-04-09,1.1453,1.1466,1.1435,1.1456,1.1456,0
2024-04-10,1.1454,1.1482,1.1409,1.1448,1.1448,0
2024-04-11,1.1443,1.1483,1.1396,1.1424,1.1424,0
2024-04-12,1.1421,1.1429,1.1315,1.1383,1.1383,0
2024-04-15,1.1379,1.1412,1.1339,1.1346,1.1346,0
2024-04-16,1.1342,1.1382,1.1329,1.1344,1.1344,0
2024-04-17,1.1341,1.1372,1.1311,1.1343,1.1343,0
2024-04-18,1.1335,1.1362,1.1319,1.1346,1.1346,0
2024-04-19,1.1342,1.1352,1.1166,1.1262,1.1262,0
2024-04-22,1.1259,1.1295,1.1209,1.1263,1.1263,0
2024-04-23,1.126,1.1354,1.1246,1.1353,1.1353,0
2024-04-24,1.1349,1.1406,1.1338,1.1406,1.1406,0
2024-04-25,1.1401,1.1441,1.1385,1.1416,1.1416,0
2024-04-26,1.1409,1.1443,1.1379,1.142,1.142,0
2024-04-29,1.1416,1.1454,1.1395,1.1439,1.1439,0
2024-04-30,1.1432,1.1495,1.1413,1.1485,1.1485,0
2024-05-01,1.1481,1.1512,1.1456,1.147,1.147,0
2024-05-02,1.147,1.1494,1.138,1.1413,1.1413,0
2024-05-03,1.1411,1.1428,1.1339,1.1362,1.1362,0
2024-05-06,1.1356,1.1394,1.1342,1.1386,1.1386,0
2024-05-07,1.1378,1.1397,1.1354,1.1363,1.1363,0
2024-05-08,1.1359,1.1376,1.1323,1.1349,1.1349,0
2024-05-09,1.1344,1.1365,1.1315,1.1347,1.1347,0
2024-05-10,1.1342,1.1374,1.1331,1.1352,1.1352,0
2024-05-13,1.1348,1.1408,1.1334,1.1408,1.1408,0
2024-05-14,1.1403,1.1416,1.1355,1.1416,1.1416,0
2024-05-15,1.1412,1.1452,1.139,1.1445,1.1445,0
2024-05-16,1.1436,1.1482,1.1404,1.1481,1.1481,0
2024-05-17,1.1474,1.1547,1.1467,1.1547,1.1547,0
2024-05-20,1.1542,1.1573,1.1518,1.157,1.157,0
2024-05-21,1.1566,1.1584,1.155,1.1578,1.1578,0
2024-05-22,1.1574,1.1652,1.1566,1.1647,1.1647,0
2024-05-23,1.1643,1.1649,1.1597,1.1612,1.1612,0
2024-05-24,1.1609,1.1654,1.1597,1.1653,1.1653,0
2024-05-27,1.1646,1.1676,1.1629,1.1669,1.1669,0
2024-05-28,1.1664,1.1676,1.1614,1.1644,1.1644,0
2024-05-29,1.1642,1.1655,1.159,1.1599,1.1599,0
2024-05-30,1.1594,1.1608,1.1492,1.1501,1.1501,0
2024-05-31,1.1496,1.1533,1.1469,1.1495,1.1495,0
2024-06-03,1.1497,1.1502,1.1434,1.1471,1.1471,0
2024-06-04,1.1467,1.1481,1.1355,1.136,1.136,0
2024-06-05,1.1359,1.1428,1.1354,1.1425,1.1425,0
2024-06-06,1.1425,1.1432,1.137,1.1374,1.1374,0
2024-06-07,1.1374,1.1422,1.1345,1.1401,1.1401,0
2024-06-10,1.1397,1.1426,1.137,1.1414,1.1414,0
2024-06-11,1.1411,1.144,1.1386,1.1438,1.1438,0
2024-06-12,1.1429,1.1462,1.1372,1.1446,1.1446,0
2024-06-13,1.1442,1.1462,1.1384,1.1407,1.1407,0
2024-06-14,1.14,1.1412,1.127,1.1294,1.1294,0
2024-06-17,1.1286,1.1318,1.1272,1.1301,1.1301,0
2024-06-18,1.1294,1.1307,1.1213,1.1237,1.1237,0
2024-06-19,1.1234,1.1275,1.122,1.1248,1.1248,0
2024-06-20,1.1244,1.1317,1.1215,1.1281,1.1281,0
2024-06-21,1.1281,1.1313,1.1251,1.1305,1.1305,0
2024-06-24,1.1301,1.1342,1.1281,1.133,1.133,0
2024-06-25,1.1319,1.1356,1.1308,1.1351,1.1351,0
2024-06-26,1.1348,1.1375,1.1316,1.1326,1.1326,0
2024-06-27,1.1323,1.1366,1.1311,1.1359,1.1359,0
2024-06-28,1.1355,1.1395,1.1344,1.1366,1.1366,0
2024-07-01,1.136,1.1458,1.1344,1.1422,1.1422,0
2024-07-02,1.1418,1.1469,1.1398,1.1467,1.1467,0
2024-07-03,1.1454,1.1512,1.1448,1.1489,1.1489,0
2024-07-04,1.1484,1.1522,1.1464,1.1486,1.1486,0
2024-07-05,1.148,1.1514,1.1462,1.1484,1.1484,0
2024-07-08,1.1464,1.1516,1.1444,1.1497,1.1497,0
2024-07-09,1.1495,1.1513,1.1464,1.1481,1.1481,0
2024-07-10,1.1475,1.1559,1.1467,1.1559,1.1559,0
2024-07-11,1.1555,1.1613,1.1524,1.1578,1.1578,0
2024-07-12,1.1574,1.1623,1.1555,1.1621,1.1621,0
2024-07-15,1.1615,1.1631,1.158,1.1617,1.1617,0
2024-07-16,1.1614,1.1627,1.1583,1.1588,1.1588,0
2024-07-17,1.1588,1.1608,1.1479,1.1493,1.1493,0
2024-07-18,1.1495,1.1504,1.1459,1.149,1.149,0
2024-07-19,1.1486,1.1507,1.1457,1.149,1.149,0
2024-07-22,1.1475,1.1506,1.1454,1.1506,1.1506,0
2024-07-23,1.1503,1.152,1.1478,1.1503,1.1503,0
2024-07-24,1.1498,1.1505,1.1404,1.1424,1.1424,0
2024-07-25,1.1422,1.1433,1.1293,1.1331,1.1331,0
2024-07-26,1.1329,1.1376,1.1313,1.1371,1.1371,0
2024-07-29,1.1374,1.1402,1.1327,1.1396,1.1396,0
2024-07-30,1.1394,1.1409,1.1322,1.1329,1.1329,0
2024-07-31,1.1326,1.1339,1.1253,1.1288,1.1288,0
2024-08-01,1.1286,1.1295,1.1103,1.1121,1.1121,0
2024-08-02,1.1119,1.1135,1.0969,1.0978,1.0978,0
2024-08-05,1.098,1.0997,1.0739,1.0893,1.0893,0
2024-08-06,1.0886,1.0949,1.0783,1.0808,1.0808,0
2024-08-07,1.0805,1.1019,1.0791,1.0937,1.0937,0
2024-08-08,1.0934,1.1051,1.0851,1.105,1.105,0
2024-08-09,1.1047,1.1072,1.0988,1.1046,1.1046,0
2024-08-12,1.1035,1.1125,1.1011,1.1045,1.1045,0
2024-08-13,1.1042,1.1131,1.1034,1.1122,1.1122,0
2024-08-14,1.112,1.1136,1.1066,1.1098,1.1098,0
2024-08-15,1.1094,1.1222,1.1085,1.1217,1.1217,0
2024-08-16,1.1216,1.1227,1.1169,1.1215,1.1215,0
2024-08-19,1.12,1.1236,1.1163,1.121,1.121,0
2024-08-20,1.1205,1.1216,1.1124,1.1132,1.1132,0
2024-08-21,1.1127,1.1165,1.11,1.1152,1.1152,0
2024-08-22,1.1147,1.1178,1.1116,1.1157,1.1157,0
2024-08-23,1.115,1.1224,1.1138,1.1207,1.1207,0
2024-08-26,1.1201,1.1207,1.1151,1.1176,1.1176,0
2024-08-27,1.1175,1.1212,1.1143,1.1159,1.1159,0
2024-08-28,1.1153,1.1173,1.1084,1.1111,1.1111,0
2024-08-29,1.1109,1.1176,1.1089,1.1158,1.1158,0
2024-08-30,1.1153,1.1198,1.1138,1.1162,1.1162,0
2024-09-02,1.1149,1.1215,1.1136,1.1201,1.1201,0
2024-09-03,1.1196,1.1209,1.1113,1.1152,1.1152,0
2024-09-04,1.1149,1.1185,1.1105,1.1128,1.1128,0
