Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,1.2795,1.2797,1.271,1.2711,1.2711,22770
2019-05-19,1.2732,1.2756,1.2714,1.272,1.272,16313
2019-05-20,1.2723,1.2813,1.2685,1.2702,1.2702,35778
2019-05-21,1.2705,1.2719,1.2623,1.2659,1.2659,27891
2019-05-22,1.2656,1.2683,1.2602,1.2656,1.2656,31411
2019-05-23,1.2652,1.2731,1.2647,1.2709,1.2709,30578
2019-05-26,1.2724,1.2747,1.2666,1.2677,1.2677,14197
2019-05-27,1.2675,1.2701,1.2648,1.265,1.265,29231
2019-05-28,1.2652,1.2671,1.2611,1.2624,1.2624,26401
2019-05-29,1.2621,1.264,1.258,1.2606,1.2606,20561
2019-05-30,1.2607,1.2644,1.2558,1.2624,1.2624,31060
2019-06-02,1.2627,1.2673,1.261,1.2661,1.2661,27157
2019-06-03,1.2661,1.2714,1.2641,1.2696,1.2696,32190
2019-06-04,1.2694,1.2743,1.2678,1.2679,1.2679,33262
2019-06-05,1.2686,1.2742,1.2668,1.2691,1.2691,37448
2019-06-06,1.2693,1.2762,1.2688,1.2731,1.2731,30202
2019-06-09,1.273,1.2735,1.2652,1.2683,1.2683,24743
2019-06-10,1.2682,1.2732,1.267,1.2721,1.2721,30066
2019-06-11,1.272,1.2758,1.2681,1.2686,1.2686,32975
2019-06-12,1.2685,1.2707,1.2662,1.2671,1.2671,25347
2019-06-13,1.2673,1.2681,1.2579,1.2582,1.2582,29273
2019-06-16,1.258,1.2605,1.253,1.2531,1.2531,17958
2019-06-17,1.2532,1.2564,1.2505,1.2555,1.2555,30075
2019-06-18,1.2555,1.2673,1.2542,1.264,1.264,31119
2019-06-19,1.2632,1.2726,1.263,1.2701,1.2701,37210
2019-06-20,1.27,1.2746,1.2642,1.2736,1.2736,32749
2019-06-23,1.2726,1.2766,1.2707,1.2738,1.2738,21877
2019-06-24,1.2734,1.2783,1.2671,1.2686,1.2686,29388
2019-06-25,1.2688,1.2707,1.2662,1.2684,1.2684,30869
