Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,6.7675,6.7675,6.65,6.67,6.67,262583
2020-01-03,6.6,6.6475,6.6,6.6475,6.6475,27637
2020-01-06,6.5575,6.61,6.53,6.61,6.61,38256
2020-01-07,6.695,6.6975,6.6325,6.6875,6.6875,106331
2020-01-08,6.6575,6.71,6.64,6.66,6.66,100360
2020-01-09,6.775,6.7925,6.7525,6.7925,6.7925,41370
2020-01-10,6.8,6.805,6.7725,6.7962,6.7962,71915
2020-01-13,6.79,6.8075,6.6825,6.6962,6.6962,185217
2020-01-14,6.7025,6.7525,6.6725,6.7525,6.7525,69196
2020-01-15,6.8075,6.8688,6.795,6.8688,6.8688,39316
2020-01-16,6.8925,6.9294,6.885,6.9012,6.9012,18885
2020-01-17,6.935,6.9575,6.925,6.9475,6.9475,48694
2020-01-20,6.9025,6.935,6.9,6.935,6.935,10195
2020-01-21,6.88,6.9275,6.88,6.9225,6.9225,114858
2020-01-22,6.92,6.935,6.8875,6.9288,6.9288,103556
2020-01-23,6.91,6.9125,6.8375,6.855,6.855,51456
2020-01-24,6.9075,6.9075,6.78,6.795,6.795,35645
2020-01-27,6.705,6.705,6.5625,6.6625,6.6625,408220
2020-01-28,6.685,6.76,6.6825,6.76,6.76,77068
2020-01-29,6.755,6.7712,6.745,6.7712,6.7712,10596
2020-01-30,6.695,6.7025,6.6025,6.635,6.635,58571
2020-01-31,6.62,6.65,6.5325,6.5325,6.5325,16998
2020-02-03,6.6025,6.6425,6.585,6.6425,6.6425,64061
2020-02-04,6.71,6.7738,6.71,6.7738,6.7738,34897
2020-02-05,6.72,6.8775,6.72,6.8625,6.8625,224949
2020-02-06,6.93,6.93,6.875,6.9088,6.9088,151079
2020-02-07,6.885,6.885,6.8125,6.8212,6.8212,127887
2020-02-10,6.8125,6.83,6.7925,6.8238,6.8238,35923
2020-02-11,6.8725,6.93,6.87,6.9062,6.9062,30764
2020-02-12,6.9075,6.9225,6.8925,6.9175,6.9175,20175
2020-02-13,6.8925,6.9,6.88,6.8938,6.8938,46382
2020-02-14,6.95,6.95,6.9075,6.945,6.945,25215
2020-02-17,6.965,6.97,6.9525,6.9638,6.9638,53242
2020-02-18,6.9225,6.9425,6.9025,6.9338,6.9338,27524
2020-02-19,7.02,7.02,6.9825,7.0175,7.0175,28507
2020-02-20,6.99,6.9909,6.86,6.86,6.86,67103
2020-02-21,6.875,6.915,6.8425,6.8838,6.8838,176957
2020-02-24,6.875,6.875,6.5975,6.5975,6.5975,180737
2020-02-25,6.6725,6.6825,6.535,6.535,6.535,86374
