Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-02,162.83,163.29,160.46,161.5,152.7783,3825000
2024-01-03,161,161.73,160.08,160.1,151.4539,4086100
2024-01-04,160.22,161.81,160.17,160.86,152.1729,3212000
2024-01-05,159.91,160.55,158.67,159.16,150.5647,4199400
2024-01-08,158.69,161.22,157.89,161.14,152.4378,3321700
2024-01-09,160,160.48,159.51,160.08,151.435,2617200
2024-01-10,160.28,161.34,159.74,161.23,152.5229,2967800
2024-01-11,161.02,162.23,160.29,162.16,153.4027,3778200
2024-01-12,162.97,165.98,162.35,165.8,156.8461,4958300
2024-01-16,165.8,167.25,165.34,166.96,157.9434,4869600
2024-01-17,166.79,167.82,165.5,166.08,157.111,4288600
2024-01-18,166.49,166.99,165.04,166.84,157.8299,3776900
2024-01-19,170.59,171.58,169.18,171.48,162.2193,6929100
2024-01-22,172.82,174.45,172.4,172.83,163.4964,4926000
2024-01-23,172.9,174.02,172.48,173.94,164.5465,3983500
2024-01-24,174.76,174.86,172.9,173.93,164.537,9097800
2024-01-25,184.96,196.9,184.83,190.43,180.146,29596200
2024-01-26,191.31,192.39,186.16,187.42,177.2985,9895900
2024-01-29,187.46,189.46,186.05,187.14,177.0336,6107900
2024-01-30,187.71,188.65,186.77,187.87,177.7242,4575100
2024-01-31,187.05,187.65,183.14,183.66,173.7416,8876100
2024-02-01,183.63,187.51,182.71,186.9,176.8066,4669400
2024-02-02,187.1,187.39,185.62,185.79,175.7565,4055400
2024-02-05,185.51,185.78,183.26,183.42,173.5145,4379600
2024-02-06,183.55,184.68,183.04,183.41,173.5051,3337600
2024-02-07,183.34,184.02,182.63,183.74,173.8173,4841200
2024-02-08,182.63,184.55,181.49,184.36,175.9938,5161200
2024-02-09,184.44,187.18,183.85,186.34,177.8839,5064600
2024-02-12,185.9,186.48,184.03,186.16,177.7121,4724000
2024-02-13,184.28,184.77,182.36,183.7,175.3637,4290500
2024-02-14,185,185,182.26,183.57,175.2396,3173400
2024-02-15,183.62,186.98,183.62,186.87,178.3899,4714300
2024-02-16,186.63,188.95,185.95,187.64,179.1249,4842800
2024-02-20,187.64,188.77,183.06,183.44,175.1155,4247200
2024-02-21,182.56,183.03,178.75,179.7,171.5453,4723700
2024-02-22,182.45,184.55,181.93,184.21,175.8506,5078400
2024-02-23,184.9,186.46,184.57,185.72,177.2921,3433800
2024-02-26,185.6,186.13,184.06,184.13,175.7742,4620800
2024-02-27,184.16,185.13,182.62,184.87,176.4806,3641400
2024-02-28,184.63,185.37,183.55,185.3,176.8911,3216300
2024-02-29,186.15,186.85,184.69,185.03,176.6334,6458500
2024-03-01,185.49,188.38,185.18,188.2,179.6595,4018400
2024-03-04,187.76,193.9,187.6,193.06,184.299,7938300
2024-03-05,192,193.94,190.57,191.95,183.2394,5653600
2024-03-06,193.5,198.13,192.96,196.16,187.2583,6945800
2024-03-07,197.58,198.73,196.14,196.54,187.6211,4604500
2024-03-08,196.06,197.77,194.38,195.95,187.0578,3943100
2024-03-11,195.09,195.38,190.88,191.73,183.0293,4725100
2024-03-12,192.46,199.18,192.15,197.78,188.8048,5880100
