Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,9.98,10.08,9.98,10.01,9.2201,79634
2019-05-17,9.95,9.96,9.8727,9.88,9.1003,77224
2019-05-20,9.86,9.86,9.76,9.85,9.0727,79028
2019-05-21,9.9,10.04,9.9,9.98,9.1924,125708
2019-05-22,10.02,10.07,10.01,10.04,9.2477,186982
2019-05-23,9.94,9.96,9.8016,9.85,9.0727,119157
2019-05-24,9.92,9.97,9.9,9.9,9.1187,43791
2019-05-28,9.99,10.04,9.9612,10.04,9.2477,70960
2019-05-29,9.96,9.96,9.8901,9.96,9.174,60676
2019-05-30,9.99,10.06,9.99,10.04,9.2477,145715
2019-05-31,9.95,10.02,9.921,9.99,9.2016,517615
2019-06-03,10.04,10.17,10.04,10.15,9.349,339149
2019-06-04,10.21,10.27,10.17,10.27,9.4595,353964
2019-06-05,10.2,10.27,10.19,10.25,9.4411,193509
2019-06-06,10.25,10.27,10.19,10.23,9.4227,103854
2019-06-07,10.35,10.4399,10.3,10.41,9.5885,96586
2019-06-10,10.43,10.45,10.36,10.41,9.5885,130406
2019-06-11,10.49,10.49,10.41,10.45,9.6253,151620
2019-06-12,10.44,10.4499,10.35,10.39,9.5701,273719
2019-06-13,10.44,10.5,10.42,10.5,9.6714,157176
2019-06-14,10.44,10.48,10.37,10.42,9.5977,365688
2019-06-17,10.32,10.32,10.26,10.29,9.5496,309827
2019-06-18,10.38,10.5,10.38,10.47,9.7166,394236
2019-06-19,10.49,10.52,10.4129,10.5,9.7445,204615
2019-06-20,10.63,10.66,10.5741,10.65,9.8837,204024
2019-06-21,10.61,10.62,10.57,10.61,9.8465,252665
2019-06-24,10.65,10.66,10.6,10.61,9.8465,213031
2019-06-25,10.63,10.63,10.5,10.5,9.7445,365599
2019-06-26,10.6,10.6,10.5,10.52,9.763,275564
2019-06-27,10.5,10.61,10.48,10.61,9.8465,990937
2019-06-28,10.61,10.655,10.6,10.64,9.8744,238357
2019-07-01,10.8,10.8,10.655,10.72,9.9486,327044
2019-07-02,10.72,10.76,10.675,10.75,9.9765,284489
2019-07-03,10.82,10.88,10.8004,10.85,10.0693,706545
2019-07-05,10.77,10.85,10.7,10.85,10.0693,355637
2019-07-08,10.85,10.8569,10.79,10.84,10.06,320955
2019-07-09,10.79,10.84,10.76,10.84,10.06,134164
2019-07-10,10.88,10.9,10.82,10.85,10.0693,190582
