Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,61.46,62.075,61.46,62.075,54.8046,523
2019-05-17,60.85,61.06,60.83,61.01,53.8643,5180
2019-05-20,60.75,60.98,60.64,60.78,53.6612,626
2019-05-21,60.61,61.4,60.61,61.4,54.2086,192
2019-05-22,61.45,61.61,61.26,61.525,54.319,3480
2019-05-23,60.6,60.94,60.58,60.94,53.8025,1634
2019-05-24,61.01,61.36,60.98,60.98,53.8378,1484
2019-05-28,61.43,61.8,61.27,61.695,54.4691,3910
2019-05-29,61.08,61.29,61.0385,61.265,54.0894,2023
2019-05-30,61.72,61.965,61.72,61.965,54.7074,307
2019-05-31,61.65,62.125,61.65,62.125,54.8487,3903
2019-06-03,62.26,62.535,62.08,62.535,55.2107,8749
2019-06-04,62.38,62.55,62.2,62.55,55.2239,15382
2019-06-05,62.39,62.94,62.39,62.505,55.1842,9269
2019-06-06,62.23,62.67,62.23,62.455,55.1401,219
2019-06-07,62.66,63.065,62.66,63.065,55.6786,6498
2019-06-10,62.915,63.155,62.9,63.155,55.7581,2056
2019-06-11,63.58,63.83,63.43,63.615,56.1642,13039
2019-06-12,63.61,63.61,63.22,63.22,55.8155,84
2019-06-13,63.43,63.48,63.15,63.29,55.8773,26909
2019-06-14,63,63.22,62.8388,62.935,55.5638,7267
2019-06-17,62.65,62.92,62.65,62.8,55.4447,6193
2019-06-18,62.62,63.92,62.62,63.85,56.3717,5446
2019-06-19,63.54,63.71,63.12,63.27,55.8596,21600
2019-06-20,64.37,64.97,64.37,64.755,57.1707,3914
2019-06-21,64.24,64.65,64.24,64.515,56.9588,6931
2019-06-24,64.44,64.63,64.44,64.545,56.9853,380
2019-06-25,64.51,64.54,64.25,64.4,56.8573,2512
2019-06-26,64.18,64.6,64.18,64.6,57.0338,11047
2019-06-27,64.86,64.91,64.51,64.65,57.078,7346
2019-06-28,64.63,64.99,64.59,64.9,57.2987,22013
2019-07-01,65.61,65.62,65.27,65.27,57.6254,5281
2019-07-02,65.32,65.35,65.32,65.35,57.696,1934
2019-07-03,65.205,65.205,65.205,65.205,57.568,0
2019-07-04,65.28,65.585,65.28,65.585,57.9035,293
2019-07-05,65.31,65.46,64.85,65.04,57.4223,856
2019-07-08,64.38,64.82,63.73,64.74,57.1574,1462
2019-07-09,64.15,64.75,64.15,64.6,57.0338,11060
2019-07-10,65.15,65.15,64.52,65.08,57.4576,1087
2019-07-11,65.05,65.07,64.79,64.79,57.6921,5037
2019-07-12,64.7,64.7,64.64,64.64,57.5585,82
2019-07-15,64.69,64.9294,64.58,64.79,57.6921,2890
2019-07-16,64.99,64.99,64.78,64.805,57.7054,432
2019-07-17,64.43,64.69,64.43,64.62,57.5407,6444
2019-07-18,64.5,64.705,64.49,64.705,57.6164,4071
2019-07-19,65.07,65.14,64.845,64.845,57.741,1660
2019-07-22,64.51,64.7,64.39,64.525,57.4561,2654
2019-07-23,64.255,64.255,64.255,64.255,57.2157,0
2019-07-24,63.87,64.28,63.87,64.135,57.1088,21135
2019-07-25,64.29,64.3,63.79,63.86,56.8639,3124
2019-07-26,63.95,63.95,63.83,63.855,56.8595,2337
2019-07-29,63.48,63.51,63.4,63.5,56.5434,627
