Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,2945,2970.5,2942.5,2969.5,2621.2642,12424
2020-01-03,2962.5,2966,2942.122,2966,2618.1747,34083
2020-01-06,2925.5,2945.875,2919.5,2938.5,2593.8996,7993
2020-01-07,2957.5,2963,2946.5,2946.5,2600.9614,18829
2020-01-08,2924.5,2955,2923,2952.75,2606.4785,8197
2020-01-09,2972.5,2979,2967,2967.25,2619.2781,21746
2020-01-10,2979,2979,2963.65,2969.75,2621.4849,32518
2020-01-13,2982.5,2992.95,2974.622,2988,2637.5947,4222
2020-01-14,2996,2996,2970.9,2986.5,2636.2706,53228
2020-01-15,2986,2991.5,2983,2989,2638.4774,11355
2020-01-16,2993,2993,2981.5,2983.5,2633.6224,75751
2020-01-17,2990,3011,2990,3011,2657.8975,209272
2020-01-20,3014.5,3017.5,3012,3012,2658.7802,8549
2020-01-21,3003.5,3003.5,2984,2998.5,2646.8634,11921
2020-01-22,3004,3006.14,2969.25,2969.25,2621.0435,13701
2020-01-23,2961,2973.5,2944,2944.5,2599.196,6307
2020-01-24,2959.5,2982,2959.5,2974.75,2625.8985,14688
2020-01-27,2939.5,2939.5,2907,2909.5,2568.3005,40458
2020-01-28,2915,2951.5,2915,2948.5,2602.7269,33373
2020-01-29,2942.5,2960.64,2942.5,2959.5,2612.4369,16858
2020-01-30,2930.5,2950.378,2905.5,2913.5,2571.8314,431206
2020-01-31,2922.5,2922.5,2874.5,2877.75,2540.2738,721797
2020-02-03,2889,2925,2886.4,2920,2577.5691,61480
2020-02-04,2948,2958.5,2946.5,2956.25,2609.5681,14707
2020-02-05,2945.5,3004.925,2945.5,3001.5,2649.5115,59642
2020-02-06,3017.5,3024,3012,3022,2667.6075,74996
2020-02-07,3004,3019,3002.5,3016.5,2662.7525,58514
2020-02-10,3018,3018,2996,3005,2652.6011,8353
2020-02-11,3021.5,3032,3016,3025,2670.2557,6920
2020-02-12,3022,3036.4,3022,3030.5,2675.1107,22539
2020-02-13,3018.5,3019,2981.52,2997.5,2645.9806,14227
2020-02-14,2980.5,3008,2980.5,3000.5,2648.6288,11259
2020-02-17,3010,3012,2999,3010.5,2657.4561,22119
2020-02-18,2998,3002,2984.5,2994.5,2643.3324,15453
2020-02-19,3001.5,3029.5,3001.5,3029,2673.7866,70474
2020-02-20,3036.5,3047.925,3025.75,3025.75,2670.9177,19408
2020-02-21,2995.5,3011.5,2990.5,2997.75,2646.2013,27943
2020-02-24,2923,2923,2880.9,2892.25,2553.0734,29761
2020-02-25,2899,2899.5,2822,2823.5,2492.3858,43948
2020-02-26,2814.5,2855.5,2774.205,2853.5,2518.8676,188051
2020-02-27,2806.5,2829.5,2763.5,2789,2461.9316,75113
2020-02-28,2721,2727,2680.125,2719.5,2400.5819,83829
2020-03-02,2795,2806,2712,2770.5,2445.6011,116718
2020-03-03,2799.5,2844,2793,2807,2477.8207,178823
2020-03-04,2812,2844.5,2800,2832.75,2500.551,67980
2020-03-05,2848,2848,2763.5,2785.25,2458.6214,54030
2020-03-06,2734,2734,2688.754,2695,2378.9551,53370
2020-03-09,2479,2560,2479,2501,2207.7056,26517
2020-03-10,2527.5,2595,2472,2472,2182.1065,33161
2020-03-11,2515.5,2528.5,2465.5,2472.5,2182.5478,116156
2020-03-12,2332.5,2346,2193,2197.5,1942.6439,94854
2020-03-13,2270.5,2427.935,2238,2255,1993.4753,31795
2020-03-16,2085,2206,2069,2193,1938.6658,45289
2020-03-17,2255,2258,2150,2247.5,1986.8451,67241
2020-03-18,2222,2229.875,2171,2204,1948.3901,69994
2020-03-19,2212,2295.83,2210.5,2266.75,2003.8626,52478
2020-03-20,2323.5,2366,2219.088,2284.5,2019.554,17196
2020-03-23,2213,2314,2207,2263.25,2000.7685,278430
2020-03-24,2274.5,2395.5,2274.5,2395.5,2117.6808,30189
2020-03-25,2462,2473.945,2343,2454.25,2169.6172,32261
2020-03-26,2407,2474,2400.455,2474,2187.0767,102793
2020-03-27,2428.5,2444.44,2354.5,2373.5,2098.2322,69327
2020-03-30,2389,2391,2332.786,2387.5,2110.6086,57808
2020-03-31,2421,2453,2370.5,2404.75,2125.858,211096
2020-04-01,2359.5,2369.5,2325.104,2330.75,2060.4402,43279
2020-04-02,2343.5,2360,2296.5,2328.75,2058.6721,32021
2020-04-03,2324.5,2341,2317.436,2328.5,2058.4511,55712
2020-04-06,2377,2416.75,2377,2416.75,2136.4663,61756
2020-04-07,2474.5,2496.97,2448,2463,2177.3524,28235
2020-04-08,2432.5,2444,2423.5,2439,2156.1358,30419
2020-04-09,2490.5,2490.5,2432.5,2477.75,2190.3918,33671
2020-04-14,2491,2495.5,2470.5,2475.25,2188.1817,21137
2020-04-15,2470.5,2477.96,2393.5,2397.5,2119.4488,26673
2020-04-16,2431,2434.5,2396,2418.75,2138.2343,316356
2020-04-17,2465,2488.102,2465,2479,2191.4968,23716
2020-04-20,2492.5,2498,2453,2498,2208.2933,84088
2020-04-21,2470.5,2471.5,2450.5,2450.5,2166.3021,92438
2020-04-22,2462.5,2473.878,2456.5,2471,2184.4246,16337
2020-04-23,2471.5,2496,2452,2483.25,2195.2539,67139
2020-04-24,2429.5,2478.34,2429.5,2459.25,2174.0373,44052
2020-04-27,2492,2500,2480.5,2500,2210.0613,32385
2020-04-28,2494.5,2545.34,2494.5,2529.25,2235.919,15177
2020-04-29,2521,2577.5,2521,2577.5,2278.5732,25694
2020-04-30,2595.5,2595.5,2508,2508,2217.1335,37105
2020-05-01,2458.5,2492.5,2455.5,2479.5,2191.9388,56555
2020-05-04,2464,2476.88,2459,2459,2173.8163,27010
2020-05-05,2486,2497,2458.5,2487.5,2199.011,53810
2020-05-06,2484,2503.5,2484,2489.5,2200.7791,34494
2020-05-07,2493.5,2521.5,2493.5,2521.5,2229.0679,23942
2020-05-11,2556,2556,2529.5,2537.25,2242.9912,6283
2020-05-12,2543.5,2567,2539.485,2564.25,2266.8599,22691
2020-05-13,2530,2540.26,2521.84,2524.5,2231.7199,28481
2020-05-14,2493.5,2501.5,2441.5,2478.5,2191.0548,102714
2020-05-15,2494,2513.38,2484.653,2504.5,2214.0394,18611
2020-05-18,2544.5,2601,2544.5,2601,2299.3478,516573
2020-05-19,2635,2635,2578,2594.75,2293.8226,54963
2020-05-20,2583,2632,2583,2630.75,2325.6475,6437
2020-05-21,2614.5,2633.5,2600.5,2602.5,2300.6738,56574
2020-05-22,2575.5,2610.5,2569,2601.5,2299.7898,171608
2020-05-26,2660,2667.5,2648.84,2661,2352.3893,18735
2020-05-27,2663,2702.34,2663,2696,2383.3301,53157
2020-05-28,2712.5,2743.92,2712.5,2742.5,2424.4373,17313
2020-05-29,2716,2743.34,2710,2719.5,2404.1047,98027
2020-06-01,2749.5,2749.5,2715.5,2725.5,2409.4089,107522
2020-06-02,2729,2753,2724.5,2749.25,2430.4044,22846
2020-06-03,2771.5,2825,2771.5,2821,2493.8332,185597
2020-06-04,2823.5,2844.84,2812.5,2835.25,2506.4305,156809
2020-06-05,2867.5,2870.975,2853,2867,2534.4983,24813
2020-06-08,2852.5,2874.5,2840.32,2863.5,2531.4042,34530
2020-06-09,2849.5,2858.5,2824.62,2843.25,2513.5027,34610
2020-06-10,2841.5,2855.5,2819.5,2819.5,2492.5072,89034
2020-06-11,2766,2767.015,2713,2713,2421.5364,144261
2020-06-12,2696.5,2750.16,2696.5,2715,2423.3216,52215
2020-06-15,2680,2715.5,2661,2711.5,2420.1976,16861
2020-06-16,2751.5,2785.5,2751.5,2779,2480.4459,15272
2020-06-17,2790,2812,2790,2809.25,2507.4461,36635
2020-06-18,2801.5,2827,2793,2814,2511.6858,84464
2020-06-19,2834.5,2859.5,2829,2840,2534.8925,201655
2020-06-22,2804,2839.34,2804,2813.75,2511.4626,19857
2020-06-23,2826.5,2869,2826.5,2854,2547.3885,18341
2020-06-24,2837,2842.264,2785.5,2785.5,2486.2476,18244
2020-06-25,2755,2802.5,2754.5,2802,2500.975,33218
2020-06-26,2815,2837.797,2799.541,2805,2503.6527,28426
2020-06-29,2784.5,2845.802,2784.5,2842.75,2537.3471,69143
2020-06-30,2847,2847,2806,2815.5,2513.0246,46719
2020-07-01,2822.5,2823.5,2777,2808.5,2506.7766,29094
2020-07-02,2811,2859,2811,2855.25,2548.5042,30202
2020-07-03,2865.5,2865.5,2837.5,2837.75,2532.8843,12007
2020-07-06,2891.5,2906.5,2873.5,2897.75,2586.4383,47829
2020-07-07,2888,2888,2853.865,2855.5,2548.7273,54705
2020-07-08,2829.5,2868.5,2829.5,2846.75,2540.9174,81512
2020-07-09,2861,2861,2811,2819.25,2516.3717,26543
2020-07-10,2804.5,2836.275,2804.5,2835,2530.4297,59052
2020-07-13,2864,2892.25,2853.32,2892.25,2581.5292,18258
2020-07-14,2868,2893.5,2857,2893.5,2582.6449,157593
2020-07-15,2898.5,2939,2898.5,2931.75,2616.7856,170713
2020-07-16,2915.5,2927.775,2909.865,2921.25,2607.4137,30927
2020-07-17,2921.5,2942.985,2916.5,2942.5,2626.3807,63731
2020-07-20,2927,2946.365,2922,2942.5,2626.3807,21568
2020-07-21,2955,2971,2935.5,2942.5,2626.3807,78093
2020-07-22,2954.5,2959.5,2943.5,2950.5,2633.5213,40964
2020-07-23,2962,2977.82,2947,2949.5,2632.6287,22098
2020-07-24,2912,2919.37,2892,2897,2585.7689,39181
2020-07-27,2899,2910,2895,2898,2586.6615,32577
2020-07-28,2893,2903.5,2879.5,2885.5,2575.5044,24843
2020-07-29,2877,2893.5,2876.515,2890.5,2579.9672,24066
2020-07-30,2884,2885.554,2785.455,2808.75,2506.9998,19479
2020-07-31,2821,2830.475,2776.75,2776.75,2478.4376,10220
2020-08-03,2772,2835,2765,2827.5,2523.7354,99069
2020-08-04,2838.5,2838.5,2819,2827,2523.2891,17598
2020-08-05,2845.5,2856.648,2844,2850.5,2544.2645,21490
2020-08-06,2839,2849,2806.5,2825.25,2521.7272,24463
2020-08-07,2821.5,2839,2812.5,2837,2532.2148,8737
2020-08-10,2834.5,2844,2825.32,2831.5,2527.3057,154084
2020-08-11,2845,2893.865,2845,2882.5,2572.8267,26123
2020-08-12,2874,2932.5,2874,2926,2611.6534,126471
2020-08-13,2921,2929,2910.768,2918.25,2604.736,143881
2020-08-14,2910,2910,2858,2878.25,2569.0332,63941
2020-08-17,2868,2901,2868,2897,2585.7689,36764
2020-08-18,2897,2906.5,2862.25,2862.25,2554.7522,15260
2020-08-19,2863,2888,2863,2887,2576.8432,23421
2020-08-20,2869,2872.5,2852.025,2852.5,2546.0496,22005
2020-08-21,2847,2856,2823,2845.5,2539.8017,9735
2020-08-24,2872.5,2907.78,2868,2902.5,2590.678,162393
2020-08-25,2909,2921.643,2893,2893,2582.1986,32009
2020-08-26,2868,2905.5,2868,2905.25,2593.1326,27777
2020-08-27,2907,2907,2876,2876.5,2567.4713,23730
2020-08-28,2880.5,2887.955,2854.5,2855,2548.281,42411
2020-09-01,2858.5,2858.5,2811.5,2823.25,2519.942,115391
2020-09-02,2833,2878.5,2833,2868.25,2560.1076,22541
2020-09-03,2881.5,2907.557,2831.5,2836.25,2531.5454,5866
2020-09-04,2812.5,2860.48,2806,2815,2512.5783,73506
2020-09-07,2839.5,2877.5,2839.5,2871.5,2563.0084,35901
2020-09-08,2884.5,2884.5,2838,2863,2555.4216,39075
2020-09-09,2869,2929,2869,2927.5,2612.9922,8685
2020-09-10,2919.5,2967,2919,2965.5,2646.9098,23168
2020-09-11,2956,2985,2956,2979.25,2659.1826,21311
2020-09-14,2990.5,2991.725,2961,2968.75,2649.8106,18456
2020-09-15,2967,2989.5,2967,2982,2661.6372,21441
2020-09-16,2980,2991.5,2950,2962,2643.7858,15239
2020-09-17,2905.5,2947.5,2905.5,2944.5,2637.9437,27175
2020-09-18,2945.5,2949.257,2932.5,2940.25,2634.1362,106473
2020-09-21,2909,2914,2842.5,2845.75,2549.4747,78206
2020-09-22,2865.5,2878.28,2856.78,2868.75,2570.0802,12293
2020-09-23,2885,2904.985,2859,2859,2561.3452,11653
2020-09-24,2822.5,2845.5,2818.665,2830.5,2535.8124,58559
2020-09-25,2823,2825.975,2794.775,2816.75,2523.494,15666
2020-09-28,2844,2859.25,2832.385,2859.25,2561.5692,12472
2020-09-29,2854.5,2878,2837.5,2867.5,2568.9603,35168
2020-09-30,2844,2875.5,2844,2848.75,2552.1624,5722
2020-10-01,2867,2887.5,2853.11,2863,2564.9288,27152
2020-10-02,2841.5,2844.25,2818.5,2844.25,2548.1309,15709
2020-10-05,2878.5,2886,2867,2880.5,2580.6068,58972
2020-10-06,2883.5,2906.5,2868,2889,2588.2219,16307
2020-10-07,2886,2904,2886,2889.25,2588.4459,13363
2020-10-08,2899.5,2912.7,2884.275,2911.5,2608.3794,18997
2020-10-09,2908.5,2930.5,2908.5,2920,2615.9944,41625
2020-10-12,2921,2940.48,2917.335,2928,2623.1615,13959
2020-10-13,2924.5,2934.5,2912.5,2921.5,2617.3383,50327
2020-10-14,2939.5,2950,2904.5,2908,2605.2438,291940
2020-10-15,2874,2877.03,2843,2860,2562.2411,28070
2020-10-16,2882,2910.5,2873,2903,2600.7643,93542
2020-10-19,2896,2909.5,2891.5,2899.5,2597.6287,107310
2020-10-20,2886,2921.28,2886,2911.5,2608.3794,29082
2020-10-21,2920,2920,2835,2835.25,2540.0679,65312
2020-10-22,2816,2840,2799.5,2835.25,2540.0679,258436
2020-10-23,2826,2869.835,2826,2859.75,2562.0172,59746
2020-10-26,2828,2843.835,2808.5,2810.25,2517.6707,26732
2020-10-27,2823,2823,2770,2771.5,2482.955,14450
2020-10-28,2717,2726,2663.225,2692,2411.7319,25817
2020-10-29,2683.5,2701,2663,2681,2401.8771,44751
2020-10-30,2647.5,2681,2647.5,2673.5,2395.1579,58096
2020-11-02,2683,2724.75,2677,2724.75,2441.0722,15513
2020-11-03,2739.5,2769.5,2739.5,2768.5,2480.2673,19304
2020-11-04,2758.5,2848,2747,2847.5,2551.0425,29069
2020-11-05,2870.5,2888.665,2870,2879,2579.263,56948
2020-11-06,2865.5,2892,2848,2874.5,2575.2315,153875
2020-11-09,2912,2997.5,2912,2970.5,2661.2368,35383
2020-11-10,2966,2971.5,2935.28,2962,2653.6218,27512
2020-11-11,2956,2990,2953,2990,2678.7066,51204
2020-11-12,2961,2998,2961,2996.5,2684.5299,30754
2020-11-13,2978,2997.28,2978,2987.5,2676.4669,15849
2020-11-16,3028.5,3034,3004,3024,2709.1668,20787
2020-11-17,3013,3021,3002,3010,2696.6244,57106
2020-11-18,2996,3019.835,2995,3011,2697.5203,11568
2020-11-19,2991.5,3009.225,2988,3000.25,2687.8895,22763
2020-11-20,2990.5,3014,2990.5,3003,2690.3532,57838
2020-11-23,3017.5,3017.5,2987,2987,2676.019,92226
2020-11-24,3000,3015.5,3000,3015.5,2701.5518,24061
2020-11-25,3024.5,3027.67,3017,3021,2706.4792,5435
2020-11-26,3028,3038.5,3024.225,3034.5,2718.5737,7299
2020-11-27,3037,3063.75,3032,3063.75,2744.7784,10074
2020-11-30,3055,3073.225,3024,3024,2709.1668,37508
2020-12-01,3038.5,3060.2,3032.087,3050,2732.4599,22374
2020-12-02,3053,3075.5,3053,3073,2753.0654,3779
2020-12-03,3068.5,3069.28,3048.669,3049,2731.5641,114963
2020-12-04,3063.5,3073.5,3049.71,3060.75,2742.0907,19575
2020-12-07,3066,3103,3066,3091,2769.1914,117953
2020-12-08,3080.5,3091.5,3066.5,3086.5,2765.1599,38079
2020-12-09,3092,3092,3073.725,3080.75,2760.0085,108121
2020-12-10,3096.5,3115.5,3081.5,3095.5,2775.9901,100442
2020-12-11,3082,3107,3073,3090.25,2771.282,60109
2020-12-14,3084,3096.054,3074,3087,2768.3674,20115
2020-12-15,3097,3105,3071.5,3071.5,2754.4673,46932
2020-12-16,3085.5,3092.725,3078.725,3084,2765.6771,24033
2020-12-17,3095,3106.5,3085.5,3090,2771.0578,35052
2020-12-18,3115.5,3124.5,3107.5,3107.5,2786.7515,35459
