Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,28.3638,28.4325,28.3527,28.4325,25.3277,430
2020-01-03,28.29,28.3861,28.29,28.3772,25.2785,4027
2020-01-06,28.2,28.3591,28.2,28.3508,25.255,972
2020-01-07,28.2527,28.28,28.2527,28.28,25.1919,868
2020-01-08,28.32,28.32,28.1331,28.1331,25.061,1180
2020-01-09,28.09,28.17,28.09,28.1334,25.0613,830
2020-01-10,28.18,28.18,28,28.0227,24.9627,5401
2020-01-13,27.99,28.2691,27.99,28.2654,25.1789,2233
2020-01-14,28.37,28.4761,28.37,28.41,25.3077,1366
2020-01-15,28.52,28.647,28.52,28.5957,25.4731,5066
2020-01-16,28.88,28.885,28.8799,28.8799,25.7263,954
2020-01-17,28.8914,28.99,28.8914,28.9861,25.8209,328
2020-01-21,29,29,28.7349,28.7349,25.5971,601
2020-01-22,28.7079,28.7079,28.671,28.671,25.5402,331
2020-01-23,28.5766,28.8587,28.5766,28.8587,25.7074,1106
2020-01-24,28.73,28.73,28.5409,28.57,25.4502,5026
2020-01-27,28.35,28.37,28.06,28.3119,25.2203,1017
2020-01-28,28.3959,28.4632,28.3959,28.4632,25.3551,5199
2020-01-29,28.4253,28.44,28.3894,28.3965,25.2957,1950
2020-01-30,28.16,28.4561,28.16,28.4561,25.3488,235
2020-01-31,28.11,28.11,28.0098,28.0098,24.9512,234
2020-02-03,28.07,28.279,28.07,28.2385,25.1549,1863
2020-02-04,28.53,28.58,28.36,28.36,25.2632,3752
2020-02-05,28.68,28.8379,28.65,28.8286,25.6806,1395
2020-02-06,28.69,28.69,28.6468,28.6468,25.5186,524
2020-02-07,28.549,28.549,28.38,28.4177,25.3146,4959
2020-02-10,28.45,28.4577,28.3984,28.4577,25.3502,1701
2020-02-11,28.51,28.77,28.51,28.6959,25.5624,1914
2020-02-12,28.76,28.8257,28.745,28.8257,25.678,3673
2020-02-13,28.83,28.9492,28.8244,28.9492,25.788,662
2020-02-14,29,29,28.83,28.963,25.8003,2548
2020-02-18,28.9299,28.9299,28.8225,28.8731,25.7202,4119
2020-02-19,28.98,29.015,28.9707,28.9707,25.8072,1367
2020-02-20,29.03,29.03,28.96,29.0216,25.8525,899
2020-02-21,28.9699,29,28.9077,28.9079,25.7512,1516
2020-02-24,28.23,28.3999,28.22,28.2724,25.1851,4121
2020-02-25,28.3,28.3,27.29,27.29,24.31,10605
2020-02-26,27.3533,27.44,26.85,26.8854,23.9496,7471
2020-02-27,26.173,26.5549,25.7289,25.7289,22.9194,2938
2020-02-28,24.89,25.08,24.6546,24.9881,22.2595,15689
2020-03-02,25.16,25.9639,25.0466,25.9639,23.1287,1169
2020-03-03,25.94,26.45,25.6176,25.6176,22.8202,1115
2020-03-04,26.0143,26.6436,26.0084,26.6436,23.7342,690
2020-03-05,26.12,26.2,25.8287,25.8287,23.0083,14424
2020-03-06,25,25.495,24.9899,25.4047,22.6306,2757
2020-03-09,23.47,23.8246,22.9219,23.0441,20.5277,5167
2020-03-10,23.12,23.4762,22.46,23.4762,20.9127,9090
2020-03-11,22.846,22.846,21.9278,22.24,19.8114,5957
2020-03-12,20.11,20.4232,19.7675,19.7675,17.6089,5158
2020-03-13,20.81,20.8598,19.63,20.8598,18.582,8508
2020-03-16,18.725,19.5001,18.4835,18.4835,16.4651,6524
2020-03-17,18.56,19.9589,18.56,19.9589,17.7794,9171
2020-03-18,18.57,18.57,18.06,18.493,16.4736,8497
2020-03-19,17.8883,18.9963,17.8883,18.9963,16.9219,9159
2020-03-20,18.74,18.8337,17.6189,17.6189,15.695,5103
2020-03-23,17.24,17.3262,16.6896,17.1053,15.2374,16728
2020-03-24,17.93,18.6345,17.92,18.6345,16.5997,4282
2020-03-25,19.38,19.43,18.9868,18.9868,17.0489,2677
2020-03-26,19.9,20.3743,19.8016,20.3743,18.2948,3566
2020-03-27,19.44,20.26,19.44,19.8371,17.8124,3628
2020-03-30,20,20.4232,20,20.4232,18.3387,1178
2020-03-31,20.265,20.52,20.08,20.2645,18.1962,60331
2020-04-01,19.63,19.67,18.949,19.22,17.2583,27763
2020-04-02,19.19,19.767,19.16,19.6164,17.6142,18101
2020-04-03,19.5,19.67,18.68,18.95,17.0158,33215
2020-04-06,19.69,20.42,19.69,20.33,18.255,35015
2020-04-07,21.2,21.32,20.12,20.2871,18.2165,56712
2020-04-08,20.6177,21.34,20.28,21.23,19.0631,29423
2020-04-09,22,22.39,21.8201,22.1944,19.9291,36744
2020-04-13,22.4,22.4,21.3617,21.55,19.3505,22489
2020-04-14,22.14,22.21,21.639,21.94,19.7007,37877
2020-04-15,21.46,21.53,20.74,20.8534,18.725,13485
2020-04-16,21.09,21.09,20.44,20.78,18.6591,17865
2020-04-17,21.51,21.7197,21.25,21.65,19.4403,18920
2020-04-20,21.39,21.39,20.89,20.98,18.8387,11903
2020-04-21,20.69,20.69,20.44,20.63,18.5244,10920
2020-04-22,21.15,21.15,20.77,20.91,18.7758,4206
2020-04-23,21.19,21.4357,20.99,21.13,18.9733,7867
2020-04-24,21.36,21.36,20.99,21.29,19.117,15847
2020-04-27,21.56,22.09,21.42,22.01,19.7635,25895
2020-04-28,22.16,22.7,22.16,22.51,20.2125,17110
2020-04-29,22.95,23.5,22.95,23.3,20.9219,19360
2020-04-30,23.18,23.18,22.44,22.5,20.2035,8928
2020-05-01,21.97,21.97,21.477,21.62,19.4133,10504
2020-05-04,21.33,21.58,21.1,21.58,19.3774,3617
2020-05-05,22.2502,22.2502,21.7364,21.7364,19.5178,4873
2020-05-06,21.91,21.91,21.05,21.05,18.9015,4803
2020-05-07,21.35,21.45,21.2998,21.2998,19.1258,4537
2020-05-08,21.795,22.11,21.795,22.11,19.8533,3997
2020-05-11,21.83,21.838,21.35,21.71,19.4941,9930
2020-05-12,21.9,21.9,20.97,20.97,18.8297,21373
2020-05-13,20.77,20.77,20.1764,20.3,18.2281,11673
