Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,3700,3722,3695,3709,3398.4004,14653
2020-01-03,3687,3709,3673,3694,3384.6565,8011
2020-01-06,3707,3707,3659,3673,3365.4151,4204
2020-01-07,3709,3709,3672,3675,3367.2476,2500
2020-01-08,3659,3685,3646,3685,3376.4102,788138
2020-01-09,3698,3713,3693,3710.5,3399.7747,3558
2020-01-10,3794,3794,3706,3714.5,3403.4398,3776
2020-01-13,3807,3807,3739.11,3766,3450.627,4141
2020-01-14,3772,3790,3772,3787.5,3470.3266,13486
2020-01-15,3784,3816,3783,3809.5,3490.4843,9146
2020-01-16,3822,3826,3793,3801,3482.6961,5336
2020-01-17,3828,3855,3823.405,3850.5,3528.0508,22229
2020-01-20,3884,3884,3862,3866.5,3542.711,6178
2020-01-21,3871,3871,3827,3846,3523.9277,4682
2020-01-22,3890,3890,3828,3832.5,3511.5582,4624
2020-01-23,3819,3838,3775,3802,3483.6123,13984
2020-01-24,3870,3875.595,3853,3870.5,3546.376,10688
2020-01-27,3846,3849,3790,3801,3482.6961,30809
2020-01-28,3838,3859,3825,3840,3518.4301,5530
2020-01-29,3853,3869,3847,3865.5,3541.7947,10725
2020-01-30,3800,3848,3800,3802,3483.6123,9420
2020-01-31,3824,3828,3772,3774,3457.9571,6946
2020-02-03,3776,3839,3776,3816,3496.4399,15164
2020-02-04,3876,3876,3848,3862.5,3539.0459,12139
2020-02-05,3875,3913.999,3860,3904.5,3577.5288,5128
2020-02-06,3944,3944,3896,3896,3569.7406,13831
2020-02-07,3925,3938,3899.405,3914.5,3586.6913,6097
2020-02-10,3922,3922,3890,3912.5,3584.8588,7432
2020-02-11,3965,3970,3923.268,3962.5,3630.6717,9504
2020-02-12,3963,3981,3948.65,3962,3630.2136,12906
2020-02-13,3981,3981,3918,3931.5,3602.2677,12396
2020-02-14,3950,3959,3938,3953,3621.9673,7946
2020-02-17,3982,3982,3949,3961.5,3629.7555,5543
2020-02-18,3970,3971,3941.5,3941.5,3611.4303,7543
2020-02-19,3965,3996,3965,3991.5,3657.2432,10940
2020-02-20,4029,4029,3985,3985,3651.2875,5391
2020-02-21,3939,3997,3939,3973.5,3640.7506,14010
2020-02-24,3949,3949,3847,3868,3544.0854,15050
2020-02-25,3871,3880,3784,3814,3494.6074,17315
2020-02-26,3787,3805,3703,3793,3475.366,20023
2020-02-27,3733,3748.344,3660,3690.5,3381.4496,8649
2020-02-28,3579,3599,3474,3511,3216.9813,36551
2020-03-02,3612,3635,3515,3608,3305.8583,21003
2020-03-03,3686,3803,3679,3719,3407.5629,11596
2020-03-04,3717,3755,3683.034,3740.5,3427.2625,10687
2020-03-05,3756,3791.212,3700,3736.5,3423.5974,13356
2020-03-06,3673,3673,3558.902,3602,3300.3608,45496
2020-03-09,3602,3602,3318,3371,3088.7052,11541
2020-03-10,3466,3518,3353,3353,3072.2126,18257
2020-03-11,3421,3427,3330,3348,3067.6313,8693
2020-03-12,3196,3223,3007,3007,2755.1873,14273
2020-03-13,3078,3244,3045,3090,2831.2367,11184
2020-03-16,2850,3079,2850,3052.5,2796.8771,52012
2020-03-17,3044,3216,2958.28,3176.5,2910.493,11534
2020-03-18,3099,3200,3095,3164,2899.0398,8714
2020-03-19,3243,3291,3125,3156.5,2892.1679,13574
2020-03-20,3238,3280,3056,3062.5,2806.0397,14643
2020-03-23,2964,3074,2858,2907.5,2664.0197,11943
2020-03-24,2964,3049,2940,3044,2789.0889,6206
2020-03-25,3130,3156.047,3020,3150,2886.2122,14590
2020-03-26,3092,3279,3033.52,3231.5,2960.8872,5836
2020-03-27,3231,3240,3106,3126.5,2864.6802,17160
2020-03-30,3220,3220,3102,3183.5,2916.9069,3874
2020-03-31,3273,3284,3165,3192,2924.695,26217
2020-04-01,3127,3127,3039.5,3039.5,2784.9657,15211
2020-04-02,3000,3083.96,2989,3059.5,2803.2909,7065
2020-04-03,3030,3115.84,3030,3064.5,2807.8722,6629
2020-04-06,3169,3186,3132.11,3182,2915.5325,12583
2020-04-07,3284,3322,3222,3258.5,2985.6262,16186
2020-04-08,3160,3227.82,3160,3226.5,2956.3059,17052
2020-04-09,3324,3352.83,3243,3348,3067.6313,35532
2020-04-14,3300,3404,3295,3316,3038.311,18367
2020-04-15,3327,3336,3254,3258.5,2985.6262,20478
2020-04-16,3280,3289,3242,3284,3008.9908,18004
2020-04-17,3379,3388,3319.5,3319.5,3041.5179,12181
2020-04-20,3346,3400,3310,3328.5,3049.7642,16265
2020-04-21,3332,3332,3258.5,3258.5,2985.6262,17703
2020-04-22,3314,3314,3265,3303,3026.3997,10046
2020-04-23,3337,3347,3298.496,3330,3051.1386,13519
2020-04-24,3301,3334.102,3264.898,3304,3027.3159,4663
2020-04-27,3306,3372,3306,3362.5,3080.917,8481
2020-04-28,3409,3459.714,3389.69,3412.5,3126.7299,7939
2020-04-29,3490,3514.14,3418,3472,3181.2472,15484
