Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,2208,2246,2208,2246,1876.4861,18765
2019-05-17,2242.5,2255,2239,2253.75,1882.9611,14981
2019-05-20,2260.5,2260.5,2248.5,2251,1880.6635,30521
2019-05-21,2264,2266,2254,2256.5,1885.2587,50062
2019-05-22,2268.5,2273.5,2266.5,2272.25,1898.4175,27048
2019-05-23,2269,2276.68,2266,2267,1894.0312,5692
2019-05-24,2280,2284,2270.5,2275,1900.715,6173
2019-05-28,2281,2284.5,2274.5,2275.5,1901.1328,27466
2019-05-29,2259.5,2259.5,2249.01,2252.5,1881.9167,38241
2019-05-30,2245,2252.5,2240,2251.5,1881.0813,102103
2019-05-31,2217.5,2255,2217.5,2253,1882.3345,56416
2019-06-03,2255.5,2270,2251.5,2267.5,1894.4489,110815
2019-06-04,2272.5,2273.5,2251.425,2256.5,1885.2587,11851
2019-06-05,2275,2292,2267,2292,1914.9182,7720
2019-06-06,2294.5,2314.5,2294.5,2305,1925.7794,22278
2019-06-07,2315,2321,2311.065,2317,1935.8052,51679
2019-06-10,2314,2318.49,2311.84,2316,1934.9697,37191
2019-06-11,2320.5,2320.5,2296,2298.25,1920.1399,86792
2019-06-12,2289,2304,2288,2304,1924.9439,28111
2019-06-13,2318.5,2318.5,2299.5,2303,1924.1084,3783
2019-06-14,2317,2319,2306,2319,1937.4761,10405
2019-06-17,2329,2329,2318.5,2320.5,1938.7293,7011
2019-06-18,2332.5,2343.5,2324.1,2336.5,1952.097,21905
2019-06-19,2338.5,2338.5,2321,2323,1940.818,10432
2019-06-20,2335,2346.5,2332,2335.5,1951.2615,15394
2019-06-21,2341,2348.5,2340.5,2345.5,1959.6163,33341
2019-06-24,2340,2348.34,2340,2344,1958.3631,3057
2019-06-25,2329,2338,2327,2331,1947.5019,9711
2019-06-26,2331,2331,2313,2313,1932.4632,25721
2019-06-27,2304.5,2308,2298,2307.75,1928.077,10673
2019-06-28,2316,2316.5,2305.34,2311,1930.7923,3817
2019-07-01,2343.5,2343.5,2329.5,2329.5,1946.2486,3248
2019-07-02,2339,2355,2333.85,2350.75,1964.0026,2164
2019-07-03,2366.5,2383.5,2366.5,2379.5,1988.0226,55378
2019-07-04,2382,2387.378,2382,2386,1993.4532,12179
2019-07-05,2395,2395,2371,2373.5,1983.0097,8599
2019-07-08,2380,2380,2373,2375.5,1984.6807,10966
2019-07-09,2373,2387,2373,2387,1994.2887,3387
2019-07-10,2388,2392.5,2380,2391.25,1997.8395,4155
2019-07-11,2389,2402.5,2380.5,2382.5,1990.529,21762
2019-07-12,2389,2391.5,2375.76,2378.5,1987.1871,44155
2019-07-15,2380.5,2385,2378,2385,1992.6177,37365
2019-07-16,2400,2401.5,2388,2400,2005.1499,8862
2019-07-17,2400.5,2400.5,2385,2385,1992.6177,1859
2019-07-18,2363.5,2370,2362.5,2362.5,1973.8195,5253
2019-07-19,2378.5,2379.5,2367,2369.5,1979.6678,338824
2019-07-22,2358.5,2361,2355,2355,1967.5534,3312
2019-07-23,2373.5,2373.5,2360,2362,1973.4017,8467
2019-07-24,2363,2363.5,2348.8,2350,1963.376,22982
2019-07-25,2347.5,2360.5,2344.5,2344.5,1958.7808,4699
2019-07-26,2359.5,2370,2351.5,2367.75,1978.2057,6552
2019-07-29,2380,2405.5,2379,2401.5,2006.4031,11757
