Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,449.1,451.5,445.425,451.5,426.7662,16432
2019-05-17,448.1,449.864,447.7,449.3,424.6868,16449
2019-05-20,446,448.2,443.7,443.85,419.5353,10880
2019-05-21,450.4,452.8,449.604,452.8,427.995,26262
2019-05-22,456.3,458.1,455.108,457.7,432.6266,24019
2019-05-23,454,454,450.2,450.8,426.1046,19178
2019-05-24,450.9,453.5,449.2,450.3,425.632,32772
2019-05-28,454.3,454.7,452.4,454.7,429.7909,86522
2019-05-29,453.7,453.7,451,452.4,427.6169,14690
2019-05-30,454.8,457.5,454.8,457.2,432.154,14793
2019-05-31,455.9,455.9,454,455.5,430.5471,59969
2019-06-03,462,463.2,455.7,463,437.6362,67912
2019-06-04,458,463.9,458,463.9,438.4869,43377
2019-06-05,465,466.7,462.7,464.2,438.7705,87193
2019-06-06,465,465,463,463.1,437.7308,37033
2019-06-07,466.4,469.8,466.144,469.2,443.4966,14776
2019-06-10,471.8,474.1,471.151,473.9,447.9391,40479
2019-06-11,473,475,472.1,472.1,446.2377,178558
2019-06-12,472.3,472.3,470.7,470.7,444.9144,18162
2019-06-13,473.8,475,468.678,474.5,448.5063,16794
2019-06-14,476.4,476.9,475.4,476.9,450.7748,42484
2019-06-17,475.9,476.751,473.2,474.1,448.1282,58272
2019-06-18,476.4,485.121,474.5,484.5,457.9584,224685
2019-06-19,483,485.309,478.5,479.35,453.0906,142301
2019-06-20,482.6,486.6,482,485.1,458.5256,115648
2019-06-21,485,487.5,483.7,483.7,457.2023,59543
2019-06-24,484,485,482.144,482.9,456.4461,29918
2019-06-25,482,482.8,481,481,454.6502,30378
2019-06-26,481.4,483.9,480.8,480.8,454.4611,86667
2019-06-27,480.7,480.7,478,478,451.8145,21567
2019-06-28,485.4,485.931,483.2,484.5,457.9584,36697
2019-07-01,492.6,492.6,489.3,490.15,463.2989,85850
2019-07-02,491.5,493.109,491,491.8,464.8585,61027
2019-07-03,497.8,500.1395,497.5,499.825,472.4439,38218
2019-07-04,501.75,501.75,499.042,500.05,472.6566,44499
2019-07-05,500.25,500.382,497.5,499.05,471.7114,32962
2019-07-08,501.75,503.25,500.325,500.325,472.9165,85564
2019-07-09,499.7,501.375,499.6,501.375,473.909,6871
2019-07-10,504.25,504.25,500.6525,502.125,474.6179,43867
2019-07-11,503.75,504,501.5,501.625,474.1453,31787
2019-07-12,499,500.383,497.7,497.7,470.4353,14145
2019-07-15,497.2,499.76,497.1,498.35,471.0497,41980
2019-07-16,501.25,504.625,501.002,504.625,476.981,28543
2019-07-17,504.75,505,501,502.25,474.7361,133890
2019-07-18,499.5,501.555,499.5,500.1,472.7039,28392
2019-07-19,505.25,505.25,502,503.25,475.6813,66878
2019-07-22,502.5,504.75,500.25,500.25,472.8456,46371
2019-07-23,504.75,505.25,499.908,500,472.6093,59340
2019-07-24,501.5,501.5,498.9,500,472.6093,23979
2019-07-25,501,502.75,497.4,498.5,471.1915,31609
2019-07-26,501.75,502,499.5,500.75,473.3183,22873
2019-07-29,503,510,503,509.375,481.4708,25170
2019-07-30,512.75,512.75,502.75,505.125,477.4536,45051
2019-07-31,508.75,511.375,508,511.375,483.3612,29826
2019-08-01,513,523.625,512,523.625,494.9401,48608
2019-08-02,511.75,516.25,511.75,512.25,484.1883,33297
2019-08-05,508,508.325,495.4,495.95,468.7812,49542
2019-08-06,491.5,498.6,491.5,497.25,470.01,67200
2019-08-07,503.5,511,502.5,511,483.0067,97557
2019-08-08,518.25,521,514.5,520.875,492.3408,47154
2019-08-09,524.5,527.5,523.625,523.625,494.9401,57673
2019-08-12,531.25,531.25,518.25,521.375,492.8134,43520
2019-08-13,524.5,527.75,517.445,524.5,495.7672,55239
2019-08-14,526.5,526.75,514.26,516.25,487.9691,41422
2019-08-15,513.5,514.25,505.955,506.75,478.9896,85986
2019-08-16,509.75,514.5,508.5,513.75,485.6061,81419
2019-08-19,520.25,522.25,518.945,522,493.4041,33073
2019-08-20,524,526.107,518.25,518.25,489.8596,150978
2019-08-21,525,528.75,525,527.125,498.2484,46797
2019-08-22,528.75,528.75,516,517.125,488.7962,47665
2019-08-23,520.5,520.5,511.625,511.625,483.5975,35876
2019-08-27,514.5,517.5,512.875,512.875,484.779,60120
2019-08-28,512.75,516.5,512.75,515.875,487.6147,16755
2019-08-29,518,519.25,513.5,514.375,486.1969,25090
2019-08-30,517.25,523,515.625,515.625,487.3784,91480
2019-09-02,526.5,532,526.5,529.625,500.6114,33731
2019-09-03,533,533.25,527.375,527.375,498.4847,55304
2019-09-04,525,527.5,524,527.5,498.6029,42507
2019-09-05,531.5,532,523.625,523.625,494.9401,41583
2019-09-06,522.75,523.75,519.5,522.25,493.6405,53047
2019-09-09,524.25,525,515.25,518.25,489.8596,34693
2019-09-10,513.75,513.75,507.75,510.125,482.1797,91527
2019-09-11,511.75,516.5,511,516.375,488.0873,16043
2019-09-12,524,526,517,522.125,493.5223,40624
2019-09-13,516.75,516.75,512,512.625,484.5427,187203
2019-09-16,515,516.75,511,516.125,487.851,87260
2019-09-17,514.75,518.25,514,518.25,489.8596,61558
2019-09-18,521.25,522.25,518,518,489.6233,24405
2019-09-19,520.75,528.25,520.5,528,499.0755,99200
2019-09-20,526.25,529.5,523.85,524.875,496.1217,139641
2019-09-23,529,529.5,525.25,528,499.0755,123921
2019-09-24,529.5,531.1525,522.75,523.5,494.822,133389
2019-09-25,518,522.75,517.75,521.25,492.6952,116930
2019-09-26,525.75,528.25,519.75,520.25,491.75,113435
2019-09-27,521,521.75,514.6525,517.25,488.9144,147432
2019-09-30,512.75,514.5,511.25,513.125,485.0153,31720
2019-10-01,517,517.75,513.75,514.625,486.4332,63188
2019-10-02,513,513,503.25,504.375,476.7447,128716
2019-10-03,506,508.5,497.8,501.375,473.909,108583
2019-10-04,508.5,514.5,507.37,512.125,484.0701,135945
2019-10-07,518.25,519,515.25,516.375,488.0873,161562
2019-10-08,519.25,519.25,515.75,517.625,489.2688,95629
2019-10-09,517,521.75,516.25,518.125,489.7414,39249
2019-10-10,518.5,521,517,519.125,490.6866,33635
2019-10-11,514,514.75,508,508.25,480.4074,87726
2019-10-14,508.25,509.62,505.125,505.125,477.4536,86747
2019-10-15,503.5,503.642,494.6,494.6,467.5052,18843
2019-10-16,495,496.5,486.2,488.65,461.8811,104249
2019-10-17,493.5,493.9,489.3,493.5,466.4654,86062
2019-10-18,487.8,492.4,487.8,491.2,464.2914,58676
2019-10-21,491.4,493.9,489.4,492.95,465.9455,34750
2019-10-22,496,497.5,489.75,489.75,462.9208,114721
2019-10-23,486,492,486,492,465.0476,39896
2019-10-24,489,494.1,489,493.8,466.749,64189
2019-10-25,491.8,492.2,486.4,487.6,460.8886,58559
2019-10-28,491.9,493.944,489.4,491.65,464.7168,21923
2019-10-29,487.8,490.67,487.6,489.3,462.4955,37004
2019-10-30,483.7,484.6,477.9,479.45,453.1851,220569
2019-10-31,478,478.632,474.9,477.85,451.6727,40399
2019-11-01,478.6,482.1,477.6,479.85,453.5632,55774
2019-11-04,481.8,484.4,479.5,479.5,453.2324,162267
2019-11-05,478.1,478.876,474.7,476.05,449.9714,130199
2019-11-06,478.3,478.3,475.3,475.3,449.2624,61175
2019-11-07,480,482.2,477,478.8,452.5707,23707
2019-11-08,476.5,480.3,476.4,479.6,453.3269,64817
2019-11-11,477.1,480.737,476.9,479.75,453.4687,74503
2019-11-12,481.4,483.6,480.9,482.65,456.2098,85685
2019-11-13,479.4,481.1,477.2601,478.7,452.4762,76551
2019-11-14,476.3,477.5,474.2,474.6,453.4632,183900
2019-11-15,476.6,478,475.7201,478,456.7118,65312
2019-11-18,478.4,478.4,471.05,471.05,450.0713,58444
2019-11-19,469.7,473.5,469.7,471.6,450.5968,83655
2019-11-20,473,474.8351,471.4,472.65,451.6,51644
2019-11-21,470.2,471.7,468.7,469.3,448.3992,28243
2019-11-22,472.3,475,472.2,472.3,451.2656,25382
2019-11-25,474.7,479.3,474.284,479.25,457.9061,51860
2019-11-26,482.4,483.5,481.3,483.15,461.6324,76503
2019-11-27,484,486.4488,482.5,483.5,461.9668,51848
2019-11-28,485.7,487.5351,484.9513,486.4,464.7376,93980
2019-11-29,487.8,491,487.3568,487.55,465.8364,53872
2019-12-02,492.6,492.6,485,486.1,464.451,158249
2019-12-03,490.3,490.3,483.1,485,463.4,33905
2019-12-04,488.4,489.573,487,487.35,465.6453,54276
2019-12-05,488.1,488.9,484.6,485.1,463.4955,92887
2019-12-06,485.8,489.7,485.6545,488.8,467.0308,68365
2019-12-09,490.2,490.2,485.6,485.6,463.9733,65984
2019-12-10,488.1,488.1,482.2146,482.85,461.3458,30472
2019-12-11,486.1,489,484.6568,488,466.2664,76581
2019-12-12,490.2,494.8,488.3,493.6,471.617,63698
2019-12-13,489.4,490.6,487.2,488.5,466.7441,32849
2019-12-16,491.7,498.43,486.38,498.2,476.0121,100242
2019-12-17,501,510.0611,501,508.25,485.6145,68090
2019-12-18,511.25,511.53,505.98,508.75,486.0923,49490
2019-12-19,510,513,504.48,512.25,489.4364,47032
2019-12-20,514.5,517.28,510.48,515,492.0639,62676
2019-12-23,515,521.03,512.48,519.5,496.3635,72262
2019-12-24,524.25,524.25,518.23,520.875,497.6773,32038
2019-12-27,522.75,525.03,516.6824,520,496.8412,61850
2019-12-30,515.75,521.33,510.93,513.375,490.5113,152478
2019-12-31,514.5,516.33,510.43,511.875,489.0781,35591
2020-01-02,515.25,520.08,510.93,518.75,495.6469,79096
2020-01-03,523.5,525.83,517.17,521,497.7967,68278
2020-01-06,527,527,514.93,515.25,492.3028,547061
2020-01-07,519.25,523.08,516.92,520.75,497.5578,2630571
2020-01-08,516.25,524,514.42,524,500.6631,76855
2020-01-09,527.25,530,523.17,530,506.3959,87716
2020-01-10,529,532.03,528.23,528.25,504.7238,82324
2020-01-13,536.5,539.53,530.98,538.875,514.8756,82880
2020-01-14,542.5,542.5,537.98,541.625,517.5031,205231
2020-01-15,543,544.28,539.23,541.125,517.0254,153406
2020-01-16,544.75,547.6499,539.98,543.375,519.1752,266075
2020-01-17,547,552.03,543.98,548.25,523.8331,132641
2020-01-20,553,553.03,550.47,551.625,527.0578,315143
2020-01-21,553,553,544.98,552.75,528.1327,232500
2020-01-22,553,554,543,545.5,521.2056,213727
2020-01-23,542,544.25,538.48,544.25,520.0112,194175
2020-01-24,545,553,545,550.25,525.744,352968
2020-01-27,545.5,545.5,535.25,535.75,511.8898,861721
2020-01-28,540.25,547.5,536,547.5,523.1165,183316
2020-01-29,550.75,554,547.25,552.5,527.8938,180455
2020-01-30,560,560,537.25,538.5,514.5173,106072
2020-01-31,541,543.5,531.5,533.5,509.74,109220
2020-02-03,536,544.5,532.5,542.75,518.578,105109
2020-02-04,552,559.25,549,559.25,534.3432,222508
2020-02-05,563,576.5,558,568.5,543.1812,213626
2020-02-06,574,577.25,569.25,574.25,548.6752,294141
2020-02-07,577,578.5,567.75,569.75,544.3756,98600
