Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,12.17,12.175,12.165,12.165,12.165,10011
2019-05-17,12.01,12.01,11.885,11.89,11.89,8412
2019-05-20,11.88,11.88,11.815,11.8375,11.8375,12360
2019-05-21,11.805,11.815,11.8,11.815,11.815,4697
2019-05-22,11.7425,11.7425,11.7425,11.7425,11.7425,0
2019-05-23,11.605,11.655,11.6,11.655,11.655,3197
2019-05-24,11.71,11.71,11.66,11.66,11.66,90
2019-05-28,11.615,11.8183,11.615,11.615,11.615,11065
2019-05-29,11.505,11.5225,11.505,11.5225,11.5225,1400
2019-05-30,11.49,11.585,11.49,11.585,11.585,1119
2019-05-31,11.515,11.58,11.505,11.505,11.505,133
2019-06-03,11.85,11.85,11.85,11.85,11.85,0
2019-06-04,11.91,11.91,11.89,11.9025,11.9025,2065
2019-06-05,12.045,12.075,11.8025,11.8025,11.8025,183
2019-06-06,11.675,11.6925,11.675,11.6925,11.6925,704
2019-06-07,11.6975,11.6975,11.6975,11.6975,11.6975,0
2019-06-10,11.675,11.7175,11.62,11.7175,11.7175,50310
2019-06-11,11.65,11.81,11.64,11.81,11.81,25699
2019-06-12,11.8525,11.8525,11.8525,11.8525,11.8525,0
2019-06-13,11.76,11.76,11.76,11.76,11.76,0
2019-06-14,11.85,11.865,11.705,11.705,11.705,180776
2019-06-17,11.54,11.54,11.5288,11.5288,11.5288,960
2019-06-18,11.59,11.69,11.57,11.6375,11.6375,50153
2019-06-19,11.67,11.6925,11.67,11.6925,11.6925,37000
2019-06-20,11.855,11.91,11.74,11.74,11.74,45000
2019-06-21,11.8025,11.8025,11.685,11.72,11.72,801
2019-06-24,11.795,11.795,11.795,11.795,11.795,0
2019-06-25,11.785,11.785,11.785,11.785,11.785,0
2019-06-26,11.725,11.87,11.725,11.87,11.87,2008
2019-06-27,11.81,11.81,11.74,11.74,11.74,50
2019-06-28,12.025,12.025,12.025,12.025,12.025,0
2019-07-01,12.265,12.265,12.1525,12.1525,12.1525,625
2019-07-02,12.1,12.125,12.01,12.0625,12.0625,15668
2019-07-03,12.24,12.245,12.24,12.245,12.245,450
2019-07-04,12.115,12.17,12.105,12.105,12.105,40003
2019-07-05,11.7175,11.7175,11.7175,11.7175,11.7175,323
2019-07-08,11.8875,11.8875,11.8875,11.8875,11.8875,0
2019-07-09,11.755,11.755,11.7275,11.7275,11.7275,426
2019-07-10,11.865,11.9975,11.865,11.9975,11.9975,9557
2019-07-11,12.01,12.075,11.975,11.975,11.975,517
2019-07-12,11.88,12.01,11.87,12.01,12.01,100
2019-07-15,12.23,12.2675,12.23,12.2675,12.2675,100
2019-07-16,12.3,12.35,12.23,12.345,12.345,7724
2019-07-17,12.2625,12.31,12.2625,12.31,12.31,400
2019-07-18,12.36,12.36,12.24,12.2775,12.2775,22975
2019-07-19,12.45,12.45,12.28,12.2875,12.2875,12078
2019-07-22,12.29,12.29,12.29,12.29,12.29,0
2019-07-23,12.265,12.405,12.265,12.38,12.38,19532
2019-07-24,12.685,12.685,12.685,12.685,12.685,0
2019-07-25,12.8125,12.8275,12.605,12.65,12.65,15248
2019-07-26,12.585,12.585,12.495,12.495,12.495,794
2019-07-29,12.575,12.7325,12.575,12.7325,12.7325,1865
2019-07-30,12.785,12.785,12.635,12.635,12.635,11062
2019-07-31,12.7175,12.7175,12.7175,12.7175,12.7175,0
2019-08-01,12.34,12.37,12.24,12.3375,12.3375,19724
2019-08-02,12.23,12.3125,12.23,12.3125,12.3125,1848
2019-08-05,12.42,12.42,12.3375,12.3375,12.3375,671
2019-08-06,12.3,12.325,12.275,12.29,12.29,1869
2019-08-07,12.4,12.6225,12.4,12.6225,12.6225,2201
2019-08-08,12.45,12.5275,12.45,12.5275,12.5275,1300
2019-08-09,12.51,12.565,12.51,12.55,12.55,9343
2019-08-12,12.4,12.465,12.4,12.465,12.465,100
2019-08-13,12.55,12.55,12.3,12.4125,12.4125,9102
2019-08-14,12.335,12.38,12.29,12.29,12.29,2820
2019-08-15,12.19,12.2,12.1625,12.1625,12.1625,32601
2019-08-16,12.1,12.21,12.1,12.21,12.21,51724
2019-08-19,12.405,12.425,12.405,12.41,12.41,111
2019-08-20,12.295,12.295,12.2525,12.2525,12.2525,1080
2019-08-21,12.425,12.4311,12.365,12.365,12.365,8463
2019-08-22,12.405,12.48,12.405,12.48,12.48,3
2019-08-23,12.57,12.57,12.5363,12.5363,12.5363,1764
2019-08-27,12.455,12.555,12.455,12.555,12.555,43006
2019-08-28,12.64,13.1025,12.64,13.1025,13.1025,22632
2019-08-29,13.265,13.56,13.21,13.495,13.495,75971
