Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,4160,4169,4160,4169,4009.2679,26400
2019-05-17,4159,4159,4159,4159,3999.6511,65
2019-05-20,4123,4129,4102,4102,3944.835,724
2019-05-21,4134,4134,4132,4133,3974.6472,420
2019-05-22,4123,4123,4122,4122,3964.0687,110
2019-05-23,4100,4100,4100,4100,3942.9116,1050
2019-05-27,4148,4148,4141,4141,3982.3407,272
2019-05-28,4135,4135,4119,4119,3961.1836,84
2019-05-29,4098,4100,4093,4095,3938.1032,8355
2019-05-31,4012,4026,4012,4026,3871.7468,208
2019-06-03,4004,4011,4004,4008,3854.4365,638
2019-06-04,4050,4050,4050,4050,3894.8273,2125
2019-06-05,4120,4120,4083,4083,3926.5629,257
2019-06-06,4101,4102,4079,4079,3922.7162,4835
2019-06-11,4200,4200,4175,4175,4015.038,361
2019-06-12,4141,4168,4141,4155,3995.8043,1808
2019-06-13,4130,4130,4130,4130,3971.7622,170
2019-06-14,4132,4132,4099,4105,3947.72,13107
2019-06-17,4106,4106,4103,4103,3945.7967,2230
2019-06-24,4104,4104,4104,4104,3946.7583,167
2019-06-25,4107,4107,4095,4095,3938.1032,18
2019-06-26,4077,4077,4076,4076,3919.8311,573
2019-06-27,4111,4114,4111,4114,3956.3752,1375
2019-06-28,4141,4141,4120,4135,3976.5706,745
2019-07-02,4247,4247,4247,4247,4084.2794,490
2019-07-03,4235,4248,4233,4233,4070.8158,654
2019-07-04,4260,4264,4252,4252,4089.0878,1131
2019-07-05,4250,4260,4250,4260,4096.7813,936
2019-07-08,4233,4242,4225,4242,4079.471,21052
2019-07-09,4200,4200,4185,4197,4036.1951,283
2019-07-10,4192,4198,4192,4198,4037.1568,274
2019-07-11,4199,4200,4194,4194,4033.3101,970
2019-07-15,4164,4164,4159,4159,3999.6511,90
2019-07-16,4154,4169,4154,4169,4009.2679,2064
2019-07-17,4160,4160,4160,4160,4000.6127,78
2019-07-19,4112,4112,4110,4110,3952.5285,28073
2019-07-22,4113,4120,4108,4120,3962.1453,10282
2019-07-23,4165,4165,4158,4158,3998.6894,2275
2019-07-24,4141,4157,4141,4157,3997.7277,8517
2019-07-25,4176,4176,4176,4176,4015.9997,500
2019-07-26,4175,4175,4175,4175,4015.038,55
2019-07-30,4175,4175,4145,4151,3991.9576,8361
2019-07-31,4158,4170,4158,4166,4006.3829,17949
2019-08-02,4039,4039,3998,4009,3855.3982,25718
2019-08-06,3954,3973,3948,3964,3812.1223,22300
2019-08-07,3990,3990,3938,3938,3787.1185,660
2019-08-08,3991,3998,3986,3998,3844.8196,15286
2019-08-09,3970,3970,3970,3970,3817.8924,800
2019-08-13,3906,3986,3894,3976,3823.6626,55189
2019-08-14,3959,3959,3911,3911,3761.153,7988
2019-08-15,3951,3952,3929,3929,3778.4633,12080
2019-08-16,3968,3968,3965,3968,3815.9691,619
2019-08-20,4007,4011,3992,3992,3839.0495,1584
2019-08-21,4009,4009,4003,4009,3855.3982,265
2019-08-22,3994,4002,3993,3993,3840.0112,437
2019-08-23,3999,4010,3939,3939,3788.0802,72904
2019-08-26,3989,3997,3981,3991,3838.0878,42947
2019-08-27,3970,3971,3969,3971,3818.8541,40800
2019-08-28,3958,3958,3949,3949,3797.697,58351
2019-08-29,3999,3999,3999,3999,3845.7813,13992
2019-08-30,4042,4042,4042,4042,3887.1338,7301
2019-09-02,3998,3998,3995,3995,3841.9346,22000
2019-09-03,4000,4000,4000,4000,3846.743,177
2019-09-05,4056,4095,4056,4095,3938.1032,8711
2019-09-06,4070,4070,4057,4067,3911.176,9715
2019-09-09,4110,4111,4110,4111,3953.4901,20000
2019-09-11,4167,4167,4152,4152,3992.9193,30909
2019-09-12,4178,4180,4178,4180,4019.8465,101000
2019-09-13,4218,4223,4215,4220,4058.3139,29080
2019-09-16,4219,4219,4219,4219,4057.3522,147
2019-09-17,4209,4223,4204,4223,4061.1989,7734
2019-09-19,4255,4270,4244,4270,4106.3982,1220
2019-09-20,4277,4277,4277,4277,4113.13,7283
2019-09-23,4239,4239,4239,4239,4076.5859,460
2019-09-25,4251,4269,4244,4268,4104.4748,28140
2019-09-26,4321,4321,4291,4291,4126.5936,100024
2019-09-27,4284,4284,4273,4273,4109.2832,153
2019-09-30,4255,4255,4245,4245,4082.356,90
2019-10-02,4250,4252,4211,4217,4055.4288,8396
2019-10-03,4216,4216,4212,4212,4050.6204,858
2019-10-04,4201,4201,4201,4201,4040.0419,38
2019-10-07,4259,4259,4259,4259,4095.8196,27
2019-10-08,4279,4279,4260,4262,4098.7047,13474
2019-10-09,4304,4319,4298,4298,4133.3254,9904
2019-10-11,4324,4324,4324,4324,4158.3292,220
2019-10-14,4323,4323,4314,4314,4148.7123,323
2019-10-15,4369,4369,4358,4358,4191.0265,1316
2019-10-16,4376,4377,4370,4370,4202.5667,1773
2019-10-17,4367,4412,4367,4392,4223.7238,39670
2019-10-22,4412,4412,4412,4412,4242.9575,12863
2019-10-23,4413,4415,4413,4413,4243.9192,13436
2019-10-24,4433,4433,4415,4421,4251.6127,25643
2019-10-25,4435,4436,4422,4436,4266.038,28857
2019-10-28,4445,4462,4438,4453,4282.3867,61148
2019-10-29,4465,4478,4465,4478,4306.4288,11744
2019-10-30,4487,4487,4466,4466,4294.8886,2259
2019-10-31,4475,4475,4475,4475,4303.5438,98
2019-11-01,4480,4505,4480,4505,4332.3943,8850
2019-11-04,4529,4544,4529,4544,4369.9001,1633
2019-11-05,4547,4547,4536,4536,4362.2066,535
2019-11-06,4540,4546,4540,4546,4371.8234,8725
2019-11-07,4587,4587,4587,4587,4411.2526,60
2019-11-11,4533,4537,4533,4537,4363.1683,53
2019-11-12,4558,4561,4558,4561,4386.2487,700
2019-11-13,4502,4502,4502,4502,4329.5093,2590
2019-11-14,4474,4474,4474,4474,4302.5821,17
2019-11-15,4545,4545,4539,4539,4365.0916,975
2019-11-18,4558,4558,4539,4547,4372.7851,2480
2019-11-19,4555,4561,4547,4547,4372.7851,1326
2019-11-20,4539,4551,4539,4551,4376.6319,1457
2019-11-21,4543,4543,4543,4543,4368.9384,40
2019-11-22,4541,4558,4541,4558,4383.3637,73
2019-11-25,4584,4584,4581,4581,4405.4824,4314
2019-11-26,4585,4586,4585,4586,4410.2909,3279
2019-11-27,4605,4629,4605,4615,4438.1798,33720
2019-11-28,4605,4605,4605,4605,4428.5629,4600
2019-11-29,4596,4599,4596,4599,4422.7928,508
2019-12-02,4606,4606,4584,4584,4408.3675,5720
2019-12-03,4532,4545,4532,4540,4366.0533,2855
2019-12-04,4562,4611,4562,4605,4428.5629,2783
2019-12-05,4614,4614,4589,4589,4413.1759,1720
2019-12-06,4626,4651,4608,4651,4472.8004,851
2019-12-09,4644,4644,4631,4631,4453.5667,2115
2019-12-10,4615,4632,4615,4628,4450.6817,51646
2019-12-11,4606,4606,4606,4606,4429.5246,2630
2019-12-12,4629,4629,4617,4617,4440.1031,1045
2019-12-13,4638,4661,4638,4648,4469.9154,24698
2019-12-16,4656,4673,4656,4673,4493.9575,7388
2019-12-17,4655,4658,4644,4645,4467.0303,45705
2019-12-18,4625,4629,4614,4629,4451.6434,30216
2019-12-19,4613,4613,4613,4613,4436.2564,1634
2019-12-20,4620,4644,4620,4644,4466.0686,11706
2019-12-23,4618,4618,4616,4617,4440.1031,14000
2019-12-27,4637,4664,4637,4648,4469.9154,15208
2019-12-30,4618,4618,4618,4618,4441.0648,101
2020-01-03,4534,4534,4528,4530,4356.4365,12939
2020-01-06,4538,4552,4538,4546,4371.8234,1430
2020-01-07,4605,4606,4604,4604,4427.6012,1762
2020-01-08,4578,4578,4578,4578,4402.5974,75
2020-01-09,4639,4639,4638,4639,4461.2602,787
2020-01-10,4621,4621,4613,4618,4441.0648,24804
2020-01-14,4595,4595,4590,4590,4414.1376,54590
2020-01-16,4570,4579,4564,4577,4401.6357,14206
2020-01-17,4572,4572,4554,4565,4390.0955,10111
2020-01-20,4585,4591,4584,4588,4412.2142,12379
2020-01-21,4570,4570,4568,4568,4392.9805,15018
2020-01-22,4602,4602,4583,4590,4414.1376,2617
2020-01-23,4565,4566,4544,4549,4374.7085,51260
2020-01-24,4553,4553,4553,4553,4378.5552,33
2020-01-27,4427,4448,4427,4448,4277.5782,26641
2020-01-28,4434,4434,4434,4434,4264.1146,130
2020-01-29,4449,4459,4449,4459,4288.1568,203
2020-01-30,4386,4393,4386,4389,4220.8388,11066
2020-01-31,4395,4395,4358,4358,4191.0265,9200
2020-02-03,4361,4390,4361,4390,4221.8005,106
2020-02-04,4431,4472,4430,4472,4300.6587,59209
2020-02-05,4545,4545,4545,4545,4370.8618,900
2020-02-06,4548,4548,4540,4540,4366.0533,31771
2020-02-11,4524,4524,4521,4521,4347.7813,24000
2020-02-12,4488,4499,4488,4499,4326.6242,1516
2020-02-13,4468,4468,4449,4468,4296.812,2444
2020-02-14,4440,4452,4440,4442,4271.8081,1130
2020-02-17,4390,4399,4389,4398,4229.4939,47270
2020-02-18,4335,4340,4324,4324,4158.3292,24479
2020-02-19,4368,4368,4367,4367,4199.6817,4000
2020-02-20,4353,4353,4353,4353,4186.2181,14690
2020-02-21,4291,4320,4280,4302,4137.1721,22836
2020-02-24,4163,4163,4118,4134,3975.6089,112913
