Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,44.74,45.435,44.74,45.435,45.435,12287
2019-05-17,45.195,45.325,44.95,45.32,45.32,6287
2019-05-20,45.24,45.24,44.665,44.825,44.825,10858
2019-05-21,44.855,45.125,44.855,45.125,45.125,4556
2019-05-22,45.09,45.14,44.89,45.03,45.03,6190
2019-05-23,44.8,44.8,44.455,44.455,44.455,40252
2019-05-24,44.7,44.735,44.55,44.58,44.58,4951
2019-05-27,44.78,44.78,44.61,44.655,44.655,9135
2019-05-28,44.79,44.79,44.52,44.635,44.635,12153
2019-05-29,44.16,44.16,43.925,43.965,43.965,4341
2019-05-31,43.91,43.91,43.46,43.565,43.565,124345
2019-06-03,43.5,43.7,43.275,43.6,43.6,20548
2019-06-04,43.635,43.965,43.635,43.965,43.965,28994
2019-06-05,44.245,44.39,44.15,44.295,44.295,68919
2019-06-06,44.55,44.66,44.44,44.55,44.55,8130
2019-06-07,44.77,45.07,44.77,45.07,45.07,14272
2019-06-11,45.605,45.65,45.35,45.41,45.41,33838
2019-06-12,45.145,45.305,45.145,45.195,45.195,124307
2019-06-13,45.245,45.425,45.245,45.33,45.33,38314
2019-06-14,45.29,45.33,45.18,45.26,45.26,44387
2019-06-17,45.36,45.365,45.28,45.365,45.365,8992
2019-06-18,45.25,45.845,45.25,45.845,45.845,17950
2019-06-19,45.905,45.905,45.77,45.8,45.8,6056
2019-06-20,46.175,46.3,46.135,46.3,46.3,3421
2019-06-21,46.305,46.305,46.09,46.2,46.2,8173
2019-06-24,46.17,46.17,46.05,46.095,46.095,3137
2019-06-25,45.91,46.015,45.825,45.825,45.825,2493
2019-06-26,45.665,45.86,45.62,45.62,45.62,8330
2019-06-27,45.78,45.795,45.675,45.72,45.72,3677
2019-06-28,46.015,46.015,45.81,45.86,45.86,2577
2019-07-01,46.31,46.56,46.31,46.41,46.41,14973
2019-07-02,46.41,46.46,46.305,46.46,46.46,15295
2019-07-03,46.53,46.785,46.53,46.785,46.785,38423
2019-07-04,46.895,46.91,46.795,46.91,46.91,36277
2019-07-05,46.85,46.85,46.435,46.545,46.545,164880
2019-07-08,46.53,46.67,46.525,46.53,46.53,11325
2019-07-09,46.41,46.47,46.225,46.47,46.47,10433
2019-07-10,46.485,46.71,46.4,46.635,46.635,9139
2019-07-11,46.73,46.78,46.63,46.64,46.64,40397
2019-07-12,46.77,46.8,46.71,46.71,46.71,1113
2019-07-15,46.83,46.845,46.805,46.825,46.825,1862
2019-07-16,46.84,46.9,46.775,46.86,46.86,23744
2019-07-17,46.805,46.815,46.765,46.77,46.77,5270
2019-07-18,46.32,46.455,46.315,46.4,46.4,5220
2019-07-19,46.58,46.76,46.555,46.61,46.61,10807
2019-07-22,46.42,46.51,46.39,46.425,46.425,1418
2019-07-23,46.675,46.815,46.67,46.73,46.73,3462
2019-07-24,46.89,46.895,46.685,46.805,46.805,8822
2019-07-25,47.06,47.145,46.78,46.82,46.82,42973
2019-07-26,46.86,46.96,46.775,46.96,46.96,101589
2019-07-29,47.12,47.12,46.935,46.995,46.995,72903
2019-07-30,46.96,46.96,46.635,46.72,46.72,5540
2019-07-31,46.8,46.81,46.73,46.77,46.77,17491
2019-08-02,45.855,45.965,45.46,45.46,45.46,11725
2019-08-05,45.065,45.08,44.425,44.585,44.585,23079
2019-08-06,44.315,44.6,44.205,44.305,44.305,370696
2019-08-07,44.57,44.855,44.3,44.47,44.47,8773
2019-08-08,44.995,45.12,44.9,45.12,45.12,11805
2019-08-09,45.41,45.415,45.125,45.135,45.135,8204
2019-08-12,45.365,45.415,44.825,44.825,44.825,14694
2019-08-13,44.74,45.345,44.5,45.21,45.21,82056
2019-08-14,45.21,45.34,44.555,44.555,44.555,4781
2019-08-15,44.52,44.52,43.795,44.035,44.035,36837
2019-08-16,44.58,44.66,44.465,44.465,44.465,4611
2019-08-19,45.1,45.28,45.03,45.27,45.27,14448
2019-08-20,45.165,45.34,45.03,45.13,45.13,20422
2019-08-21,44.975,45.365,44.975,45.365,45.365,104252
2019-08-22,45.335,45.39,45.075,45.11,45.11,20398
2019-08-23,45.355,45.355,44.635,44.635,44.635,32620
2019-08-26,44.55,44.685,44.37,44.535,44.535,52169
2019-08-27,44.555,44.895,44.555,44.73,44.73,13069
