Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,95,97.8,95,97.8,93.7325,381282
2019-05-17,95,95.8833,90.417,92.6,88.7487,268264
2019-05-20,95.8,97.8,94.1865,96,92.0073,209691
2019-05-21,95.6,96,94,94.7,90.7614,107011
2019-05-22,93.2,96,92.0047,94.1,90.1863,171863
2019-05-23,92,95.8,88.0025,94,90.3574,338779
2019-05-24,91.8,92,90.25,92,88.4349,399178
2019-05-28,96,102,92,95.8,92.0877,1154097
2019-05-29,93,96.4,90.12,92.4,88.8194,460548
2019-05-30,90.2,96,90,95.1,91.4148,417783
2019-05-31,94.2,95.8,91.25,93.5,89.8768,320569
2019-06-03,95,95,88.08,92,88.4349,210394
2019-06-04,92,96,90.97,93.4,89.7807,254583
2019-06-05,90,102.495,89.9115,100,96.1249,1009388
2019-06-06,103,107,97.6175,105,100.9312,1925730
2019-06-07,103.5,105,102,103.25,99.249,173633
2019-06-10,105,115,104.145,112.25,107.9002,997774
2019-06-11,112,114,106.22,108.75,104.5359,326492
2019-06-12,106,111.9299,106,110,105.7374,325403
2019-06-13,106,113.5,100.525,108,103.8149,1093225
2019-06-14,105,111.8699,104.0923,106,101.8924,131920
2019-06-17,103.5,109.5,103.5,108.25,104.0552,283562
2019-06-18,110,110,105.605,107.75,103.5746,357261
2019-06-19,103,107.88,98.3651,105.5,101.4118,500751
2019-06-20,107,109,105,106.75,102.6134,224077
2019-06-21,103,107.5,102.7563,104.5,100.4506,179887
2019-06-24,103,107,103,107,102.8537,48779
2019-06-25,103.5,106,97.6,104.25,100.2102,243973
2019-06-26,99.2,106.45,99.2,103.75,99.7296,298964
2019-06-27,103.5,104.5,98.2278,102.5,98.5281,336173
2019-06-28,104,109,102,104,99.9699,213341
2019-07-01,102,104.5,101.35,101.35,97.4226,106319
2019-07-02,99.8,100,96.2341,97.8,94.0102,279854
2019-07-03,95,101,95,100.4,96.5094,188263
2019-07-04,99.2,100.944,97,99.1,95.2598,86472
2019-07-05,99,105,97.2,102.5,98.5281,407273
2019-07-08,102,104.5302,97.415,99.5,95.6443,308129
2019-07-09,97.2,102.5,93.655,99.4,95.5482,560712
2019-07-10,102,102.5,97.2138,98.85,95.0195,214968
2019-07-11,102,104.25,96.2361,104.25,100.2102,199509
2019-07-12,104,104.8747,100.5,102.5,98.5281,825797
2019-07-15,99,102.632,99,101,97.0862,149669
2019-07-16,98.2,102.5,98.2,100.25,96.3652,625386
2019-07-17,98,102.904,98,99.1,95.2598,231282
2019-07-18,97,101,97,99.7,95.8366,175374
2019-07-19,101,101.2941,98.725,100,96.1249,158864
2019-07-22,98.2,101,95,97.6,93.8179,275666
2019-07-23,97,100,95.6,98.4,94.5869,356506
2019-07-24,99.6,99.82,98,98.9,95.0676,212912
2019-07-25,98,99.6,98,98.9,95.0676,889708
2019-07-26,98,100,98,99.3,95.4521,96287
2019-07-29,98,100,97.4,99.6,95.7404,209930
2019-07-30,96,100,96,99.1,95.2598,121880
2019-07-31,98.4,101.065,96.2,97.9,94.1063,235783
2019-08-01,97,97.8,91.2138,96,92.2799,315174
2019-08-02,93,94.8,88.25,91.5,87.9543,1142158
2019-08-05,90,91,83.4,89,85.5512,1049288
2019-08-06,88.4,90.8,75.7893,81,77.8612,1559435
2019-08-07,80.2,85,57.4261,77.2,74.2085,4188037
2019-08-08,82,92,78.2748,91.4,87.8582,1179571
2019-08-09,95,95.9619,87,93,89.3962,425707
2019-08-12,91.2,92.6,82.5,89.7,86.2241,965459
2019-08-13,86,87,82,84.8,81.5139,398384
