Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,27.7,27.73,27.57,27.7,26.5628,120324
2020-01-03,27.34,27.5,27.27,27.32,26.1984,146657
2020-01-06,27.1,27.46,27.0483,27.44,26.3134,88762
2020-01-07,27.63,27.93,27.5,27.81,26.6682,182794
2020-01-08,27.12,27.35,26.94,27.23,26.1121,328187
2020-01-09,27.61,27.61,27.29,27.48,26.3518,133544
2020-01-10,27.74,27.82,27.6269,27.71,26.5723,173106
2020-01-13,27.99,28.87,27.96,28.87,27.6847,404059
2020-01-14,29.17,29.66,29,29.53,28.3176,440306
2020-01-15,29.53,29.74,29.4503,29.61,28.3943,223385
2020-01-16,29.77,29.93,29.62,29.85,28.6245,162281
2020-01-17,30.1,30.25,29.92,30.04,28.8067,273032
2020-01-21,29.93,29.99,29.74,29.87,28.6437,267459
2020-01-22,30.05,30.17,29.92,29.97,28.7396,237967
2020-01-23,29.79,30.07,29.47,30.04,28.8067,174439
2020-01-24,30.13,30.13,29.51,29.65,28.4327,172782
2020-01-27,28.71,28.84,28.42,28.74,27.5601,381715
2020-01-28,28.94,29.148,28.86,29.06,27.8669,164138
2020-01-29,29.13,29.22,28.85,28.97,27.7806,150105
2020-01-30,28.83,29.18,28.751,29.15,27.9532,164881
2020-01-31,28.92,29,28.56,28.72,27.5409,175766
2020-02-03,28.75,29.77,28.75,29.73,28.5094,475590
2020-02-04,30.96,32.8826,30.91,32.29,30.9643,1332918
2020-02-05,32.25,32.29,31.14,31.29,30.0054,763225
2020-02-06,31.29,31.4,30.91,31.16,29.8807,252330
2020-02-07,30.75,30.775,30.165,30.33,29.0848,517758
2020-02-10,30.91,31.04,30.76,30.84,29.5738,694243
2020-02-11,31.15,31.5707,31.02,31.55,30.2547,608831
2020-02-12,32.36,32.4,32.1001,32.31,30.9835,572424
2020-02-13,31.77,32.36,31.61,32.22,30.8972,484133
2020-02-14,32.15,32.4954,32.11,32.16,30.8396,396223
2020-02-18,32.31,32.32,31.8,32.05,30.7342,513831
2020-02-19,32.63,32.99,32.51,32.77,31.4246,611151
2020-02-20,32.93,34.1799,32.83,33.61,32.2301,1056503
2020-02-21,32.98,33,32.56,32.86,31.5109,806964
2020-02-24,30.79,31.32,30.56,30.93,29.6601,856982
2020-02-25,31.5,31.72,30.2,30.3,29.056,461622
2020-02-26,30.14,30.87,30.07,30.32,29.0752,465956
2020-02-27,28.84,29.46,28.31,28.45,27.282,886370
2020-02-28,27.1,28.25,26.95,28.03,26.8792,1055572
2020-03-02,28.6,29.38,28.22,29.34,28.1354,559244
2020-03-03,29.86,29.964,28.79,29.18,27.982,576931
2020-03-04,29.92,29.94,29.47,29.92,28.6916,324024
2020-03-05,29.32,29.88,29.28,29.41,28.2026,417578
2020-03-06,28.44,28.8473,28.15,28.71,27.5313,332059
2020-03-09,26.25,26.62,25.6501,25.79,24.7312,667549
2020-03-10,26.82,27.02,25.94,26.67,25.575,338203
2020-03-11,25.86,26.15,24.94,25.25,24.2133,398132
2020-03-12,22.94,23.47,22.01,22.57,21.6434,708645
2020-03-13,23.69,24.12,22.1,23.19,22.2379,638567
2020-03-16,20,21.1599,19.5538,20.04,19.2172,534439
2020-03-17,20.37,21.4699,19.768,21.1,20.2337,381464
2020-03-18,19.88,20.07,18.602,19.42,18.6227,556791
2020-03-19,19.12,19.67,18.67,19.2,18.4117,264758
2020-03-20,19.84,20.43,18.7,18.7,17.9323,261049
2020-03-23,18.69,18.74,17.83,18.13,17.3857,769375
2020-03-24,19.66,20.88,19.48,20.83,19.9748,221283
2020-03-25,21.34,22.71,21,22.3,21.3845,271843
2020-03-26,22.31,22.6599,22.0001,22.64,21.7105,191320
2020-03-27,21.43,21.59,21.01,21.34,20.4639,183347
2020-03-30,21.38,21.77,21.18,21.76,20.8666,142867
2020-03-31,21.5,22,21.41,21.71,20.8187,175910
2020-04-01,20.87,21.3121,20.41,20.45,19.6104,153937
2020-04-02,20.55,21.3263,20.41,20.71,19.8597,111809
2020-04-03,20.95,20.95,20.25,20.32,19.4857,107668
2020-04-06,21.34,21.96,21.2447,21.94,21.0392,181578
2020-04-07,22.69,23,22.08,22.2,21.2886,221774
2020-04-08,22.43,23.04,22.26,22.87,21.9311,155217
2020-04-09,23.29,23.9,23.2642,23.61,22.6407,199935
2020-04-13,23.56,23.56,22.85,23.47,22.5064,150493
2020-04-14,24.1,24.68,24.1,24.27,23.2736,184042
