Date,Open,High,Low,Close,Adjusted_close,Volume
2021-12-14,1148,1148,1146.3,1146.3,1146.3,488
2021-12-15,1131.6,1131.6,1130.5,1130.5,1130.5,180
2021-12-16,1152.2,1153.4,1145.8,1145.8,1145.8,3954
2021-12-20,1082.2,1082.2,1073.9,1073.9,1073.9,2954
2021-12-30,1098.4,1101.2,1097.6,1101.2,1101.2,9
2021-12-31,1101.2,1101.2,1097.3,1097.3,1097.3,4
2022-01-04,1105.2,1109,1093.9,1093.9,1093.9,1464
2022-01-05,1079.8,1084.4,1079,1079,1079,2043
2022-01-06,1047.8,1059.8,1047.8,1053.7,1053.7,1483
2022-01-07,1041.6,1048.504,1041.6,1042.1,1042.1,2836
2022-01-10,1033,1033,1020.2,1025.6,1025.6,1788
2022-01-11,1041.4,1042.2,1036.068,1042,1042,1259
2022-01-12,1076.2,1083.8,1076.2,1080.2,1080.2,945
2022-01-13,1073.6,1075.91,1067.2,1067.2,1067.2,1172
2022-01-14,1066.8,1069.79,1061.92,1062,1062,4527
2022-01-17,1084.6,1084.6,1080.262,1081,1081,4170
2022-01-18,1072.2,1078.562,1065.062,1074.2,1074.2,7182
2022-01-19,1045.2,1058.768,1039.4,1039.4,1039.4,3463
2022-01-20,1053.4,1058.498,1042.204,1053.2,1053.2,2026
2022-01-21,1032.8,1043.874,1032.8,1041.5,1041.5,1742
2022-01-24,1020.6,1044.374,1006.6,1006.6,1006.6,4947
2022-01-25,1013.946,1014.5,1008.644,1010.4,1010.4,2676
2022-01-26,1024.8,1037,1024.8,1025.7,1025.7,5356
2022-01-27,1005.8,1012.954,993.15,993.15,993.15,5115
2022-01-28,962.3,971.805,956.8,971.25,971.25,2386
2022-01-31,987.9,1005.8,987.408,1001.4,1001.4,1334
2022-02-01,1026.8,1029.268,1017.6,1023.3,1023.3,3975
2022-02-02,1029.2,1036.2,1016.8,1016.8,1016.8,5517
2022-02-03,1007.2,1012.026,1000.2,1007.2,1007.2,677
2022-02-04,1006,1009.85,1004.6,1004.6,1004.6,1896
2022-02-07,1010.8,1012,1003.029,1008.1,1008.1,4711
2022-02-08,979.7,986.19,979.7,984.35,984.35,3573
2022-02-09,997.35,1004.3,997.35,1004.3,1004.3,1200
2022-02-10,999.2,999.2,988.56,995.8,995.8,2099
2022-02-11,976.8,976.8,968.56,972.25,972.25,730
2022-02-14,959.4,965.95,947.29,965.45,965.45,1771
2022-02-15,984.31,999.94,984.31,999.0499,999.0499,748
2022-02-16,1005.2,1008.74,1000.05,1000.05,1000.05,28871
2022-02-17,1003,1006.08,985.1,985.1,985.1,644
2022-02-18,970.5,977.6,959.2,959.2,959.2,1436
2022-02-21,964.2,964.8,949.624,951.15,951.15,1445
2022-02-22,939.4,961.932,935.652,953,953,23461
2022-02-23,975.808,975.808,959.344,961.25,961.25,498
2022-02-24,935.2,946.14,923.4,939.05,939.05,11700
2022-02-25,986.8,988.085,972.415,983.7,983.7,3525
2022-02-28,991.2,1008.2,987.647,1007.7,1007.7,9086
2022-03-01,995.9,1000.33,989.7,989.7,989.7,7129
2022-03-02,983.1,986.34,973.47,979.8,979.8,1503
2022-03-03,965.7,974.88,962.2,966.45,966.45,5470
2022-03-04,938,945.64,938,938,938,4432
2022-03-07,914.9,920.35,831.885,920.35,920.35,1830
2022-03-08,895.395,898.395,893.315,897.85,897.85,474
2022-03-09,919,927.4,915.6,924.45,924.45,9205
2022-03-10,942.3,943.155,931.5,931.5,931.5,756
2022-03-11,948.5,948.915,929.95,929.95,929.95,11155
2022-03-14,905.9,916.235,895.75,895.75,895.75,138
2022-03-15,878.5,896.65,878.5,896.65,896.65,598
2022-03-16,954.7,975.619,946.63,965.65,965.65,59440
2022-03-17,966.1,966.796,954.7,963.35,963.35,15741
2022-03-18,966.8,982,961.624,980,980,23669
2022-03-21,983.3,991.994,980,988.85,988.85,17201
2022-03-22,990.3,994.406,983.891,985.9,985.9,7468
2022-03-23,993.3,1007,989.698,1003.9,1003.9,4096
2022-03-24,1007.4,1012.4,993.325,1005.3,1005.3,8895
2022-03-25,1004,1005.596,994.4,996.45,996.45,7298
2022-03-28,989.7,999.86,989.7,993.25,993.25,11249
2022-03-29,1008.6,1012.294,1003.8,1009.8,1009.8,3393
2022-03-30,1030.8,1041,1027.776,1036.8,1036.8,10987
2022-03-31,1032,1037.24,1029,1029.5,1029.5,8162
2022-04-01,1041.2,1048.376,1037.176,1041.1,1041.1,11054
2022-04-04,1055.8,1061.296,1049.755,1058.9,1058.9,30790
2022-04-05,1072.6,1072.6,1048.227,1050,1050,19223
2022-04-06,1039.6,1039.6,1007.2,1011.2,1011.2,15743
2022-04-07,1012.4,1013.44,1001.15,1001.15,1001.15,5313
2022-04-08,1016.6,1018.463,1008.8,1011,1011,5577
2022-04-11,1000.2,1082.787,960.8,962.2,962.2,12497
2022-04-12,979.2,1053.002,960.174,969.25,969.25,2365
2022-04-13,977.6,977.6,967,974.3,974.3,2499
2022-04-14,981.9,981.9,971.45,971.45,971.45,2900
2022-04-19,976,978.3,961.216,975.1,975.1,4704
2022-04-20,961.1,968,955.2,955.2,955.2,10873
2022-04-21,953.6,961.801,940.9,940.9,940.9,6885
2022-04-22,930.9,932.2,924.034,927.55,927.55,7178
2022-04-25,890.6,893.389,878.8,883.15,883.15,23586
2022-04-26,885.8,885.8,866,866,866,10805
2022-04-27,895.3,903.53,890.442,903.3,903.3,3120
2022-04-28,913,919.8,902.7,903.8,903.8,3049
2022-04-29,931.1,942.7,928.754,931.45,931.45,3745
2022-05-03,925.1,934.2,922.613,933.1,933.1,6464
2022-05-04,940.1,940.1,850.282,933.05,933.05,9015
2022-05-05,971.6,985.6,948.8,948.8,948.8,15384
2022-05-06,959,959.779,944.394,958.2,958.2,883
2022-05-09,943.2,944.3,908.222,909.1,909.1,884
2022-05-10,915.4,927.84,909.9,909.9,909.9,1097
2022-05-11,940.7,951.163,934.825,948.75,948.75,2771
2022-05-12,916.1,927.9,909.9,925.85,925.85,3124
2022-05-13,965.6,965.6,945.93,965.6,965.6,1274
2022-05-16,961.4,962.235,955.012,959.35,959.35,250
2022-05-17,976.1,981.025,974.79,980.55,980.55,1319
2022-05-18,992.7999,996.896,986.4,986.4,986.4,4272
2022-05-19,983.4,993.95,982.494,993.95,993.95,757
2022-05-20,1011.6,1020.596,1000.5,1000.5,1000.5,6176
2022-05-23,1014,1014,997.395,1003.8,1003.8,3642
2022-05-24,991.8,992.706,980.25,980.25,980.25,1052
2022-05-25,980,981.139,971.7,971.7,971.7,981
2022-05-26,975.5,995.445,971.128,992.85,992.85,3288
2022-05-27,987.6,1021.1,987.6,1021.1,1021.1,6685
2022-05-30,1040,1040.14,1031.2,1033.8,1033.8,5810
2022-05-31,1039,1042.8,1027.8,1027.8,1027.8,5665
2022-06-01,1026.6,1029.463,1007.712,1009.7,1009.7,7321
2022-06-06,1064.4,1074.44,1053.344,1065.5,1065.5,5785
2022-06-07,1056.6,1057.633,1049.8,1049.8,1049.8,1206
2022-06-08,1061.2,1063.004,1053.464,1060,1060,1702
2022-06-09,1039.2,1053.243,1026,1026,1026,10856
2022-06-10,1041.8,1044.206,1029.9,1029.9,1029.9,2249
2022-06-13,1023.4,1039.074,1019.82,1022.9,1022.9,1374
2022-06-14,1028.8,1045.6,1028.8,1045.6,1045.6,639
2022-06-15,1044.8,1045.8,1035.6,1035.6,1035.6,2105
