Date,Open,High,Low,Close,Adjusted_close,Volume
2023-10-31,5,5,5,5,5,0
2023-11-01,5,5,5,5,5,0
2023-11-02,4.8855,4.8855,4.8855,4.8855,4.8855,0
2023-11-03,4.8855,4.8855,4.8855,4.8855,4.8855,0
2023-11-06,5.1578,5.1578,5.1578,5.1578,5.1578,0
2023-11-07,5.2757,5.2757,5.2757,5.2757,5.2757,0
2023-11-08,5.1342,5.1342,5.1342,5.1342,5.1342,0
2023-11-09,5.0891,5.0891,5.0891,5.0891,5.0891,0
2023-11-10,4.9722,4.9722,4.9722,4.9722,4.9722,0
2023-11-13,4.9586,4.9586,4.9586,4.9586,4.9586,0
2023-11-14,4.9698,4.9698,4.9698,4.9698,4.9698,0
2023-11-15,5.1834,5.1834,5.1834,5.1834,5.1834,0
2023-11-16,5.302,5.302,5.302,5.302,5.302,0
2023-11-17,5.1366,5.1366,5.1366,5.1366,5.1366,0
2023-11-20,5.247,5.247,5.247,5.247,5.247,0
2023-11-21,5.312,5.312,5.312,5.312,5.312,0
2023-11-22,5.2593,5.2593,5.2593,5.2593,5.2593,0
2023-11-23,5.2444,5.2444,5.2444,5.2444,5.2444,0
2023-11-24,5.226,5.226,5.226,5.226,5.226,0
2023-11-27,5.1883,5.1883,5.1883,5.1883,5.1883,0
2023-11-28,5.15,5.15,5.15,5.15,5.15,0
2023-11-29,5.1858,5.1858,5.1858,5.1858,5.1858,0
2023-11-30,5.1884,5.1884,5.1884,5.1884,5.1884,0
2023-12-01,5.1289,5.1289,5.1289,5.1289,5.1289,0
2023-12-04,5.1863,5.1863,5.1863,5.1863,5.1863,0
2023-12-05,5.1,5.1,5.1,5.1,5.1,0
2023-12-06,5.0683,5.0683,5.0683,5.0683,5.0683,0
2023-12-07,5.12,5.12,5.12,5.12,5.12,0
2023-12-08,5.07,5.07,5.07,5.07,5.07,0
2023-12-11,5.2066,5.2066,5.2066,5.2066,5.2066,0
2023-12-12,5.1695,5.1695,5.1695,5.1695,5.1695,0
2023-12-13,5.1351,5.1351,5.1351,5.1351,5.1351,0
2023-12-14,5.1297,5.1297,5.1297,5.1297,5.1297,0
2023-12-15,5.4056,5.4056,5.4056,5.4056,5.4056,0
2023-12-18,5.4479,5.4479,5.4479,5.4479,5.4479,0
2023-12-19,5.5,5.5,5.5,5.5,5.5,0
2023-12-20,5.4927,5.4927,5.4927,5.4927,5.4927,0
2023-12-21,5.4831,5.4831,5.4831,5.4831,5.4831,0
2023-12-22,5.4197,5.4197,5.4197,5.4197,5.4197,0
2023-12-27,5.5493,5.5493,5.5493,5.5493,5.5493,0
2023-12-28,5.5964,5.5964,5.5964,5.5964,5.5964,0
2023-12-29,5.5882,5.5882,5.5882,5.5882,5.5882,0
2024-01-02,5.5341,5.5341,5.5341,5.5341,5.5341,0
2024-01-03,5.442,5.442,5.442,5.442,5.442,0
2024-01-04,5.3346,5.3346,5.3346,5.3346,5.3346,0
2024-01-05,5.3044,5.3044,5.3044,5.3044,5.3044,0
2024-01-08,5.2674,5.2674,5.2674,5.2674,5.2674,0
2024-01-09,5.2732,5.2732,5.2732,5.2732,5.2732,0
2024-01-10,5.2213,5.2213,5.2213,5.2213,5.2213,0
2024-01-11,5.2542,5.2542,5.2542,5.2542,5.2542,0
2024-01-12,4.076,4.076,4.076,4.076,4.076,0
2024-01-15,4.0025,4.0025,4.0025,4.0025,4.0025,0
2024-01-16,4.0115,4.0115,3.9945,3.9945,3.9945,4130
2024-01-17,3.8653,3.8653,3.8653,3.8653,3.8653,0
2024-01-18,3.8765,3.8765,3.8765,3.8765,3.8765,0
2024-01-19,3.8307,3.8307,3.8307,3.8307,3.8307,0
2024-01-22,3.7995,3.7995,3.7995,3.7995,3.7995,0
2024-01-23,3.812,3.812,3.812,3.812,3.812,0
2024-01-24,3.8668,3.8668,3.8668,3.8668,3.8668,0
2024-01-25,3.7968,3.7968,3.7968,3.7968,3.7968,0
2024-01-26,3.8235,3.8235,3.8235,3.8235,3.8235,0
2024-01-29,3.8147,3.8147,3.8147,3.8147,3.8147,0
2024-01-30,3.7863,3.7863,3.7863,3.7863,3.7863,0
2024-01-31,3.7822,3.7822,3.7822,3.7822,3.7822,0
2024-02-01,3.7478,3.7478,3.7478,3.7478,3.7478,0
2024-02-02,3.7378,3.7378,3.7378,3.7378,3.7378,0
2024-02-05,3.7127,3.7127,3.7127,3.7127,3.7127,0
2024-02-06,3.75,3.75,3.75,3.75,3.75,0
2024-02-07,3.7965,3.7965,3.7965,3.7965,3.7965,0
2024-02-08,3.808,3.808,3.808,3.808,3.808,0
2024-02-09,3.82,3.82,3.813,3.813,3.813,1000
2024-02-12,3.8972,3.8972,3.8972,3.8972,3.8972,0
2024-02-13,3.8087,3.8087,3.8087,3.8087,3.8087,0
2024-02-14,3.847,3.864,3.8455,3.8455,3.8455,4170
2024-02-15,3.8607,3.8607,3.8607,3.8607,3.8607,0
2024-02-16,3.9613,3.9613,3.9613,3.9613,3.9613,0
2024-02-19,3.9232,3.9232,3.9232,3.9232,3.9232,0
2024-02-20,3.8472,3.8472,3.8472,3.8472,3.8472,0
2024-02-21,3.8798,3.8798,3.8798,3.8798,3.8798,0
2024-02-22,3.875,3.875,3.875,3.875,3.875,0
2024-02-23,3.8417,3.8417,3.8417,3.8417,3.8417,0
2024-02-26,3.8753,3.8753,3.8753,3.8753,3.8753,0
