Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,93.3992,95.3668,93.3992,95.3555,62.6258,4326834
2019-05-17,95.4237,95.9241,94.8891,95.6512,62.82,4576069
2019-05-20,95.31,95.5602,94.1044,94.3205,61.9461,3940168
2019-05-21,94.5366,95.4692,94.5366,95.0939,62.454,3053563
2019-05-22,94.855,95.7422,94.7299,95.7422,62.8798,4253237
2019-05-23,95.7649,96.9023,95.5829,96.3336,63.2682,5950225
2019-05-24,96.6179,99.2338,96.5156,99.2338,65.173,6667060
2019-05-27,100.4167,101.1218,99.939,100.6783,66.1216,3796102
2019-05-28,100.8261,101.0081,100.3143,100.61,66.0768,5867848
2019-05-29,99.4385,99.939,98.8585,98.8585,64.9265,6227905
2019-05-31,98.2216,98.6424,97.4368,97.9259,64.314,5568929
2019-06-03,97.1297,99.484,97.0387,99.484,65.3373,4533636
2019-06-04,98.9495,99.5864,98.5628,98.8585,64.9265,4106497
2019-06-05,98.233,99.2225,98.0965,99.2225,65.1655,3594653
2019-06-06,99.5068,100.4622,99.2566,99.3248,65.2327,4048510
2019-06-07,99.0632,99.5409,98.3467,99.2907,65.2103,4599048
2019-06-11,99.2793,100.5077,98.9154,99.7798,65.5315,6086068
2019-06-12,99.177,100.7351,99.1315,100.4849,65.9947,3720848
2019-06-13,100.3371,102.1568,100.3371,101.2242,66.4802,4278369
2019-06-14,100.883,102.1682,100.6441,101.6905,66.7864,3282987
2019-06-17,101.7929,102.1909,101.0195,101.9976,66.9881,3226319
2019-06-18,101.7019,104.2837,101.7019,103.988,68.2953,5161482
2019-06-19,103.4989,103.8401,102.8506,103.4534,67.9442,4054844
2019-06-20,103.6126,104.568,103.3624,103.6126,68.0488,4160721
2019-06-21,102.953,103.6809,102.498,102.498,67.3168,10911390
2019-06-24,102.8847,103.351,102.2137,102.6118,67.3915,3660277
2019-06-25,102.3615,103.8742,102.2023,103.3852,67.8994,3396016
2019-06-26,102.6573,102.68,101.2469,101.2469,66.4951,4617888
2019-06-27,101.3379,101.7701,100.9626,101.463,66.637,3235269
2019-06-28,101.1218,101.7019,100.7124,101.4517,66.6296,3636503
2019-07-01,102.0203,103.044,101.7246,102.6686,67.4288,4483625
2019-07-02,102.8165,104.1244,102.6118,103.2032,67.7799,5204918
2019-07-03,103.4193,104.4315,103.2259,103.533,67.9965,4446687
2019-07-04,103.6809,103.8856,103.1691,103.1918,67.7724,2703637
2019-07-05,103.6581,103.6581,102.0317,102.0772,67.0404,4942062
2019-07-08,101.5426,102.5549,101.4972,102.5549,67.3541,3792645
2019-07-09,102.3502,103.4648,102.1909,103.2714,67.8247,4271522
2019-07-10,102.8279,103.5558,102.1568,102.7482,67.4811,11054640
2019-07-11,103.3852,104.0107,101.5085,101.7815,66.8462,6489494
2019-07-12,101.6223,101.6223,99.1087,99.1087,65.0908,13685860
2019-07-15,98.9722,100.1437,98.54,99.8252,65.5614,6750352
2019-07-16,99.8594,100.4167,99.666,100.121,65.7556,5782276
2019-07-17,100.2006,102.5208,100.0982,101.9862,66.9807,7574355
2019-07-18,103.2146,107.3659,102.8165,105.1594,69.0647,11414430
2019-07-19,105.7736,106.3081,105.0684,105.4324,69.244,7575131
2019-07-22,104.8865,105.6712,104.4315,105.2049,69.0946,4107822
2019-07-23,104.9433,105.8987,104.5225,105.148,69.0572,5428342
2019-07-24,104.5794,104.6931,103.2942,104.1813,68.4223,5973429
2019-07-25,104.4088,105.3187,103.5785,103.9766,68.2878,6909185
2019-07-26,103.7264,105.3755,103.7264,105.148,69.0572,5559066
2019-07-29,102.771,104.3633,102.7027,104.1131,68.3775,5236721
2019-07-30,103.7719,104.2723,102.8506,103.2032,67.7799,4733190
2019-07-31,103.2032,104.2382,101.9635,104.0221,68.3177,6071327
2019-08-02,103.3283,104.386,102.4184,102.771,67.4961,7919919
2019-08-05,102.3615,102.68,100.6783,101.2014,66.4652,4699022
2019-08-06,100.3712,101.918,100.3143,100.8602,66.2412,4709911
2019-08-07,98.9609,100.9399,96.7885,97.9259,64.314,12209410
2019-08-08,98.6765,101.2242,98.5742,101.2242,66.4802,7278080
2019-08-09,100.883,101.4858,100.3598,100.3598,65.9125,4825685
2019-08-12,100.1323,101.7815,100.1323,101.1787,66.4503,4716029
2019-08-13,100.428,101.2469,99.1315,100.8034,66.2038,5038451
2019-08-14,101.0991,101.7701,99.1428,99.6319,65.4344,5020509
2019-08-15,99.3931,99.8594,97.7325,98.3353,64.5829,5494138
2019-08-16,98.3922,99.8252,98.3922,99.5409,65.3747,4364158
2019-08-19,100.2461,100.8261,99.7229,99.9617,65.6511,3475788
2019-08-20,99.5409,100.883,99.5409,99.6774,65.4643,4170972
2019-08-21,99.8252,101.0422,99.5637,100.7238,66.1515,3480325
2019-08-22,100.7238,101.372,99.4613,99.8139,65.5539,3854860
2019-08-23,99.7911,100.974,99.1542,99.3362,65.2402,3254686
2019-08-26,98.4945,98.9154,97.869,98.2216,64.5082,4029729
2019-08-27,98.2216,100.3257,98.2102,100.3257,65.8901,7261594
2019-08-28,99.9617,100.03,98.6538,99.6433,65.4419,4012937
2019-08-29,99.4044,100.5304,99.3134,99.9162,65.6212,3826041
2019-08-30,101.1105,102.2706,100.9057,101.2356,66.4877,5586981
2019-09-02,101.2242,101.6791,100.1323,100.792,66.1963,2759997
2019-09-03,100.3143,100.6555,99.8707,100.2347,65.8303,3432969
2019-09-04,101.2242,101.4972,99.7798,99.7798,65.5315,3775761
2019-09-05,99.9617,100.7351,99.0519,100.2916,65.8677,4695005
2019-09-06,100.8716,101.2128,99.9959,101.1105,66.4055,3985713
2019-09-09,101.554,101.7133,100.1665,100.701,66.1366,4529080
2019-09-10,100.7806,100.9171,98.1761,99.3021,65.2178,9273568
2019-09-11,99.6888,100.2461,99.3362,100.0072,65.6809,5056946
2019-09-12,100.1892,101.3266,99.4727,100.0868,65.7332,5460035
2019-09-13,100.5418,100.5532,97.8121,98.5628,64.7323,8102886
2019-09-16,97.8235,98.4718,97.4709,97.6415,64.1272,5341290
2019-09-17,97.4709,98.9267,97.3345,97.6984,64.1646,5714948
2019-09-18,97.8121,98.0737,97.3117,97.5619,64.0749,5098231
2019-09-19,97.6302,98.2557,96.6862,97.6757,64.1496,6380762
2019-09-20,98.4149,99.484,98.0965,98.1078,64.4335,15434040
2019-09-23,98.1192,98.6652,97.0274,97.4141,63.9778,5265030
2019-09-24,97.596,98.2671,97.2548,97.4596,64.0077,5505903
2019-09-25,96.9478,97.3231,95.7422,96.5952,63.44,12370980
2019-09-26,96.4473,98.7448,96.3563,97.9259,64.314,12707980
2019-09-27,98.722,98.7789,97.869,98.2443,64.5231,5061703
2019-09-30,98.722,98.8016,97.687,98.4263,64.6426,4737319
2019-10-01,98.8926,99.1542,96.9591,97.3458,63.933,6545446
2019-10-02,97.016,97.198,95.401,95.708,62.8574,6565668
2019-10-03,95.6739,96.6407,95.401,96.2312,63.201,4885236
2019-10-04,96.6748,97.2662,96.0606,96.8226,63.5894,5456837
2019-10-07,97.107,98.0737,96.9591,97.6984,64.1646,3827700
2019-10-08,98.0624,98.0624,95.8786,96.345,63.2757,5901582
