Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-03,15.86,15.86,15.86,15.86,15.86,1
2023-05-08,16.37,16.37,16.37,16.37,16.37,92
2023-05-15,16.74,16.74,16.74,16.74,16.74,1
2023-05-17,16.49,16.49,16.49,16.49,16.49,1
2023-06-06,17.846,17.846,17.846,17.846,17.846,7
2023-06-12,18.006,18.006,18.006,18.006,18.006,70
2023-06-15,18.19,18.19,18.19,18.19,18.19,625
2023-06-21,18.276,18.276,18.276,18.276,18.276,17
2023-06-23,17.82,17.82,17.82,17.82,17.82,6
2023-07-05,17.948,17.948,17.948,17.948,17.948,25
2023-08-03,17.944,17.944,17.854,17.854,17.854,530
2023-08-04,18.2,18.2,18.2,18.2,18.2,500
2023-08-08,18.378,18.428,18.378,18.428,18.428,1150
2023-08-09,18.604,18.604,18.604,18.604,18.604,1500
2023-08-10,18.6,18.6,18.6,18.6,18.6,150
2023-08-15,18.656,18.656,18.656,18.656,18.656,28
2023-08-23,19.106,19.106,19.106,19.106,19.106,14
2023-08-25,19.2,19.2,19.2,19.2,19.2,57
2023-08-28,19.394,19.394,19.384,19.384,19.384,1010
2023-08-30,19.498,19.498,19.498,19.498,19.498,300
2023-09-11,20.22,20.22,20.22,20.22,20.22,50
2023-09-12,20.15,20.15,20.15,20.15,20.15,1480
2023-09-14,20.99,20.99,20.99,20.99,20.99,235
2023-09-15,21.335,21.335,21.21,21.21,21.21,2585
2023-09-18,21.185,21.185,21.185,21.185,21.185,40
2023-09-19,21.41,21.41,21.41,21.41,21.41,95
2023-09-20,21.13,21.13,21.13,21.13,21.13,130
2023-09-22,21.06,21.06,21.06,21.06,21.06,12000
2023-09-25,21.655,21.655,21.5,21.6,21.6,2212
2023-09-27,21.75,21.75,21.75,21.75,21.75,300
2023-09-28,21.75,22,21.75,22,22,3303
2023-10-03,20.71,20.71,20.71,20.71,20.71,100
2023-10-04,20.055,20.055,20.055,20.055,20.055,170
2023-10-18,20.28,20.28,20.28,20.28,20.28,100
2023-11-01,21,21,21,21,21,47
2023-11-03,21.385,21.385,21.385,21.385,21.385,1500
2023-11-08,20.65,20.65,20.65,20.65,20.65,250
2023-11-13,21.02,21.02,21.02,21.02,21.02,2400
2023-11-14,21.52,21.52,21.52,21.52,21.52,90
2023-11-21,21.835,21.835,21.835,21.835,21.835,9
2023-11-22,21.62,21.62,21.62,21.62,21.62,20
2023-11-23,21.375,21.375,21.375,21.375,21.375,3
2023-11-24,21.495,21.495,21.495,21.495,21.495,232
2023-11-28,21.5,21.5,21.5,21.5,21.5,25
2023-12-04,21.5,21.59,21.5,21.59,21.59,340
2023-12-05,21.64,21.64,21.48,21.48,21.48,1800
2023-12-07,21.2,21.225,21.2,21.225,21.225,1230
2023-12-11,21.45,21.45,21.45,21.45,21.45,200
2023-12-12,21.15,21.15,21.15,21.15,21.15,1500
2023-12-13,21.245,21.245,21.245,21.245,21.245,2996
2023-12-15,21.185,21.185,21.18,21.185,21.185,5795
2023-12-18,21.14,21.14,21.14,21.14,21.14,25
2023-12-20,20.9,20.98,20.9,20.98,20.98,70
2023-12-21,20.92,20.92,20.92,20.92,20.92,430
2023-12-22,21.145,21.145,21.145,21.145,21.145,30
2023-12-27,21.25,21.25,21.045,21.045,21.045,3000
2023-12-28,20.925,20.925,20.825,20.825,20.825,174
2024-01-04,20.785,20.79,20.785,20.79,20.79,92
2024-01-10,21.68,21.68,21.68,21.68,21.68,100
2024-01-15,23.46,23.845,23.46,23.765,23.765,7197
2024-01-16,23.7,23.7,23.22,23.375,23.375,1170
2024-01-17,23.045,23.045,22.655,22.97,22.97,525
2024-01-19,23.1,23.1,23.1,23.1,23.1,8300
2024-01-24,23.29,23.29,23.29,23.29,23.29,45
2024-01-25,23.03,23.03,23.03,23.03,23.03,45
2024-01-26,22.865,22.865,22.75,22.75,22.75,2700
2024-01-29,22.935,22.935,22.935,22.935,22.935,8
2024-01-30,23.285,23.285,23.285,23.285,23.285,1463
2024-01-31,23.405,23.43,23.405,23.43,23.43,3992
2024-02-01,24,24.525,24,24.525,24.525,2350
2024-02-05,24.5,24.5,24.3,24.3,24.3,680
2024-02-07,24.785,24.805,24.66,24.66,24.66,65
2024-02-08,24.86,24.87,24.82,24.87,24.87,203
2024-02-09,23.935,23.935,23.935,23.935,23.935,1000
2024-02-12,23.935,24,23.935,24,24,752
2024-02-13,24.245,24.245,24,24,24,220
2024-02-14,23.985,23.985,23.985,23.985,23.985,100
2024-02-16,24.03,24.03,24.03,24.03,24.03,75
2024-02-20,23.72,23.72,23.72,23.72,23.72,250
2024-02-21,23.445,23.445,23.2,23.2,23.2,418
2024-02-22,23.76,23.77,23.465,23.465,23.465,501
