Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-24,19.7093,19.7093,19.7093,19.7093,19.7093,0
2021-09-27,19.3443,19.3443,19.3443,19.3443,19.3443,0
2021-09-28,18.9258,18.9258,18.9258,18.9258,18.9258,0
2021-09-29,18.428,18.428,18.428,18.428,18.428,0
2021-09-30,18.747,18.747,18.747,18.747,18.747,0
2021-10-01,18.425,18.425,18.425,18.425,18.425,0
2021-10-04,18.33,18.342,18.079,18.079,18.079,20
2021-10-05,18.31,18.418,18.31,18.329,18.329,4561
2021-10-06,18.232,18.3,18.02,18.069,18.069,390
2021-10-07,18.654,18.83,18.654,18.796,18.796,1366
2021-10-08,18.606,18.704,18.518,18.59,18.59,5451
2021-10-11,18.894,19.258,18.894,19.167,19.167,3956
2021-10-12,18.886,19.032,18.886,18.955,18.955,550
2021-10-13,19.064,19.402,19.064,19.402,19.402,2967
2021-10-14,19.858,20.285,19.858,20.046,20.046,9137
2021-10-15,20.475,20.475,20.38,20.38,20.38,5150
2021-10-18,20.63,20.71,20.425,20.56,20.56,6724
2021-10-19,20.72,20.775,20.51,20.63,20.63,6756
2021-10-20,20.855,21.03,20.845,20.845,20.845,1996
2021-10-21,20.99,20.99,20.71,20.71,20.71,3016
2021-10-22,20.655,20.725,20.445,20.445,20.445,4756
2021-10-25,20.965,21.225,20.955,21.16,21.16,6400
2021-10-26,21.69,21.69,21.41,21.4675,21.4675,5381
2021-10-27,21.52,21.52,21.1825,21.1825,21.1825,474
2021-10-28,20.87,20.945,20.75,20.8225,20.8225,1049
2021-10-29,21.075,21.075,20.96,20.98,20.98,1135
2021-11-01,21.015,21.065,20.955,20.955,20.955,2257
2021-11-02,21.04,21.04,20.665,20.735,20.735,834
2021-11-03,20.96,20.995,20.765,20.765,20.765,677
2021-11-04,21.2,21.32,21.02,21.11,21.11,733
2021-11-05,21.495,21.62,21.35,21.465,21.465,2637
2021-11-08,21.87,22.155,21.815,22.155,22.155,2589
2021-11-09,22.335,22.335,21.6675,21.6675,21.6675,3557
2021-11-10,21.645,21.665,21.305,21.375,21.375,18509
2021-11-11,21,21.36,20.825,21.2575,21.2575,2488
