Date,Open,High,Low,Close,Adjusted_close,Volume
2021-11-23,20.115,20.125,19.996,20.125,20.125,2159
2021-11-24,20.44,20.44,20.44,20.44,20.44,500
2021-11-25,20.825,20.87,20.8,20.87,20.87,3730
2021-11-26,20.145,20.145,19.978,19.978,19.978,1863
2021-11-29,20.325,20.335,20.29,20.335,20.335,5989
2021-11-30,20.645,20.795,20.605,20.605,20.605,278
2021-12-02,20.06,20.085,19.914,20.07,20.07,2339
2021-12-03,19.896,19.896,19.396,19.396,19.396,3382
2021-12-06,19.222,19.222,18.828,18.886,18.886,3853
2021-12-07,19.252,19.252,19.252,19.252,19.252,50
2021-12-08,19.94,19.94,19.566,19.566,19.566,110
2021-12-10,19.854,19.998,19.852,19.998,19.998,684
2021-12-13,19.4,19.4,19.302,19.302,19.302,1000
2021-12-14,19.336,19.336,18.93,19.094,19.094,1766
2021-12-15,18.692,18.692,18.378,18.378,18.378,967
2021-12-16,19.328,19.328,19.328,19.328,19.328,5
2021-12-17,18.722,18.722,18.722,18.722,18.722,957
2021-12-20,17.986,18.002,17.92,18.002,18.002,3076
2021-12-21,18.056,18.118,18.056,18.118,18.118,1403
2021-12-23,18.814,18.814,18.814,18.814,18.814,25
2021-12-27,18.638,18.79,18.626,18.79,18.79,3467
2021-12-28,19.26,19.26,19.26,19.26,19.26,150
2021-12-29,19.14,19.14,19.058,19.058,19.058,500
2022-01-03,19.628,19.628,19.434,19.434,19.434,3242
2022-01-04,20.03,20.275,20.005,20.275,20.275,4876
2022-01-05,20.13,20.22,20.12,20.17,20.17,2421
2022-01-06,19.214,19.214,19.214,19.214,19.214,8
2022-01-07,19.194,19.258,19.194,19.2,19.2,3311
2022-01-10,19.378,19.456,18.866,18.908,18.908,4181
2022-01-11,19.314,19.518,19.282,19.518,19.518,2972
2022-01-12,20.205,20.29,20.01,20.25,20.25,8110
2022-01-13,20,20,20,20,20,150
2022-01-14,20.035,20.035,19.84,19.84,19.84,1076
2022-01-18,19.7,19.762,19.7,19.762,19.762,532
2022-01-19,19.47,19.47,19.444,19.444,19.444,824
2022-01-20,19.54,19.656,19.54,19.656,19.656,300
2022-01-21,18.564,18.564,18.326,18.378,18.378,7227
2022-01-24,18,18,17.224,17.554,17.554,523
2022-01-25,17.626,17.72,17.546,17.72,17.72,503
2022-01-26,17.998,17.998,17.998,17.998,17.998,28
2022-01-27,17.928,17.928,17.7,17.708,17.708,6367
2022-01-28,17.2,17.2,17.104,17.172,17.172,3019
2022-01-31,17.602,17.716,17.378,17.716,17.716,3483
2022-02-01,17.75,18.19,17.75,18.108,18.108,4997
2022-02-02,18.306,18.462,18.218,18.218,18.218,13042
2022-02-03,17.884,17.892,17.574,17.574,17.574,2975
2022-02-04,17.74,17.75,17.418,17.528,17.528,1622
2022-02-07,17.77,18.054,17.77,18.026,18.026,1527
2022-02-08,18.126,18.126,17.896,17.896,17.896,950
2022-02-10,19.118,19.342,18.922,19.342,19.342,385
2022-02-11,18.602,18.916,18.602,18.916,18.916,2453
2022-02-14,18.142,18.166,18.142,18.166,18.166,3600
2022-02-15,18.1,18.586,18.1,18.586,18.586,300
2022-02-16,19.292,19.292,19.028,19.05,19.05,3168
2022-02-17,19.196,19.196,19.196,19.196,19.196,100
2022-02-21,18.782,18.782,18.376,18.376,18.376,1542
2022-02-22,17.964,17.964,17.792,17.792,17.792,401
2022-02-24,17.636,17.768,17.428,17.712,17.712,4114
2022-02-25,18.326,18.644,18.32,18.644,18.644,708
2022-02-28,19.17,19.17,19.024,19.166,19.166,1528
2022-03-02,19.234,19.234,19.234,19.234,19.234,100
2022-03-03,19.33,19.33,18.786,18.786,18.786,2543
2022-03-04,18.3,18.44,18.296,18.296,18.296,2363
2022-03-07,18.166,18.39,17.99,18.072,18.072,10090
2022-03-08,17.332,17.538,17.332,17.394,17.394,2349
2022-03-09,18.216,18.218,17.944,18.094,18.094,922
2022-03-10,18.312,18.612,18.312,18.402,18.402,3161
