Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,13.62,13.79,13.58,13.78,37.3384,47851
2020-01-03,13.83,13.9,13.74,13.75,37.2571,37958
2020-01-06,13.83,13.91,13.72,13.88,37.6094,88644
2020-01-07,13.92,13.97,13.88,13.88,37.6094,76974
2020-01-08,13.78,13.89,13.72,13.82,37.4468,65063
2020-01-09,13.97,13.99,13.92,13.99,37.9074,26837
2020-01-10,13.95,14.06,13.9136,14.03,38.0158,29945
2020-01-13,14.2,14.4,14.1333,14.38,38.9642,77191
2020-01-14,14.62,14.8025,14.55,14.74,39.9397,94990
2020-01-15,14.52,14.535,14.29,14.34,38.8558,87989
2020-01-16,14.32,14.32,14.06,14.08,38.1513,122426
2020-01-17,14.11,14.26,14.11,14.195,38.4629,69733
2020-01-21,13.99,14.05,13.74,13.78,37.3384,87207
2020-01-22,13.87,14.02,13.87,13.93,37.7449,70892
2020-01-23,13.64,13.7423,13.45,13.63,36.932,95719
2020-01-24,13.55,13.71,13.4,13.44,36.4172,67938
2020-01-27,12.86,13.08,12.61,12.98,35.1707,110241
2020-01-28,12.75,12.92,12.75,12.82,34.7372,48524
2020-01-29,12.87,13.0504,12.87,12.98,35.1707,64245
2020-01-30,12.6,12.68,12.52,12.63,34.2224,46899
2020-01-31,12.55,12.6061,12.31,12.35,33.4637,61727
2020-02-03,12.18,12.253,11.81,11.83,32.0547,60735
2020-02-04,12.2,12.57,12.2,12.53,33.9514,68392
2020-02-05,12.96,13,12.79,12.96,35.1165,84522
2020-02-06,13.04,13.04,12.66,12.77,34.6017,61779
2020-02-07,12.51,12.72,12.35,12.44,33.7075,72682
2020-02-10,12.49,12.75,12.49,12.71,34.4391,36495
2020-02-11,12.93,13.08,12.75,13.02,35.2791,43356
2020-02-12,13.46,13.76,13.46,13.68,37.0675,53902
2020-02-13,13.54,13.65,13.26,13.52,36.6339,48743
2020-02-14,13.59,13.69,13.582,13.62,36.9049,33871
2020-02-18,13.5,13.59,13.48,13.53,36.661,29710
2020-02-19,13.19,13.31,13.03,13.03,35.3062,65782
2020-02-20,12.94,13.04,12.81,12.98,35.1707,64798
2020-02-21,12.96,12.96,12.81,12.88,34.8998,33295
2020-02-24,12.15,12.33,12.084,12.1,32.7863,46791
2020-02-25,12.3,12.36,11.99,12.01,32.5424,45437
2020-02-26,11.9,12.0847,11.87,11.93,32.3256,131194
2020-02-27,11.71,11.77,11.535,11.57,31.3502,84056
2020-02-28,11.09,11.09,10.63,10.98,29.7515,151242
2020-03-02,11.2,11.61,11.2,11.58,31.3773,44722
2020-03-03,11.58,11.76,11.26,11.29,30.5915,84089
2020-03-04,11.55,11.7745,11.5,11.69,31.6753,26745
2020-03-05,11.36,11.525,11.31,11.37,30.8083,88466
2020-03-06,11.14,11.33,11.03,11.16,30.2392,26988
2020-03-09,10.1,10.56,10,10.36,28.0716,177004
2020-03-10,11.09,11.24,10.75,11.11,30.1038,44325
2020-03-11,10.71,10.8,10.5,10.52,28.5051,23838
2020-03-12,9.92,10.0971,9,9.27,25.1181,80992
2020-03-13,9.82,9.9399,9.3258,9.57,25.931,76948
2020-03-16,8.75,8.75,7.9695,8.04,21.7853,175794
2020-03-17,8.52,9.46,8.52,9.22,24.9826,66251
2020-03-18,8.47,9.16,8.46,8.86,24.0071,103410
2020-03-19,8.87,9.25,8.5801,9.12,24.7116,47113
2020-03-20,9.32,9.3999,8.6,8.67,23.4923,45890
2020-03-23,8.38,8.54,8.13,8.13,22.0291,135942
2020-03-24,8.51,9.2199,8.51,9,24.3865,50460
2020-03-25,9.31,9.7,9.05,9.47,25.66,61659
2020-03-26,9.48,9.6999,9.45,9.62,26.0665,31852
2020-03-27,9.2,9.3099,9.01,9.1,24.6574,34971
2020-03-30,8.98,9.38,8.7741,9.38,25.4161,26296
2020-03-31,9.34,9.53,9.29,9.38,25.4161,30008
2020-04-01,9.19,9.32,9.07,9.08,24.6033,38038
2020-04-02,9.09,9.51,9.09,9.43,25.5516,38231
2020-04-03,9.18,9.41,9.03,9.17,24.8471,53384
2020-04-06,9.62,9.8199,9.4878,9.78,26.5,27131
2020-04-07,9.97,10,9.6,9.61,26.0393,22880
2020-04-08,9.74,9.95,9.65,9.65,26.1477,21513
2020-04-09,10.01,10.131,9.8586,10.03,27.1774,26441
2020-04-13,10.08,10.08,9.8,9.9,26.8251,19579
2020-04-14,10.11,10.36,10.09,10.28,27.8548,38970
2020-04-15,29.3,30.05,28.71,29.68,26.8071,33231
2020-04-16,29.52,29.6,28.93,29.42,26.5723,41466
2020-04-17,29.94,30.45,29.84,30.27,27.34,23091
2020-04-20,29.75,30.02,29.5001,29.74,26.8613,33844
2020-04-21,28.78,29.1624,28.01,28.54,25.7774,43588
2020-04-22,28.87,29.29,28.66,29.23,26.4007,22950
2020-04-23,29.79,29.8479,29.4623,29.79,26.9064,17918
2020-04-24,29.64,29.79,29.3001,29.69,26.8161,11745
2020-04-27,29.99,30,29.78,30,27.0961,19691
2020-04-28,30.44,30.51,30.032,30.38,27.4393,20950
2020-04-29,30.64,31.2,30.56,30.9,27.909,14454
2020-04-30,31.44,31.44,30.6,31.36,28.3245,36367
2020-05-01,31,31.3557,29.8714,29.93,27.0329,16225
2020-05-04,29.72,30.225,29.6,29.89,26.9968,24635
2020-05-05,30.37,31.01,30,31.01,28.0084,24415
2020-05-06,31.12,31.2499,30.85,31.07,28.0626,8001
2020-05-07,30.983,31.3,30.86,31.08,28.0716,19349
2020-05-08,31.36,31.36,31.1,31.36,28.3245,16739
2020-05-11,31.3,31.97,31.255,31.96,28.8664,28168
2020-05-12,31.73,31.73,31.01,31.14,28.1258,11037
2020-05-13,31.33,31.3801,30.48,31.11,28.0987,25587
2020-05-14,30.32,30.93,30.02,30.87,27.8819,21024
2020-05-15,31.02,31.23,30.5,30.99,27.9903,26486
2020-05-18,32,32.86,31.73,32.6,29.4445,21178
2020-05-19,32.14,32.35,31.95,32,28.9025,32470
2020-05-20,32.58,32.96,32.1,32.82,29.6432,37606
2020-05-21,32.83,32.92,32.735,32.8,29.6251,14235
2020-05-22,32.55,32.75,32.22,32.44,29.2999,21886
2020-05-26,33.21,33.3999,32.9,32.914,29.7281,26915
2020-05-27,33.09,33.7475,32.96,33.63,30.3748,18852
2020-05-28,34,34.5499,33.9,34,30.7089,35251
2020-05-29,33.86,34,33.1035,33.79,30.5193,36406
2020-06-01,33.95,34.77,33.95,34.57,31.2238,24745
2020-06-02,34.82,35.17,34.7,35,31.6121,25406
2020-06-03,35.62,35.98,35.27,35.95,32.4702,20225
2020-06-04,36.15,36.76,36.03,36.48,32.9489,23171
2020-06-05,38.07,38.248,36.84,38.05,34.3669,47848
2020-06-08,38.66,38.6699,38.1,38.64,34.8998,89399
2020-06-09,38.14,38.45,37.015,37.96,34.2856,39342
2020-06-10,37.86,37.8601,37,37.29,33.6805,30587
2020-06-11,36.19,36.245,34.55,34.58,31.2328,59168
2020-06-12,35.44,35.8155,34.75,35.08,31.6844,20989
2020-06-15,33.8,34.5,33.3,34.14,30.8354,31722
2020-06-16,35.77,35.77,34.59,35.01,31.6212,60475
2020-06-17,35.18,35.43,35.02,35.03,31.6392,21400
2020-06-18,34.82,34.9999,34.71,34.72,31.3592,10758
2020-06-19,35.21,35.25,34.5,34.6,31.2509,12299
2020-06-22,34.91,35.1032,34.64,34.74,31.3773,25746
2020-06-23,35.23,35.2663,34.5001,34.62,31.2689,35673
2020-06-24,34.07,34.65,33.9,34.51,31.1696,439885
2020-06-25,34.2,34.56,34.1,34.31,30.9889,52773
2020-06-26,34.2,34.2,33.4501,33.5306,30.285,153925
2020-06-29,33.4,34.11,33.25,33.97,30.6818,37045
2020-06-30,33.98,34.13,33.85,34.13,30.8264,21159
2020-07-01,34.54,34.69,34.345,34.51,31.1696,32877
2020-07-02,35.1,35.465,34.96,35.18,31.7747,35855
2020-07-06,37.45,38,37.2,37.92,34.2495,90661
2020-07-07,38.08,38.08,37.7,37.75,34.096,67099
2020-07-08,38.86,39.08,38.38,38.99,35.2159,44226
2020-07-09,39.33,39.44,38.79,38.85,35.0895,45686
2020-07-10,38.75,39,38.69,38.83,35.0714,57675
2020-07-13,40.05,40.8999,39.95,40.02,36.1462,87034
2020-07-14,39.45,39.98,39.001,39.68,35.8391,45865
2020-07-15,39.72,39.96,39.03,39.3,35.4959,42845
2020-07-16,38.72,38.9122,37.3215,38.25,34.5476,45136
2020-07-17,37.9,38.61,37.7501,38.52,34.7914,308466
2020-07-20,40.05,40.24,39.38,40.21,36.3178,168473
2020-07-21,40.79,40.94,40.23,40.69,36.7514,208635
2020-07-22,40.64,40.8,40.16,40.41,36.4985,61958
2020-07-23,40.91,41.02,40.38,40.845,36.8914,158177
2020-07-24,40.01,40.4599,39.83,40.01,36.1372,136758
2020-07-27,40.69,40.99,40.6,40.97,37.0043,109092
2020-07-28,41.06,41.5299,40.87,41.3,37.3023,86929
2020-07-29,41.11,41.495,41.01,41.24,37.2481,65657
2020-07-30,40.77,40.8499,40.1001,40.39,36.4804,150605
2020-07-31,40.11,40.39,39.9001,40.06,36.1824,590284
2020-08-03,40.67,40.97,40.4,40.93,36.9681,128937
2020-08-04,41.35,41.93,41.0201,41.89,37.8352,364931
2020-08-05,42.59,43.72,42.59,43.57,39.3526,224022
2020-08-06,43.83,44.32,43.7927,44.21,39.9307,412598
2020-08-07,43.95,43.99,43.27,43.55,39.3345,211365
2020-08-10,43,43.47,43,43.29,39.0997,107645
2020-08-11,43.08,43.15,42.06,42.61,38.4855,140449
2020-08-12,42.27,42.59,42.14,42.37,38.2688,107969
2020-08-13,42.28,42.35,42.04,42.04,37.9707,61095
2020-08-14,41.99,42.38,41.861,41.89,37.8352,48603
2020-08-17,42.72,42.9795,42.2454,42.72,38.5849,60553
2020-08-18,42.93,43.15,42.19,42.46,38.35,71610
2020-08-19,42.12,42.3,41.3,41.57,37.5462,224479
2020-08-20,41.36,42.54,41.3402,41.8,37.7539,47264
2020-08-21,41.38,42,41.1102,41.3208,37.3211,64220
2020-08-24,41.43,42.2,41.43,41.91,37.8533,289343
2020-08-25,41.73,41.73,41.21,41.33,37.3294,204932
2020-08-26,40.8,41.09,40.57,40.91,36.9501,372239
2020-08-27,41.63,41.9793,40.68,41.2,37.212,292309
2020-08-28,41.36,41.71,41.31,41.6,37.5733,132087
2020-08-31,41.71,41.71,40.79,41.03,37.0585,203139
2020-09-01,41.35,41.38,41.1497,41.36,37.3565,74599
2020-09-02,41.38,41.58,41.11,41.58,37.5552,155271
2020-09-03,41.35,41.35,40.2512,40.58,36.652,196820
2020-09-04,40.51,41.22,39.5401,40.99,37.0223,200784
2020-09-08,40.5,40.784,39.98,40.11,36.2275,186095
2020-09-09,40.12,40.6,40.1,40.45,36.5346,117599
2020-09-10,40.39,40.6708,39.2,39.21,35.4146,356257
2020-09-11,39.64,39.87,39.29,39.59,35.7578,55482
2020-09-14,39.84,40.46,39.8,40.44,36.5256,121655
2020-09-15,40.58,40.75,40.356,40.56,36.634,148253
2020-09-16,40.8,41.06,40.56,40.63,36.6972,95755
2020-09-17,40.5,41.16,40.2801,41.09,37.1127,255174
2020-09-18,41.6,41.8899,41.4,41.78,37.7359,291984
2020-09-21,40.72,41.02,39.65,40.48,36.5617,143678
2020-09-22,40.41,40.4699,39.54,39.87,36.0107,61786
2020-09-23,39.59,39.8,38.01,38.1,34.4121,697154
2020-09-24,37.54,37.6858,36.65,37.36,33.7437,656496
2020-09-25,37.06,37.3,36.43,37.22,33.6173,351898
2020-09-28,37.4,37.72,37.0401,37.46,33.834,380041
2020-09-29,37.6,37.8299,37.17,37.65,34.0056,182975
2020-09-30,37.65,38.24,37.4,37.71,34.0598,455207
2020-10-01,38.47,38.4999,38.06,38.15,34.4572,260327
2020-10-02,36.87,37.99,36.5,37.5,33.8702,517056
2020-10-05,38.48,39.59,38.47,39.45,35.6314,397881
2020-10-06,40.24,40.2499,39.18,39.36,35.5501,232986
2020-10-07,39.53,40.2,39.53,40.0482,36.1717,196251
2020-10-08,40.39,40.9,40.27,40.66,36.7243,107938
2020-10-09,41.94,42.1499,41.61,41.82,37.772,132643
2020-10-12,42.24,42.36,41.56,41.64,37.6094,88023
2020-10-13,41.38,41.6914,41.02,41.08,37.1036,71613
2020-10-14,41.21,41.6313,41.05,41.17,37.1849,29990
2020-10-15,40.73,40.97,40.4,40.925,36.9636,28621
2020-10-16,41.05,41.29,40.71,40.71,36.7694,39279
2020-10-19,41.16,41.5503,40.92,41.11,37.1307,111881
2020-10-20,41.2,41.6799,41.2,41.45,37.4378,54002
2020-10-21,41.65,41.88,41.36,41.5,37.483,148591
2020-10-22,41.41,41.9,41.02,41.29,37.2933,44015
2020-10-23,41.3,41.48,41.09,41.23,37.2391,35020
2020-10-26,41.19,41.2775,40.41,40.63,36.6972,65145
2020-10-27,40.9,41.14,40.55,41.03,37.0585,291250
2020-10-28,40.6,40.67,39.71,39.84,35.9837,111108
2020-10-29,40.4,40.605,39.5,40.57,36.643,184093
2020-10-30,39.89,40.39,39.67,40.29,36.3901,45739
2020-11-02,40.51,41.0516,40.475,40.86,36.9049,71229
2020-11-03,41.68,42.8,41.5,42.77,38.63,181348
2020-11-04,43.09,43.84,42.29,43.82,39.5784,158649
2020-11-05,44,45.1,44,45.08,40.7164,236582
2020-11-06,45.09,45.99,44.9401,45.73,41.3035,130326
2020-11-09,49.09,49.35,46.59,46.83,42.297,213112
2020-11-10,46.5,46.78,45.97,46.54,42.0351,99803
2020-11-11,46.71,46.8,45.74,46.615,42.1029,119178
2020-11-12,46.7,47.3,46.5,46.7,42.1796,98405
2020-11-13,47.2,48.33,47.2,48.275,43.6022,141122
2020-11-16,49.36,50.81,49.16,50.71,45.8015,283656
2020-11-17,50.8,51.2679,50.49,50.95,46.0182,207492
2020-11-18,51.34,51.7399,50.54,50.68,45.7744,84353
2020-11-19,50.64,51,50.56,51,46.0634,113690
2020-11-20,51.51,52.1999,51.3101,52.07,47.0298,150106
2020-11-23,53.93,54.64,53.93,54.48,49.2066,180860
2020-11-24,55.27,55.9,55.17,55.75,50.3536,159386
2020-11-25,55.78,55.78,54.33,54.85,49.5407,167353
2020-11-27,55.3,56.29,55.072,56.1,50.6697,110059
2020-11-30,55.74,56.0243,55.0101,55.12,49.7846,78979
2020-12-01,55.71,56.2309,55.29,55.64,50.2543,123594
2020-12-02,55.05,55.49,54.8301,55.45,50.0827,111591
2020-12-03,55.62,56,55.59,55.67,50.2814,49444
2020-12-04,56.4,57.17,56.4,57.09,51.5639,89976
2020-12-07,57.85,57.94,57.225,57.82,52.2233,159327
2020-12-08,58.05,59.31,58.05,59.27,53.5329,140336
2020-12-09,59.24,59.24,57.11,57.48,51.9162,323851
2020-12-10,56.83,57.4013,56.56,57.2,51.6633,135281
2020-12-11,57.1,57.3351,56.3294,56.55,51.0762,309021
2020-12-14,57.97,58.1678,56.74,56.75,51.2568,121818
2020-12-15,56.94,57.879,56.94,57.79,52.1962,138785
2020-12-16,57.75,57.76,57.19,57.62,52.0426,144457
2020-12-17,59.03,59.5,58.5,59.01,53.2981,212035
2020-12-18,59.87,60.84,59.54,60.49,54.6348,256356
2020-12-21,60.29,62.0667,60.25,62.02,56.5164,321852
2020-12-22,61.43,61.87,60.7183,61.37,55.9241,235347
2020-12-23,62.02,62.75,61.8401,62.56,57.0085,119416
2020-12-24,63.13,63.26,62.605,62.84,57.2636,105206
2020-12-28,65.11,65.79,64.74,65.38,59.5782,319735
2020-12-29,64.2,64.2,61.8,62.18,56.6622,407031
2020-12-30,63.15,64.905,63.15,64.66,58.9221,211472
2020-12-31,65.57,65.95,65.2001,65.82,59.9792,183753
2021-01-04,68.43,69.32,68.1401,68.64,62.5489,416222
2021-01-05,70,73.89,70,73.69,67.1508,519919
2021-01-06,74.2,74.98,72.5901,72.71,66.2578,378379
2021-01-07,75.52,78,75.52,77.68,70.7867,342679
2021-01-08,79,79.665,74.3128,75.42,68.7273,532860
2021-01-11,72.87,73.88,72.15,73.63,67.0961,211232
2021-01-12,73.91,74.5693,72.88,74.43,67.8251,158986
2021-01-13,74.39,75.44,74.135,74.86,68.217,254756
2021-01-14,75,75.285,74.6099,74.73,68.0985,197473
2021-01-15,74.15,74.3184,72.025,72.38,65.957,258430
2021-01-19,73.98,75.4,73.16,75.19,68.5177,387095
2021-01-20,78.2,78.5767,77.42,78.18,71.2424,493523
2021-01-21,81.3,82.7,80.9501,82.65,75.3157,459886
2021-01-22,82.18,82.21,80.4984,81.22,74.0126,414237
2021-01-25,83,83.72,82,82.8,75.4524,317895
2021-01-26,82.98,83.4,82.51,82.65,75.3157,182963
2021-01-27,81.24,81.24,78.2,78.87,71.8711,337846
2021-01-28,77.29,77.68,76.23,77.49,70.6136,397500
2021-01-29,76.93,76.93,73.6911,74.19,67.6064,411286
2021-02-01,75.11,76.87,74.8613,76.6,69.8026,395653
2021-02-02,79.06,79.72,78.5,79.66,72.591,372187
2021-02-03,81.16,82.17,80.94,81.39,74.1675,326208
2021-02-04,80.13,80.47,78.7,79.35,72.3085,192012
2021-02-05,76.97,76.99,75.85,76.4,69.6203,329780
2021-02-08,78.4,81.88,78.4,81.52,74.286,337311
2021-02-09,82.78,85.25,82.4008,83.31,75.9171,452537
2021-02-10,84.69,85.55,82.8001,83.98,76.5277,316677
2021-02-11,84.9,84.91,82.75,83.83,76.391,128432
2021-02-12,84.07,84.97,83.7101,84.87,77.3387,134536
2021-02-16,88,91.0399,87.3,90.89,82.8245,800769
2021-02-17,92.6,92.99,91,92.3,84.1094,823317
2021-02-18,90.89,90.89,88.06,88.7,80.8288,516617
2021-02-19,90.6,91.17,89.77,90.84,82.7789,559894
2021-02-22,92.05,93.8392,91.9,93.33,85.048,717109
2021-02-23,89.04,89.54,83.02,89.54,81.5943,784352
2021-02-24,87.25,90.95,86.9,90.79,82.7334,493199
2021-02-25,89.4,89.4,82.5,82.5,75.179,659058
2021-02-26,82.5,84.39,80.78,83.28,75.8898,582148
2021-03-01,86.72,88.225,86.65,87.87,80.0725,535545
2021-03-02,86.02,86.08,84.95,85.15,77.5938,270097
2021-03-03,87.7,87.7,85.34,85.38,77.8034,278257
2021-03-04,84.4,84.4,78.34,79.36,72.3176,672394
2021-03-05,79.53,79.7586,72.52,77.04,70.2035,808229
2021-03-08,76.45,76.45,73.0106,74.93,68.2808,725983
2021-03-09,75.18,78.3199,74.9,77.49,70.6136,581843
