Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,2250,2275.016,2247,2271.25,2271.25,84107
2020-01-03,2307,2325,2302,2316,2316,234380
2020-01-06,2352,2357.5,2323,2323,2323,236026
2020-01-07,2338.5,2349.5,2320,2341,2341,186274
2020-01-08,2365,2365,2341,2343,2343,167944
2020-01-09,2307,2334.5,2307,2322.5,2322.5,180981
2020-01-10,2325.5,2338,2316,2337.5,2337.5,161641
2020-01-13,2338,2345,2328,2338.25,2338.25,114053
2020-01-14,2327,2332,2319,2321.25,2321.25,130610
2020-01-15,2335,2340.5,2327,2330,2330,104051
2020-01-16,2332,2334,2319,2322.5,2322.5,153914
2020-01-17,2327,2342,2319,2339,2339,170804
2020-01-20,2354,2355,2346,2349.5,2349.5,122039
2020-01-21,2345,2350.623,2319.211,2334,2334,261755
2020-01-22,2330.5,2336.5,2314.5,2319.5,2319.5,93779
2020-01-23,2313,2338.5,2313,2338,2338,298945
2020-01-24,2324,2356.99,2319,2354,2354,178569
2020-01-27,2361.5,2375,2358.5,2371,2371,312681
2020-01-28,2371.5,2378.412,2362,2365,2365,201148
2020-01-29,2360.5,2368.5,2356,2362.75,2362.75,160164
2020-01-30,2381,2386,2352,2364,2364,271185
2020-01-31,2350,2362.476,2347.5,2356.25,2356.25,150912
2020-02-03,2347.5,2372.5,2344.5,2372.5,2372.5,200078
2020-02-04,2376,2377.5,2329,2333,2333,189419
2020-02-05,2342.5,2349,2319,2348.5,2348.5,141452
2020-02-06,2349.5,2367,2346,2366,2366,171127
2020-02-07,2369.5,2380,2365,2373.5,2373.5,155532
2020-02-10,2389.5,2392,2376,2384.25,2384.25,164077
2020-02-11,2376,2380.107,2361,2367,2367,123606
2020-02-12,2363,2366,2356.595,2366,2366,158488
2020-02-13,2376,2379,2360,2361,2361,239072
2020-02-14,2361.5,2379.081,2360,2375,2375,128942
2020-02-17,2372,2381,2369,2378.5,2378.5,86193
2020-02-18,2391.5,2410.5,2381,2410.5,2410.5,211397
2020-02-19,2415.5,2432.5,2414,2425.5,2425.5,161040
2020-02-20,2448.5,2465,2437,2464.25,2464.25,178397
2020-02-21,2478,2495,2470.5,2474,2474,263486
2020-02-24,2533,2562,2525,2529,2529,904822
2020-02-25,2479.5,2497.5,2475,2479,2479,465121
2020-02-26,2479,2498.485,2459,2480,2480,380660
2020-02-27,2496.5,2519,2488,2511,2511,466132
2020-02-28,2475,2493,2403.5,2432.25,2432.25,467393
2020-03-02,2441.5,2469,2437,2441,2441,507917
2020-03-03,2438.5,2506.941,2435,2502,2502,316108
2020-03-04,2504,2517,2500,2506,2506,288510
2020-03-05,2488.5,2516,2487,2511,2511,222700
2020-03-06,2520,2549,2474.947,2506,2506,519612
2020-03-09,2496,2517,2470,2488.5,2488.5,404202
2020-03-10,2489,2506,2478,2499,2499,311635
2020-03-11,2521,2528,2495.5,2506,2506,336754
2020-03-12,2503,2525,2432,2462,2462,533595
2020-03-13,2477,2507,2390.5,2405,2405,298372
2020-03-16,2433.5,2455.5,2314.5,2401.75,2401.75,869181
2020-03-17,2383,2520,2359.5,2489,2489,394470
2020-03-18,2435.5,2515.64,2412.5,2484,2484,414821
2020-03-19,2524,2530,2456,2479,2479,399125
2020-03-20,2501,2522,2456.5,2480,2480,367032
2020-03-23,2497,2646.64,2497,2633,2633,593052
2020-03-24,2660,2724.557,2580,2713,2713,671107
2020-03-25,2672,2719,2584.428,2685,2685,434558
2020-03-26,2635,2698,2617.55,2627,2627,313695
2020-03-27,2604,2624,2552.184,2560,2560,635516
2020-03-30,2561,2576.916,2546,2552,2552,354198
2020-03-31,2573,2575,2524,2534,2534,465785
2020-04-01,2519,2550,2477.365,2504.5,2504.5,386090
2020-04-02,2513,2565.532,2494.122,2546,2546,375441
2020-04-03,2546,2604,2546,2582,2582,488690
2020-04-06,2593,2636.81,2586,2625,2625,417064
2020-04-07,2651,2667.903,2602,2626,2626,325533
2020-04-08,2620,2633,2596.04,2600,2600,293379
2020-04-09,2617,2646,2610,2636,2636,427881
2020-04-14,2650,2719,2650,2692,2692,531302
2020-04-15,2668,2716.78,2662.728,2684,2684,510254
2020-04-16,2696,2733.718,2681,2715,2715,389217
2020-04-17,2670,2680,2637,2650,2650,480568
2020-04-20,2638,2664.98,2618.2,2660,2660,555493
2020-04-21,2670,2691,2634,2670,2670,322338
2020-04-22,2678,2719,2676.7,2710,2710,213645
2020-04-23,2725,2756,2715,2737,2737,277763
2020-04-24,2749,2753,2718,2718,2718,212697
2020-04-27,2696,2718.963,2689,2696,2696,356602
2020-04-28,2687,2737,2658,2678,2678,257615
2020-04-29,2684,2699,2669,2681,2681,300809
2020-04-30,2697,2707,2643,2645,2645,479928
2020-05-01,2620,2647,2580,2645.5,2645.5,388144
2020-05-04,2677,2696,2645,2683,2683,278328
2020-05-05,2670,2688,2655.272,2669.5,2669.5,338170
2020-05-06,2680,2696.622,2663,2673,2673,263449
2020-05-07,2665,2711,2660.44,2704.5,2704.5,199737
2020-05-11,2687,2716,2679,2692,2692,412888
2020-05-12,2696,2719,2679,2716,2716,206099
2020-05-13,2711,2748,2703,2744,2744,453238
2020-05-14,2756,2782,2744,2782,2782,563878
2020-05-15,2784,2819,2772,2813,2813,573841
2020-05-18,2848,2863,2757,2779,2779,688012
2020-05-19,2763,2790.79,2755.102,2780.5,2780.5,578155
2020-05-20,2800,2804,2779,2789,2789,337320
2020-05-21,2776,2800,2735,2753,2753,343066
2020-05-22,2783,2798,2760,2782,2782,254434
2020-05-26,2762,2764.155,2705,2716,2716,412164
