Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,155.4,157.85,155.05,157.85,147.852,535572
2019-05-17,157.4,157.75,155.85,156.8,146.8685,384091
2019-05-20,156.25,156.65,154.25,155.25,145.4167,433636
2019-05-21,155.8,156.65,155.2,155.85,145.9787,308010
2019-05-22,156,157.25,155.45,155.85,145.9787,380296
2019-05-23,155,155.1,151.95,152.45,142.794,396538
2019-05-24,153,153.4,151.8,152.35,142.7004,420663
2019-05-27,152.9,154.15,151.95,152.35,142.7004,254341
2019-05-28,152.6,153.65,151.4,152.9,143.2155,909246
2019-05-29,152.9,152.95,149.15,149.6,140.1245,540151
2019-05-31,149.35,149.8,147.6,148.9,139.4689,569451
2019-06-03,147.2,150.55,147,150.3,140.7802,425470
2019-06-04,150,151.1,148.35,150.35,140.827,437088
2019-06-05,150.35,152.35,149.85,151.6,141.9979,422997
2019-06-06,151.95,153.05,150.85,151.6,141.9979,349934
2019-06-07,152.5,156.05,152.25,154.8,144.9952,443064
2019-06-11,156.2,157.8,154.85,157.35,147.3837,510325
2019-06-12,156.4,158.05,155.9,157.75,147.7583,462741
2019-06-13,157.2,159.55,157,159.55,149.4443,424519
2019-06-14,159.75,159.75,158.3,159,148.9292,343026
2019-06-17,159.6,159.95,158.7,159.2,149.1165,268758
2019-06-18,159.65,164.45,158.7,163.3,152.9568,535680
2019-06-19,163.95,163.95,162.5,162.8,152.4885,446727
2019-06-20,163.9,165.35,163.5,164.8,154.3618,382188
2019-06-21,165.5,165.5,164.3,164.7,154.2681,662292
2019-06-24,164.8,167.25,164.8,165.8,155.2985,428529
2019-06-25,166,167.3,165.35,166.85,156.2819,335961
2019-06-26,166.4,167.75,165.4,165.4,154.9238,367658
2019-06-27,166.15,167.25,164.9,165.1,154.6428,305915
2019-06-28,165.65,166.75,165.2,166.6,156.0478,421259
2019-07-01,167.75,170,166.25,166.45,155.9073,527411
2019-07-02,167.5,167.65,165.55,167.65,157.0313,411427
2019-07-03,167.2,169.05,167,167.8,157.1718,414704
2019-07-04,168,168.35,166.05,167.45,156.8439,413103
2019-07-05,167.65,167.65,163.15,164.15,153.753,622350
2019-07-08,164.35,164.8,163.75,164.3,153.8935,487741
2019-07-09,163.45,163.45,159.85,161.5,151.2708,957381
2019-07-10,160.5,160.95,158.6,160.4,150.2405,763968
2019-07-11,150,155,147.8,154,144.2458,1622944
2019-07-12,152,155.1,151.95,153.3,143.5902,696914
2019-07-15,153.3,155.45,153.3,154.2,144.4332,613473
2019-07-16,154.2,155.85,153.7,155.25,145.4167,557288
2019-07-17,155.55,157.4,155.05,155.05,145.2293,826533
2019-07-18,154.5,154.7,152.35,153.6,143.8712,596863
2019-07-19,154.1,155.4,152.7,153.4,143.6839,453836
2019-07-22,153.6,154.05,152,152.15,142.513,495907
2019-07-23,153.2,154.1,151.6,152,142.3725,762389
2019-07-24,152,153.45,151.4,152.9,143.2155,668890
2019-07-25,153.95,153.95,147.35,148.8,139.3752,1218469
2019-07-26,148.2,149.15,145.4,145.55,136.3311,1175383
2019-07-29,145.65,146.65,144.4,145.5,136.2842,645725
2019-07-30,145.8,145.8,142.75,143.9,134.7856,951005
2019-07-31,143.55,144.3,142.65,144,134.8792,746238
2019-08-02,142,144.55,140.3,142.5,133.4742,1360295
2019-08-05,140.95,141,138.9,139.9,131.0389,823975
2019-08-06,139.3,140.25,138.3,138.3,129.5403,1023482
2019-08-07,139.05,140.25,137.8,138.9,130.1023,929801
2019-08-08,140.5,142.2,139.75,141.9,132.9122,842496
2019-08-09,141.9,141.9,138.6,139,130.1959,556590
2019-08-12,139.85,141,138.95,139.35,130.5238,475105
2019-08-13,139.05,141.1,136.55,140.2,131.3199,922141
2019-08-14,140.55,140.8,136.75,137.25,128.5568,742740
2019-08-15,138.2,138.5,134.55,136.45,127.8074,738123
2019-08-16,135.7,138.25,135.65,137.75,129.0251,562638
2019-08-19,139.2,140.5,138.75,139.7,130.8516,524960
2019-08-20,139.1,139.6,136.75,137.05,128.3694,666744
2019-08-21,137.75,139.9,137.5,139.25,130.4301,458566
2019-08-22,140,140.75,138.5,139.2,130.3833,539350
2019-08-23,140.15,141.25,137.4,137.7,128.9783,441636
2019-08-26,137.5,137.65,136.1,137.45,128.7441,308279
2019-08-27,137.5,138.75,136.85,138.2,129.4466,482938
2019-08-28,138.15,138.15,135.25,136.55,127.9011,407399
2019-08-29,136,138.9,135.4,138.7,129.9149,469639
2019-08-30,139.4,143.05,139.25,142.1,133.0996,705336
2019-09-02,142.5,143.15,141.35,141.6,132.6312,439412
2019-09-03,141,141.45,139.5,140.05,131.1794,415954
2019-09-04,141.15,141.85,140.7,141,132.0693,325620
2019-09-05,142.1,144.5,141.75,143.75,134.6451,561327
2019-09-06,144.45,145.95,144.35,145.6,136.3779,505034
2019-09-09,146.2,147.55,145.75,147.2,137.8766,439508
2019-09-10,147.7,148,146.95,147.85,138.4854,637108
2019-09-11,148.75,150.95,148.5,150,140.4992,510691
2019-09-12,150.7,151.9,148.95,150.15,140.6397,602113
2019-09-13,150.65,151.85,150.15,151.4,141.8105,431298
2019-09-16,151,151.05,149.45,149.45,139.984,350864
2019-09-17,149.2,149.35,147.85,148.15,138.7664,326769
2019-09-18,147.7,149.85,147.45,149.05,139.6094,411895
2019-09-19,148.65,151.2,148.35,150.75,141.2017,520819
2019-09-20,151,151.4,149,149.25,139.7967,843049
2019-09-23,148.7,149.15,145.35,146.7,137.4082,449781
2019-09-24,146.25,147,145.05,145.6,136.3779,542493
2019-09-25,145.1,145.1,141.7,143.7,134.5982,497909
2019-09-26,142.15,146.15,142.15,145.1,135.9096,479973
2019-09-27,145.5,146.55,144.2,144.5,135.3476,508171
2019-09-30,144.2,146.6,144.2,146,136.7526,419273
2019-10-01,146.75,150.2,146.35,147.5,138.1575,913442
2019-10-02,146.55,146.6,144.1,144.45,135.3007,860613
2019-10-03,149.5,151.15,144.75,147.25,137.9234,887591
2019-10-04,148.3,151.5,146.85,151.1,141.5295,845813
2019-10-07,152.15,156.9,150.9,156.5,146.5875,1085561
2019-10-08,156.8,157.4,153.65,153.65,143.918,1132968
2019-10-09,154.4,154.4,150.1,150.7,141.1549,870206
2019-10-10,151.3,153.3,149.8,153.15,143.4497,847274
2019-10-11,153.15,157.8,152.65,157.3,147.3368,847209
2019-10-14,157.3,157.35,156.15,156.55,146.6343,568523
2019-10-15,157.5,159.1,157.05,158.45,148.414,426358
2019-10-16,158.75,160.4,157.8,160.4,150.2405,494467
