Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-06,12.003,12.003,12.003,12.003,12.003,0
2022-05-09,11.256,11.256,11.256,11.256,11.256,0
2022-05-10,10.952,10.952,10.952,10.952,10.952,0
2022-05-11,11.134,11.134,11.134,11.134,11.134,0
2022-05-12,10.654,10.654,10.654,10.654,10.654,0
2022-05-13,10.879,10.879,10.879,10.879,10.879,0
2022-05-16,10.783,10.783,10.783,10.783,10.783,0
2022-05-17,10.883,10.883,10.883,10.883,10.883,0
2022-05-18,10.674,10.674,10.674,10.674,10.674,0
2022-05-19,11.163,11.163,11.163,11.163,11.163,0
2022-05-20,11.214,11.214,11.214,11.214,11.214,0
2022-05-23,11.376,11.376,11.318,11.318,11.318,130
2022-05-24,11.335,11.335,11.335,11.335,11.335,0
2022-05-25,11.162,11.162,11.162,11.162,11.162,0
2022-05-26,11.292,11.292,11.292,11.292,11.292,0
2022-05-27,11.472,11.472,11.336,11.336,11.336,435
2022-05-30,11.406,11.406,11.406,11.406,11.406,0
2022-05-31,11.208,11.208,11.208,11.208,11.208,0
2022-06-01,11.26,11.26,11.26,11.26,11.26,0
2022-06-06,11.81,11.81,11.462,11.462,11.462,318
2022-06-07,11.328,11.328,11.328,11.328,11.328,0
2022-06-08,11.416,11.47,11.38,11.426,11.426,3901
2022-06-09,11.034,11.034,11.034,11.034,11.034,0
2022-06-10,10.976,11.295,10.888,11.295,11.295,197
2022-06-13,11.568,11.568,10.948,10.948,10.948,322
2022-06-14,10.833,10.833,10.833,10.833,10.833,0
2022-06-15,10.759,10.759,10.759,10.759,10.759,0
2022-06-16,10.752,10.824,10.634,10.711,10.711,3032
2022-06-17,10.684,10.684,10.684,10.684,10.684,0
2022-06-20,10.712,10.712,10.641,10.641,10.641,186
2022-06-21,10.892,10.892,10.766,10.892,10.892,2042
2022-06-22,10.804,10.804,10.675,10.675,10.675,94
2022-06-23,10.55,10.602,10.43,10.442,10.442,2032
2022-06-24,10.266,10.457,10.248,10.457,10.457,4750
2022-06-27,10.437,10.437,10.437,10.437,10.437,0
2022-06-28,10.588,10.588,10.399,10.399,10.399,4536
2022-06-29,10.424,10.424,10.136,10.136,10.136,120
2022-06-30,10.105,10.13,9.822,9.822,9.822,1235
2022-07-01,10.13,10.157,10.13,10.157,10.157,2700
2022-07-04,9.9895,9.9895,9.9895,9.9895,9.9895,0
2022-07-05,10.104,10.104,9.5115,9.5115,9.5115,1092
2022-07-06,9.251,9.251,9.2095,9.2095,9.2095,229
2022-07-07,9.451,9.464,9.451,9.464,9.464,845
2022-07-08,9.5715,9.5715,9.5385,9.5385,9.5385,25
2022-07-11,9.496,9.4995,9.489,9.4995,9.4995,1220
2022-07-12,9.399,9.412,9.399,9.412,9.412,160
2022-07-13,9.35,9.608,9.35,9.608,9.608,2570
2022-07-14,9.226,9.379,9.0183,9.1465,9.1465,4347
2022-07-15,9.241,9.259,9.2245,9.2245,9.2245,3221
2022-07-18,9.394,9.44,9.394,9.424,9.424,940
2022-07-19,9.408,9.446,9.4019,9.4265,9.4265,2998
2022-07-20,9.365,9.4833,9.3425,9.3425,9.3425,421
2022-07-21,9.219,9.3245,9.1453,9.3245,9.3245,228
2022-07-22,9.419,9.573,9.3516,9.54,9.54,5507
2022-07-25,9.064,9.418,9.0615,9.105,9.105,3312
2022-07-26,9.31,9.31,9.2005,9.2005,9.2005,214
2022-07-27,9.363,9.363,9.203,9.299,9.299,25505
2022-07-28,9.736,9.87,9.618,9.87,9.87,9692
2022-07-29,9.947,9.947,9.765,9.9055,9.9055,5188
2022-08-01,10.06,10.07,9.865,9.9,9.9,7994
2022-08-02,9.96,10.06,9.891,9.891,9.891,940
2022-08-03,9.608,9.878,9.569,9.578,9.578,1451
2022-08-04,10.082,10.104,9.848,9.9545,9.9545,5391
2022-08-05,9.969,10.1,9.8835,9.8835,9.8835,1408
2022-08-08,10.248,10.418,10.112,10.418,10.418,3213
2022-08-09,10.348,10.422,10.188,10.188,10.188,1759
2022-08-10,10.336,10.44,10.2,10.383,10.383,3839
2022-08-11,10.262,10.292,10.048,10.093,10.093,5288
2022-08-12,10.148,10.183,10.148,10.183,10.183,1072
2022-08-15,10.038,10.136,10,10.023,10.023,2708
2022-08-16,9.936,10.076,9.936,10.027,10.027,1063
2022-08-17,10.03,10.0578,9.7225,9.7225,9.7225,3378
2022-08-18,9.752,9.752,9.527,9.6865,9.6865,982
2022-08-19,9.754,9.774,9.611,9.611,9.611,3784
2022-08-22,9.517,9.517,9.351,9.501,9.501,4176
2022-08-23,9.683,9.742,9.5391,9.6975,9.6975,12131
2022-08-24,9.731,9.803,9.673,9.803,9.803,1156
2022-08-25,9.999,9.999,9.7935,9.7935,9.7935,2737
2022-08-26,9.783,9.8731,9.517,9.549,9.549,4629
2022-08-30,9.3025,9.3025,9.3025,9.3025,9.3025,0
2022-08-31,9.5391,9.5391,9.4745,9.4745,9.4745,1574
2022-09-01,9.296,9.335,9.081,9.125,9.125,6757
2022-09-02,9.101,9.557,9.04,9.557,9.557,15380
2022-09-05,9.502,9.502,9.4,9.4105,9.4105,1151
2022-09-06,9.446,9.448,9.3665,9.3665,9.3665,1511
2022-09-07,9.519,9.55,9.474,9.5455,9.5455,846
2022-09-08,9.647,9.711,9.645,9.711,9.711,14245
2022-09-09,9.738,9.87,9.72,9.7885,9.7885,16286
2022-09-12,9.957,10.272,9.957,10.229,10.229,28141
2022-09-13,9.996,10.2296,9.917,9.9785,9.9785,11131
2022-09-14,9.978,9.98,9.8975,9.8975,9.8975,1604
2022-09-15,9.932,9.932,9.736,9.736,9.736,603
2022-09-16,9.798,9.938,9.633,9.8845,9.8845,17496
2022-09-20,9.919,9.953,9.7045,9.7045,9.7045,2157
2022-09-21,9.811,9.8927,9.7989,9.8305,9.8305,6961
2022-09-22,9.848,9.995,9.745,9.745,9.745,5177
2022-09-23,9.8,9.836,9.423,9.4605,9.4605,11551
2022-09-26,9.566,9.6296,9.46,9.474,9.474,4036
2022-09-27,9.503,9.66,9.463,9.5135,9.5135,6297
2022-09-28,9.282,9.841,9.278,9.458,9.458,23671
2022-09-29,9.8411,9.8411,9.733,9.77,9.77,250
2022-09-30,9.917,10.208,9.87,10.186,10.186,7377
2022-10-03,10.044,10.49,10.0057,10.48,10.48,21602
2022-10-04,10.598,10.726,10.542,10.718,10.718,22572
2022-10-05,10.476,10.576,10.416,10.533,10.533,16255
2022-10-06,10.694,10.793,10.676,10.793,10.793,2563
2022-10-07,10.91,10.94,10.577,10.623,10.623,3017
2022-10-10,10.416,10.463,10.3863,10.463,10.463,967
2022-10-11,10.26,10.417,10.2016,10.417,10.417,8874
2022-10-12,10.224,10.424,10.224,10.271,10.271,3151
2022-10-13,10.4361,10.478,9.82,10.271,10.271,6129
2022-10-14,10.096,10.096,9.803,9.803,9.803,8357
2022-10-17,9.863,9.986,9.863,9.9245,9.9245,9480
2022-10-18,9.955,9.955,9.888,9.888,9.888,20
2022-10-19,9.777,10,9.777,9.804,9.804,4776
2022-10-20,9.742,10.02,9.742,9.9985,9.9985,1881
2022-10-21,9.88,10.08,9.8596,10.08,10.08,2201
2022-10-24,9.963,10.202,9.9056,10.05,10.05,6634
2022-10-25,10.114,10.114,10.114,10.114,10.114,0
2022-10-26,10.212,10.429,10.192,10.429,10.429,8084
2022-10-27,10.3782,10.39,10.308,10.329,10.329,2036
2022-10-28,10.144,10.144,9.9365,9.9365,9.9365,366
2022-10-31,10.154,10.154,10.154,10.154,10.154,0
2022-11-01,10.316,10.456,10.302,10.403,10.403,4394
2022-11-02,10.234,10.388,10.193,10.193,10.193,8171
2022-11-03,9.881,10.002,9.881,9.93,9.93,3133
2022-11-04,10.108,10.496,9.796,10.406,10.406,29356
2022-11-07,10.508,10.73,10.498,10.587,10.587,4430
2022-11-08,10.604,11.08,10.59,11.028,11.028,6564
2022-11-09,10.784,10.942,10.77,10.77,10.77,3286
2022-11-10,10.904,11.048,10.838,10.952,10.952,6244
2022-11-11,11.17,11.2315,10.996,11.074,11.074,21134
2022-11-14,11.226,11.28,11.084,11.153,11.153,3036
2022-11-15,11.314,11.362,10.933,10.933,10.933,27045
2022-11-16,10.976,11.0284,10.7677,10.872,10.872,4548
2022-11-17,10.678,10.773,10.52,10.699,10.699,6019
2022-11-18,10.6932,10.719,10.6233,10.719,10.719,800
2022-11-21,10.7411,10.7411,10.613,10.613,10.613,907
2022-11-22,11.046,11.056,10.93,11.004,11.004,907
2022-11-23,10.966,11.098,10.966,10.982,10.982,973
2022-11-24,11.036,11.088,11.036,11.071,11.071,2516
2022-11-25,11.04,11.084,10.898,10.921,10.921,8872
2022-11-28,10.924,10.9248,10.669,10.669,10.669,1406
2022-11-29,10.688,10.7621,10.6309,10.682,10.682,16851
2022-11-30,10.792,10.926,10.78,10.92,10.92,22249
2022-12-01,11.1,11.206,11.024,11.198,11.198,22895
2022-12-02,11.146,11.194,10.992,11.169,11.169,9727
2022-12-05,11.088,11.2035,10.98,10.98,10.98,9564
2022-12-06,10.908,10.908,10.7704,10.82,10.82,4623
2022-12-07,10.804,11.0349,10.792,10.955,10.955,9909
2022-12-08,10.964,11.0945,10.925,10.925,10.925,3702
2022-12-09,11.032,11.064,10.9447,11.064,11.064,26910
2022-12-12,10.818,10.8554,10.662,10.713,10.713,19986
2022-12-13,10.906,11.07,10.7825,10.906,10.906,1633
2022-12-14,10.874,10.8873,10.77,10.788,10.788,1565
2022-12-15,10.602,10.602,10.5161,10.541,10.541,770
2022-12-16,10.48,10.616,10.446,10.551,10.551,10860
2022-12-19,10.71,10.784,10.524,10.539,10.539,2673
2022-12-20,10.452,10.9372,10.452,10.874,10.874,16413
2022-12-21,10.96,11.164,10.882,11.059,11.059,5365
2022-12-22,11.084,11.09,10.863,10.863,10.863,1727
2022-12-23,11.008,11.06,11.008,11.013,11.013,391
2022-12-28,11.29,11.3991,11.097,11.097,11.097,3371
2022-12-29,11.09,11.254,11.073,11.073,11.073,7083
2022-12-30,10.928,11.11,10.928,11.042,11.042,2061
2023-01-03,11.04,11.218,11.018,11.038,11.038,10130
2023-01-04,11.232,11.475,11.232,11.475,11.475,15451
2023-01-05,11.48,11.55,11.326,11.356,11.356,6914
2023-01-06,11.758,11.7678,11.5362,11.679,11.679,3632
2023-01-09,11.766,11.85,11.666,11.728,11.728,9620
2023-01-10,11.524,11.619,11.524,11.619,11.619,5939
2023-01-11,11.788,11.9,11.676,11.676,11.676,7910
2023-01-12,11.804,11.864,11.7358,11.792,11.792,3816
2023-01-13,11.794,11.926,11.768,11.853,11.853,5515
2023-01-16,11.906,11.994,11.856,11.951,11.951,9512
