Date,Open,High,Low,Close,Volume
2016-01-04,2221.03,2221.03,2150.55,2160.51,3316950
2016-01-05,2167.42,2186.19,2142.52,2183.12,2181175
2016-01-06,2175.07,2178.15,2133.34,2158.2,3167399
2016-01-07,2111.9,2146.37,2099.68,2138.3,3277227
2016-01-08,2148.26,2154.79,2127.22,2127.99,3108030
2016-01-11,2131.82,2144.92,2110.02,2116.08,2015633
2016-01-12,2119.96,2172.03,2107.29,2165.52,3627979
2016-01-13,2198.05,2207.2,2183.12,2190.74,3667557
2016-01-14,2175.07,2175.07,2138.69,2159.78,3284216
2016-01-15,2156.71,2169.68,2119.55,2143.31,3944469
2016-01-18,2140.23,2183.12,2136.37,2177.36,3794482
2016-01-19,2219.11,2247.77,2194.21,2247.07,4269560
2016-01-20,2212.56,2220.63,2153.62,2168.97,4948103
2016-01-21,2171.27,2217.97,2171.27,2203.39,5147179
2016-01-22,2229.07,2249.01,2218.33,2235.58,3400474
2016-01-25,2257.03,2272.36,2245.15,2259.72,2889502
2016-01-26,2235.97,2266.25,2222.19,2263.53,3738565
2016-01-27,2255.49,2301.45,2248.6,2301.45,3759982
2016-01-28,2291.1,2300.29,2253.21,2271.95,2777943
2016-01-29,2298.73,2362.7,2287.66,2362.7,4797844
2016-02-01,2365.77,2372.66,2334.35,2352.38,3648118
2016-02-02,2346.61,2357.34,2318.52,2357.34,4948092
2016-02-03,2343.16,2357.54,2303.02,2312.92,4753111
2016-02-04,2344.19,2344.58,2265.87,2279.37,4884214
2016-02-05,2293.25,2314.47,2283.61,2290.16,4904908
2016-02-08,2305.58,2305.58,2255.85,2268.56,5372029
2016-02-09,2278.58,2299.04,2249.65,2262.36,5220158
2016-02-10,2288.25,2306.76,2257.75,2269.37,4070200
2016-02-11,2241.92,2258.51,2214.55,2241.92,5118443
2016-02-12,2246.57,2272.44,2233.05,2272.44,4468856
2016-02-15,2303.26,2338.39,2272.02,2324.53,2587968
2016-02-16,2332.66,2360.01,2314.08,2326.83,3077455
2016-02-17,2337.62,2353.81,2337.62,2353.81,3028871
2016-02-18,2363.11,2369.63,2325.28,2334.93,3066589
2016-02-19,2339.58,2347.3,2329.14,2341.46,2980677
2016-02-22,2369.63,2395.12,2366.18,2378.54,2616695
2016-02-23,2364.25,2384.72,2353.06,2366.18,2608841
2016-02-24,2368.88,2371.6,2337.24,2344.58,2702091
2016-02-25,2369.31,2405.15,2368.88,2395.52,2819302
2016-02-26,2414.42,2431.02,2389.94,2390.12,2415668
2016-02-29,2368.48,2387.44,2347.43,2386.21,3154397
2016-03-01,2377.76,2431.11,2370.04,2429.88,2313818
2016-03-02,2434.51,2434.86,2351.9,2371.97,3356061
2016-03-03,2370.8,2375.81,2341.46,2359.61,2734761
2016-03-04,2374.65,2417.52,2358.76,2399.39,2803103
2016-03-07,2390.85,2400.11,2368.88,2382.41,2196973
2016-03-08,2360.43,2402.43,2343.41,2400.11,2330468
2016-03-09,2397.84,2423.31,2390.52,2407.48,2336293
2016-03-10,2412.88,2462.26,2378.15,2378.15,4015974
2016-03-11,2401.68,2411.75,2382.01,2389.37,2644129
2016-03-14,2391.68,2411.75,2383.56,2400.55,2121928
2016-03-15,2383.16,2437.18,2382.01,2425.99,2800505
2016-03-16,2434.07,2440.26,2406.01,2411.3,1931516
2016-03-17,2420.94,2427.54,2365.09,2400.11,3179786
2016-03-18,2409.81,2410.44,2383.56,2391.26,4293631
2016-03-21,2384.72,2398.97,2375.81,2392.42,2359254
2016-03-22,2375.03,2394.36,2346.89,2394.36,2902032
2016-03-23,2403.98,2446.1,2400.73,2442.58,2907199
2016-03-24,2429.47,2442.23,2418.99,2424.05,2363847
2016-03-29,2422.14,2450.68,2422.14,2442.23,2333279
2016-03-30,2448.01,2481.63,2446.82,2461.88,2592600
2016-03-31,2454.93,2456.47,2427.94,2432.94,2650822
2016-04-01,2400.11,2445.68,2378.91,2442.58,2914978
2016-04-04,2447.23,2486.59,2437.99,2452.61,2624978
2016-04-05,2446.1,2469.58,2437.55,2461.1,3029560
2016-04-06,2468.44,2501.99,2447.05,2501.99,2633397
2016-04-07,2506.64,2522.04,2490.9,2501.25,2414985
2016-04-08,2514.76,2520.56,2482.72,2499.31,1948974
2016-04-11,2496.23,2508.97,2477.19,2497.01,2559166
2016-04-12,2494.29,2505.85,2476.14,2500.09,2952310
2016-04-13,2521.7,2525.55,2502.64,2518.6,3950788
2016-04-14,2485.8,2549.86,2471.93,2534.84,3813265
2016-04-15,2524.02,2547.14,2514.37,2530.94,3364936
2016-04-18,2518.22,2541.37,2514.76,2530.58,2475188
2016-04-19,2530.58,2573.38,2524.84,2570.72,4141133
2016-04-20,2553.71,2572.25,2543.0,2569.92,3362277
2016-04-21,2566.85,2569.55,2502.8,2522.85,3958289
2016-04-22,2512.05,2520.16,2444.11,2462.69,3078718
2016-04-25,2454.16,2478.87,2437.99,2459.58,3519574
2016-04-26,2463.82,2484.25,2421.67,2429.06,3039064
2016-04-27,2418.3,2421.39,2403.61,2416.36,3441933
2016-04-28,2410.16,2418.01,2373.22,2417.58,3281786
