Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-03,7.77,7.77,7.77,7.77,7.77,0
2022-05-04,7.849,7.849,7.849,7.849,7.849,0
2022-05-05,7.549,7.549,7.549,7.549,7.549,0
2022-05-06,7.4388,7.48,6.291,7.48,7.48,260000
2022-05-09,7.247,7.25,6.843,6.843,6.843,448
2022-05-10,6.689,6.9,6.646,6.646,6.646,1120
2022-05-11,6.734,6.863,6.731,6.845,6.845,4392
2022-05-12,6.346,6.4305,6.319,6.4305,6.4305,7621
2022-05-13,6.379,6.893,6.379,6.861,6.861,9160
2022-05-16,6.772,6.807,6.68,6.6895,6.6895,1670
2022-05-17,7.016,7.0345,6.954,7.0345,7.0345,358
2022-05-18,7.245,7.305,6.9295,6.9295,6.9295,1947
2022-05-19,6.826,6.923,6.826,6.87,6.87,802
2022-05-20,7.072,7.086,6.8765,6.8765,6.8765,4117
2022-05-23,7.048,7.062,7.013,7.016,7.016,1034
2022-05-24,6.962,7.049,6.853,6.853,6.853,4547
2022-05-25,6.855,7.024,6.855,6.8955,6.8955,15463
2022-05-26,6.963,7.169,6.963,7.109,7.109,3636
2022-05-27,7.239,7.34,7.239,7.265,7.265,1164
2022-05-30,7.5,7.662,7.5,7.642,7.642,3207
2022-05-31,7.601,7.673,7.525,7.5355,7.5355,16524
2022-06-01,7.392,7.392,7.227,7.227,7.227,8165
2022-06-06,8,8,7.551,7.572,7.572,11327
2022-06-07,7.574,7.582,7.456,7.508,7.508,6638
2022-06-08,8.348,8.532,8.346,8.532,8.532,11955
2022-06-09,8.317,8.317,8.0095,8.0095,8.0095,11096
2022-06-10,7.924,7.924,7.5255,7.5255,7.5255,3739
2022-06-13,7.646,7.655,7.008,7.0685,7.0685,21818
2022-06-14,7.112,7.112,6.865,7.073,7.073,3613
2022-06-15,6.763,6.791,6.684,6.7055,6.7055,5309
2022-06-16,6.743,6.824,6.51,6.603,6.603,5837
2022-06-17,6.64,6.646,6.418,6.4815,6.4815,11255
2022-06-20,6.422,6.478,6.422,6.469,6.469,700
2022-06-21,6.52,6.717,6.436,6.714,6.714,3793
2022-06-22,6.398,6.562,6.385,6.4055,6.4055,1176
2022-06-23,6.24,6.324,6.238,6.3215,6.3215,1164
2022-06-24,6.35,6.589,6.305,6.578,6.578,4357
2022-06-27,6.934,7.04,6.795,6.88,6.88,61154
2022-06-28,7.003,7.038,6.808,6.808,6.808,2027
2022-06-29,6.741,6.741,6.613,6.615,6.615,4110
2022-06-30,6.474,6.474,6.24,6.3145,6.3145,25063
2022-07-01,6.378,6.51,6.362,6.49,6.49,1205
2022-07-04,6.564,6.605,6.54,6.576,6.576,3353
2022-07-05,6.751,6.754,6.272,6.272,6.272,38441
2022-07-06,6.299,6.427,6.157,6.157,6.157,25591
2022-07-07,6.311,6.542,6.202,6.5065,6.5065,369
2022-07-08,6.483,6.673,6.483,6.673,6.673,34804
2022-07-11,6.456,6.618,6.456,6.4755,6.4755,1900
2022-07-12,6.379,6.379,6.285,6.305,6.305,2552
2022-07-13,6.326,6.355,6.2,6.3165,6.3165,4475
2022-07-14,6.306,6.306,6.194,6.225,6.225,17478
2022-07-15,6.383,6.511,6.35,6.505,6.505,5647
2022-07-18,6.685,6.784,6.498,6.7825,6.7825,33051
2022-07-19,6.88,6.909,6.739,6.909,6.909,15026
2022-07-20,7.291,7.291,6.97,7.0735,7.0735,35877
2022-07-21,6.93,7.039,6.892,6.892,6.892,217
2022-07-22,6.9,6.9,6.8085,6.8085,6.8085,2520
2022-07-25,6.6,6.695,6.568,6.695,6.695,199
2022-07-26,6.719,6.872,6.7175,6.7175,6.7175,1518
2022-07-27,6.88,7.142,6.783,7.1265,7.1265,2911
2022-07-28,7.478,7.517,7.247,7.321,7.321,942
2022-07-29,7.5,7.588,7.453,7.463,7.463,11012
2022-08-01,7.439,7.525,7.3315,7.3315,7.3315,1457
2022-08-02,7.38,7.38,7.2505,7.2505,7.2505,140
2022-08-03,7.41,7.41,7.267,7.267,7.267,19
2022-08-04,7.296,7.406,7.2905,7.2905,7.2905,493
2022-08-05,7.261,7.387,7.138,7.2315,7.2315,1328
