Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-01,0.8415,0.8415,0.8412,0.8413,0.8413,0
2024-01-02,0.841,0.8506,0.8399,0.8501,0.8501,0
2024-01-03,0.8497,0.8554,0.8486,0.8491,0.8491,0
2024-01-04,0.849,0.8529,0.8475,0.8502,0.8502,0
2024-01-05,0.85,0.8576,0.8453,0.85,0.85,0
2024-01-08,0.8495,0.8521,0.8458,0.848,0.848,0
2024-01-09,0.848,0.8531,0.8462,0.8524,0.8524,0
2024-01-10,0.8522,0.8535,0.8504,0.8509,0.8509,0
2024-01-11,0.8508,0.8565,0.8488,0.852,0.852,0
2024-01-12,0.8518,0.855,0.8486,0.8524,0.8524,0
2024-01-15,0.8518,0.8562,0.8513,0.8557,0.8557,0
2024-01-16,0.8559,0.8619,0.8552,0.8616,0.8616,0
2024-01-17,0.861,0.8685,0.8605,0.8644,0.8644,0
2024-01-18,0.8643,0.8694,0.8631,0.8681,0.8681,0
2024-01-19,0.868,0.8704,0.8674,0.8687,0.8687,0
2024-01-22,0.8681,0.87,0.8664,0.8691,0.8691,0
2024-01-23,0.8689,0.8728,0.8648,0.8703,0.8703,0
2024-01-24,0.8701,0.8709,0.8605,0.8628,0.8628,0
2024-01-25,0.8628,0.8684,0.8622,0.8669,0.8669,0
2024-01-26,0.8668,0.8685,0.8614,0.8646,0.8646,0
2024-01-29,0.8646,0.8655,0.8605,0.8614,0.8614,0
2024-01-30,0.861,0.8643,0.8605,0.8618,0.8618,0
2024-01-31,0.8617,0.8643,0.8549,0.8613,0.8613,0
2024-02-01,0.8613,0.8649,0.8569,0.8576,0.8576,0
2024-02-02,0.8579,0.868,0.8551,0.8666,0.8666,0
2024-02-05,0.8662,0.8718,0.8657,0.8707,0.8707,0
2024-02-06,0.8704,0.8741,0.8688,0.8698,0.8698,0
2024-02-07,0.8695,0.8753,0.8686,0.8745,0.8745,0
2024-02-08,0.8745,0.8761,0.8722,0.8737,0.8737,0
2024-02-09,0.874,0.8762,0.8729,0.8748,0.8748,0
2024-02-12,0.8743,0.8772,0.8724,0.8757,0.8757,0
2024-02-13,0.8755,0.8881,0.8751,0.8871,0.8871,0
2024-02-14,0.8867,0.8885,0.8845,0.886,0.886,0
2024-02-15,0.8858,0.8861,0.8781,0.88,0.88,0
2024-02-16,0.8794,0.8839,0.8793,0.8807,0.8807,0
2024-02-19,0.8802,0.8828,0.8795,0.8823,0.8823,0
2024-02-20,0.882,0.8837,0.8783,0.882,0.882,0
2024-02-21,0.8817,0.8823,0.8786,0.8796,0.8796,0
2024-02-22,0.8794,0.8821,0.8741,0.8803,0.8803,0
2024-02-23,0.8801,0.8819,0.8779,0.8813,0.8813,0
2024-02-26,0.8805,0.8822,0.8786,0.88,0.88,0
2024-02-27,0.88,0.881,0.8782,0.8785,0.8785,0
2024-02-28,0.8788,0.8815,0.8782,0.8788,0.8788,0
2024-02-29,0.8787,0.8847,0.8777,0.8846,0.8846,0
2024-03-01,0.8844,0.8892,0.8827,0.8836,0.8836,0
2024-03-04,0.8833,0.8864,0.8803,0.8849,0.8849,0
2024-03-05,0.8843,0.8866,0.8823,0.8834,0.8834,0
2024-03-06,0.8833,0.8855,0.8802,0.8821,0.8821,0
2024-03-07,0.882,0.8826,0.877,0.8777,0.8777,0
2024-03-08,0.8778,0.8782,0.8728,0.8777,0.8777,0
2024-03-11,0.8775,0.8794,0.8753,0.8777,0.8777,0
2024-03-12,0.8776,0.8794,0.8745,0.8771,0.8771,0
2024-03-13,0.8772,0.8789,0.8764,0.8789,0.8789,0
2024-03-14,0.8787,0.8841,0.878,0.8839,0.8839,0
2024-03-15,0.8835,0.8852,0.8817,0.8837,0.8837,0
2024-03-18,0.8832,0.8884,0.8819,0.8878,0.8878,0
2024-03-19,0.8874,0.8898,0.8865,0.8881,0.8881,0
2024-03-20,0.8875,0.8918,0.8857,0.887,0.887,0
2024-03-21,0.8868,0.8993,0.8837,0.8976,0.8976,0
2024-03-22,0.8975,0.902,0.8963,0.8978,0.8978,0
2024-03-25,0.897,0.8995,0.8965,0.8994,0.8994,0
2024-03-26,0.8991,0.9043,0.8986,0.904,0.904,0
2024-03-27,0.9039,0.9071,0.9031,0.9038,0.9038,0
2024-03-28,0.9036,0.9064,0.8997,0.9017,0.9017,0
2024-03-29,0.9011,0.9029,0.9004,0.9018,0.9018,0
2024-04-01,0.9017,0.9056,0.9003,0.9043,0.9043,0
2024-04-02,0.9042,0.909,0.9036,0.908,0.908,0
2024-04-03,0.908,0.9095,0.9026,0.9031,0.9031,0
2024-04-04,0.9028,0.9075,0.9007,0.9014,0.9014,0
2024-04-05,0.9011,0.907,0.8996,0.9016,0.9016,0
2024-04-08,0.9012,0.9065,0.9006,0.9055,0.9055,0
2024-04-09,0.9055,0.9058,0.901,0.9036,0.9036,0
2024-04-10,0.9035,0.9147,0.9023,0.9132,0.9132,0
2024-04-11,0.9127,0.9146,0.9072,0.91,0.91,0
2024-04-12,0.9098,0.9146,0.9091,0.9142,0.9142,0
2024-04-15,0.9122,0.9151,0.9112,0.9116,0.9116,0
2024-04-16,0.9115,0.9141,0.911,0.9129,0.9129,0
2024-04-17,0.9128,0.9132,0.9091,0.9108,0.9108,0
2024-04-18,0.9106,0.9125,0.9079,0.9123,0.9123,0
2024-04-19,0.9119,0.9131,0.901,0.9102,0.9102,0
2024-04-22,0.9101,0.9123,0.9093,0.912,0.912,0
2024-04-23,0.9115,0.9129,0.9085,0.9119,0.9119,0
2024-04-24,0.9117,0.9153,0.911,0.9151,0.9151,0
2024-04-25,0.9149,0.9156,0.9115,0.9122,0.9122,0
2024-04-26,0.9118,0.915,0.9094,0.9143,0.9143,0
2024-04-29,0.9137,0.9151,0.9086,0.9105,0.9105,0
2024-04-30,0.9104,0.9195,0.9098,0.9194,0.9194,0
2024-05-01,0.9192,0.9224,0.9144,0.9156,0.9156,0
2024-05-02,0.9158,0.9173,0.9096,0.9106,0.9106,0
