Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,54.17,54.44,54.05,54.44,46.108,2183508
2020-01-03,53.73,54.03,53.72,53.75,45.5236,2096019
2020-01-06,53.57,53.85,53.51,53.85,45.6083,1883339
2020-01-07,53.84,53.87,53.6958,53.77,45.5406,1759025
2020-01-08,53.71,54.08,53.67,53.9,45.6507,2047327
2020-01-09,54.1,54.14,53.9732,54.14,45.854,1591711
2020-01-10,54.2,54.27,53.975,54.02,45.7523,2055118
2020-01-13,54.17,54.45,54.06,54.44,46.108,2821280
2020-01-14,54.3,54.46,54.2644,54.43,46.0996,2068377
2020-01-15,54.33,54.42,54.26,54.3,45.9895,7655619
2020-01-16,54.5,54.62,54.444,54.62,46.2605,3993323
2020-01-17,54.73,54.81,54.64,54.78,46.396,3446086
2020-01-21,54.32,54.41,54.14,54.16,45.8709,2024684
2020-01-22,54.45,54.475,54.265,54.33,46.0149,2265444
2020-01-23,53.97,54.18,53.73,54.13,45.8455,2451486
2020-01-24,54.24,54.265,53.68,53.84,45.5999,2551548
2020-01-27,52.52,52.82,52.4,52.62,44.5666,2436282
2020-01-28,52.8,53.09,52.685,53.07,44.9477,2954196
2020-01-29,53.24,53.28,53,53.09,44.9647,2331942
2020-01-30,52.48,52.8751,52.3199,52.84,44.7529,4111734
2020-01-31,52.3,52.31,51.75,51.92,43.9737,4077453
2020-02-03,52.09,52.4,52.02,52.16,44.177,2898996
2020-02-04,53.05,53.22,53.01,53.08,44.9562,2549421
2020-02-05,53.66,53.71,53.39,53.57,45.3712,2479559
2020-02-06,53.81,53.82,53.625,53.67,45.4559,2366863
2020-02-07,53.3,53.33,53.1,53.16,45.0239,2063891
2020-02-10,53.04,53.31,53.04,53.29,45.1341,1753436
2020-02-11,53.7,53.8668,53.636,53.73,45.5067,2076654
2020-02-12,54,54.088,53.91,54.07,45.7947,1693760
2020-02-13,53.59,53.78,53.49,53.62,45.4135,2474380
2020-02-14,53.72,53.72,53.43,53.59,45.3881,1967155
2020-02-18,53.22,53.34,53.13,53.22,45.0748,1684058
2020-02-19,53.49,53.565,53.45,53.54,45.3458,2622375
2020-02-20,53.23,53.33,52.79,53.06,44.9393,1873317
2020-02-21,52.88,52.94,52.684,52.79,44.7106,1893976
2020-02-24,50.71,51.119,50.63,50.84,43.059,4817078
2020-02-25,51.13,51.17,49.99,50.04,42.3815,6634969
2020-02-26,50.49,50.87,50.15,50.21,42.5254,6007186
2020-02-27,49.42,49.905,48.76,48.76,41.2974,9553857
2020-02-28,47.55,48.52,47.18,48.49,41.0687,10099670
2020-03-02,48.41,49.22,48.04,49.22,41.687,9554882
2020-03-03,49.46,50,48.4,48.69,41.2381,10545750
2020-03-04,49.52,50.02,49.19,50.01,42.3561,4859043
2020-03-05,49.05,49.38,48.56,48.75,41.2889,9479401
2020-03-06,47.86,48.215,47.53,48.01,40.6621,9515586
2020-03-09,44.76,45.46,44,44.18,37.4183,12320990
2020-03-10,45.96,46.06,44.59,45.99,38.9513,15001620
2020-03-11,44.74,44.88,43.41,43.72,37.0287,12724410
2020-03-12,40.27,40.4,38.47,39.05,33.0735,14312460
2020-03-13,41.74,41.8326,39.19,41.68,35.3009,12646360
2020-03-16,36.57,38.5,35.41,36.95,31.2949,12290490
2020-03-17,37.65,39.02,37.065,38.89,32.9379,13758750
2020-03-18,36.25,37.395,35.42,36.36,30.7952,14422470
2020-03-19,36.27,37.5622,35.84,36.78,31.1509,20323330
2020-03-20,37.98,38.37,36.55,36.6,30.9984,14564670
2020-03-23,36.44,36.695,35.54,35.86,30.4699,16075470
2020-03-24,38.42,38.97,38.01,38.79,32.9595,19548801
2020-03-25,39.36,40.76,38.8,40.11,34.0811,18432119
2020-03-26,40.45,41.88,40.42,41.77,35.4916,14915820
2020-03-27,40.21,41,39.815,40.27,34.2171,12918950
2020-03-30,40.43,41.14,40.18,41.14,34.9563,11667650
2020-03-31,40.73,41.39,40.55,41.02,34.8543,9539702
2020-04-01,39.65,40.08,39.2039,39.28,33.3759,10316350
2020-04-02,39.53,40.33,39.36,40.16,34.1236,11564160
2020-04-03,39.69,39.83,39.075,39.37,33.4523,5792111
2020-04-06,40.75,41.5068,40.6,41.42,35.1942,7439520
2020-04-07,42.82,42.91,41.57,41.59,35.3387,7802317
2020-04-08,41.78,42.19,41.435,42.02,35.704,9128790
2020-04-09,42.64,43.03,42.38,42.69,36.2733,8114744
2020-04-13,42.56,42.65,42.03,42.44,36.0609,6602499
2020-04-14,43.12,43.55,43.0906,43.23,36.7321,5651655
2020-04-15,42.12,42.25,41.83,42.02,35.704,6087791
2020-04-16,42.24,42.275,41.7,42,35.687,4823839
2020-04-17,43.05,43.14,42.65,43.08,36.6047,5485887
2020-04-20,42.58,43.105,42.475,42.52,36.1289,5611114
2020-04-21,41.77,42.0801,41.45,41.57,35.3217,5567328
2020-04-22,42.39,42.45,42.225,42.4,36.0269,4332916
2020-04-23,42.53,43.06,42.22,42.31,35.9504,6578726
2020-04-24,42.52,42.66,42.175,42.64,36.2308,4183085
2020-04-27,42.97,43.32,42.89,43.25,36.7491,5485382
2020-04-28,44,44.08,43.505,43.55,37.004,4662613
2020-04-29,44.4,44.84,44.32,44.7,37.9812,5027464
2020-04-30,44.24,44.29,43.56,43.81,37.225,5841869
2020-05-01,42.94,43.0832,42.51,42.69,36.2733,5616688
2020-05-04,42.44,42.8,42.3,42.78,36.3498,4884634
2020-05-05,43.15,43.34,42.86,42.97,36.5112,4494315
2020-05-06,43.19,43.26,42.675,42.72,36.2988,4273153
2020-05-07,43.23,43.43,43.04,43.25,36.7491,4470933
2020-05-08,43.74,44.015,43.695,44,37.3864,2946917
2020-05-11,43.7,44.04,43.66,43.92,37.3184,3886478
2020-05-12,44.07,44.19,43.44,43.44,36.9106,5662556
2020-05-13,43.8,43.8,42.91,43.14,36.6557,7014949
2020-05-14,42.21,42.945,41.97,42.94,36.4857,7866781
2020-05-15,42.68,42.96,42.515,42.82,36.3838,6039765
2020-05-18,43.83,44.59,43.815,44.48,37.7943,5264929
2020-05-19,44.27,44.4587,43.97,43.97,37.3609,4963828
2020-05-20,44.74,44.99,44.58,44.76,38.0322,5743953
2020-05-21,44.55,44.69,44.09,44.25,37.5988,5995139
2020-05-22,43.86,43.93,43.67,43.92,37.3184,5339308
2020-05-26,45.28,45.415,45.09,45.14,38.3551,6066386
2020-05-27,45.54,45.58,45.02,45.54,38.6949,4577145
2020-05-28,45.98,46.28,45.75,45.79,38.9074,4781594
2020-05-29,45.77,45.92,45.265,45.86,38.9668,8240298
2020-06-01,46.22,46.88,46.17,46.87,39.825,5045060
2020-06-02,47.21,47.58,47.16,47.55,40.4028,6167259
2020-06-03,48.09,48.72,48.06,48.59,41.2865,6860946
2020-06-04,48.22,48.58,48.125,48.27,41.0146,5683867
2020-06-05,49.3,49.6,49.16,49.26,41.8558,5751102
2020-06-08,49.43,49.83,49.14,49.82,42.3316,4128397
2020-06-09,49.01,49.405,48.9,49.28,41.8728,7927070
2020-06-10,49.42,49.61,49.01,49.25,41.8473,5236154
2020-06-11,47.84,48.02,46.53,46.58,39.5786,6157808
2020-06-12,47.86,47.98,46.82,47.46,40.3263,6924401
2020-06-15,46.54,47.6799,46.36,47.52,40.3773,5708621
2020-06-16,48.58,48.59,47.58,48.07,40.8446,4794797
2020-06-17,48.44,48.5083,48.16,48.26,41.0061,3177761
2020-06-18,47.93,48.265,47.905,48.07,40.8446,3947265
2020-06-19,48.63,48.65,47.85,47.89,40.6917,3147021
2020-06-22,47.96,48.278,47.82,48.23,41.1991,4354120
2020-06-23,48.79,48.875,48.5044,48.54,41.4639,3897383
2020-06-24,48.1,48.18,47.28,47.5,40.5755,7224525
2020-06-25,47.47,48.025,47.24,48.01,41.0112,5326322
2020-06-26,47.89,47.8949,47.22,47.34,40.4389,4814089
2020-06-29,47.49,47.72,47.225,47.72,40.7635,4706243
2020-06-30,47.43,47.75,47.3217,47.61,40.6695,5314772
2020-07-01,47.68,48.005,47.6398,47.85,40.8745,6257983
2020-07-02,48.65,48.91,48.45,48.58,41.4981,3882870
2020-07-06,49.53,49.7,49.395,49.65,42.4121,2844403
2020-07-07,49.18,49.39,48.92,48.94,41.8056,2083685
2020-07-08,49.12,49.58,49.04,49.56,42.3352,2903989
2020-07-09,49.63,49.65,48.81,49.2,42.0277,3291770
2020-07-10,49.2,49.47,49.01,49.45,42.2413,3049862
2020-07-13,49.72,49.99,49.055,49.14,41.9765,6186586
2020-07-14,49,49.74,49,49.68,42.4377,3544968
2020-07-15,50.31,50.44,49.99,50.16,42.8478,4891340
2020-07-16,49.63,49.855,49.6,49.72,42.4719,3208335
2020-07-17,49.89,49.98,49.71,49.94,42.6598,2420061
2020-07-20,50.07,50.365,49.94,50.33,42.993,2705833
2020-07-21,50.78,50.87,50.555,50.59,43.2151,2647855
2020-07-22,50.55,50.639,50.375,50.59,43.2151,5225081
2020-07-23,50.52,50.677,50.03,50.19,42.8734,3220595
2020-07-24,49.84,50.08,49.74,50,42.7111,2679692
2020-07-27,50.44,50.72,50.36,50.68,43.292,2822119
2020-07-28,50.48,50.62,50.34,50.37,43.0271,2256321
2020-07-29,50.67,51.04,50.605,50.96,43.5311,2798132
2020-07-30,49.98,50.355,49.5466,50.31,42.9759,2936503
2020-07-31,50.09,50.14,49.15,49.48,42.2669,3559487
2020-08-03,49.88,50.235,49.785,50.22,42.899,6856577
2020-08-04,50.15,50.62,50.135,50.6,43.2236,2483869
2020-08-05,51.01,51.22,50.87,50.94,43.5141,2106847
2020-08-06,50.78,51.0599,50.63,51.04,43.5995,2472387
2020-08-07,50.44,50.59,50.28,50.57,43.198,2002098
2020-08-10,50.64,50.76,50.43,50.72,43.3261,1620029
2020-08-11,51.44,51.47,50.805,50.84,43.4286,1886035
2020-08-12,51.68,51.96,51.604,51.81,44.2572,2500859
2020-08-13,51.73,51.795,51.39,51.54,44.0266,1742678
2020-08-14,51.25,51.4,51.19,51.33,43.8472,1992424
2020-08-17,51.65,51.79,51.6,51.79,44.2401,1268070
2020-08-18,51.92,51.99,51.56,51.8,44.2487,1704544
2020-08-19,51.88,51.915,51.42,51.45,43.9497,2651950
2020-08-20,50.87,51.35,50.82,51.31,43.8301,1582963
2020-08-21,50.87,51.19,50.7993,51.17,43.7105,1705503
2020-08-24,51.93,51.93,51.6136,51.8,44.2487,2144495
2020-08-25,52,52.02,51.675,51.97,44.3939,2128601
2020-08-26,52,52.29,51.96,52.25,44.6331,2730043
2020-08-27,52.34,52.35,51.6,51.8,44.2487,3130576
2020-08-28,52.11,52.26,51.95,52.25,44.6331,1558096
2020-08-31,51.88,51.925,51.56,51.66,44.1291,2154566
2020-09-01,51.81,52,51.685,51.97,44.3939,2361271
2020-09-02,52.24,52.455,51.99,52.43,44.7868,5115277
2020-09-03,52.18,52.25,51.12,51.32,43.8387,3949923
2020-09-04,51.5,51.68,50.48,51.38,43.8899,4490548
2020-09-08,50.63,51.06,50.45,50.65,43.2663,5829680
2020-09-09,51.37,51.695,51.25,51.51,44.001,2758453
2020-09-10,51.7,51.8,50.88,50.88,43.4628,3591552
2020-09-11,51.51,51.61,51.12,51.35,43.8643,3234268
2020-09-14,51.84,51.94,51.73,51.8,44.2487,1523816
2020-09-15,52.37,52.38,52.08,52.21,44.5989,4610959
2020-09-16,52.29,52.51,52.065,52.12,44.522,2476621
2020-09-17,51.74,52.13,51.67,52.1,44.505,2557891
2020-09-18,52.02,52.039,51.565,51.71,44.1718,1894018
2020-09-21,50.26,50.36,49.7,50.34,43.2878,3211577
2020-09-22,50.29,50.315,49.82,50.25,43.2104,2267740
2020-09-23,50.42,50.445,49.66,49.71,42.7461,2655287
2020-09-24,49.44,49.94,49.225,49.6,42.6515,3191917
2020-09-25,49.22,49.78,49.03,49.78,42.8063,3955356
2020-09-28,50.42,50.5172,50.29,50.46,43.391,1673714
2020-09-29,50.41,50.54,50.21,50.42,43.3566,2441686
2020-09-30,50.4,50.74,50.31,50.45,43.3824,2880445
2020-10-01,50.77,50.83,50.51,50.82,43.7006,1651763
2020-10-02,50.17,50.75,50.13,50.59,43.5028,1955373
2020-10-05,50.96,51.36,50.94,51.36,44.1649,1373519
2020-10-06,51.41,51.5177,50.8306,50.94,43.8038,3077669
2020-10-07,51.39,51.55,51.2965,51.47,44.2595,1787087
2020-10-08,51.66,51.84,51.61,51.84,44.5777,1387663
2020-10-09,52.01,52.2323,51.95,52.19,44.8786,2320151
2020-10-12,52.35,52.57,52.28,52.5,45.1452,1475347
2020-10-13,52.16,52.2,51.94,52.06,44.7669,1665050
2020-10-14,52.18,52.27,51.89,51.89,44.6207,1273364
2020-10-15,50.99,51.4175,50.941,51.37,44.1735,2279053
2020-10-16,51.57,51.74,51.45,51.56,44.3369,2718038
2020-10-19,51.79,51.88,51.3,51.39,44.1907,1886334
2020-10-20,51.7,51.985,51.65,51.73,44.4831,2563159
2020-10-21,51.7,51.9459,51.58,51.6,44.3713,2659194
2020-10-22,51.59,51.71,51.29,51.62,44.3885,1877615
2020-10-23,51.85,51.93,51.62,51.93,44.6551,1614686
2020-10-26,51.26,51.37,50.72,51.05,43.8984,3244642
2020-10-27,51.05,51.065,50.8,50.86,43.735,1461254
2020-10-28,49.85,49.94,49.43,49.46,42.5311,3614679
2020-10-29,49.56,49.94,49.306,49.76,42.7891,4406471
2020-10-30,49.51,49.57,49.09,49.41,42.4881,2946497
2020-11-02,49.99,50.05,49.6923,50.04,43.0298,2837967
2020-11-03,50.73,51.14,50.66,50.95,43.8124,3206256
2020-11-04,51.34,52.15,51.16,51.8,44.5433,3508970
2020-11-05,52.89,53.045,52.63,52.97,45.5494,2951341
2020-11-06,53.07,53.3,52.905,53.12,45.6784,2724154
2020-11-09,55.37,55.46,54.21,54.23,46.6329,3905263
2020-11-10,54.47,54.72,54.23,54.44,46.8134,2657833
2020-11-11,54.66,54.8672,54.56,54.84,47.1574,2374485
2020-11-12,54.56,54.69,54.02,54.13,46.5469,2299684
2020-11-13,54.57,54.95,54.535,54.92,47.2262,2375804
