Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,39.43,39.81,39.43,39.81,39.81,1
2019-05-17,39.92,39.92,39.92,39.92,39.92,0
2019-05-20,39.45,39.45,39.45,39.45,39.45,0
2019-05-21,39.62,39.62,39.62,39.62,39.62,0
2019-05-22,39.72,39.96,39.72,39.915,39.915,10000
2019-05-23,39.295,39.295,39.295,39.295,39.295,0
2019-05-24,39.285,39.285,39.285,39.285,39.285,0
2019-05-28,39.385,39.385,39.385,39.385,39.385,0
2019-05-29,38.86,38.86,38.86,38.86,38.86,0
2019-05-30,39.045,39.045,39.045,39.045,39.045,0
2019-05-31,38.75,38.75,38.75,38.75,38.75,0
2019-06-03,38.56,38.56,38.56,38.56,38.56,0
2019-06-04,38.845,38.845,38.845,38.845,38.845,0
2019-06-05,39.135,39.135,39.135,39.135,39.135,0
2019-06-06,39.4,39.4,39.4,39.4,39.4,0
2019-06-07,39.875,39.875,39.875,39.875,39.875,0
2019-06-10,40.385,40.385,40.385,40.385,40.385,0
2019-06-11,40.175,40.175,40.175,40.175,40.175,0
2019-06-12,39.975,39.975,39.975,39.975,39.975,0
2019-06-13,40.225,40.225,40.225,40.225,40.225,0
2019-06-14,40.465,40.465,40.465,40.465,40.465,0
2019-06-17,40.715,40.715,40.715,40.715,40.715,0
2019-06-18,41.155,41.155,41.155,41.155,41.155,0
2019-06-19,41.01,41.01,40.835,40.835,40.835,10
2019-06-20,41.16,41.16,40.955,40.955,40.955,121
2019-06-21,41.185,41.185,41.185,41.185,41.185,0
2019-06-24,41.03,41.05,41.005,41.005,41.005,973
2019-06-25,40.805,40.805,40.805,40.805,40.805,0
2019-06-26,40.74,40.74,40.74,40.74,40.74,0
2019-06-27,40.67,40.77,40.67,40.74,40.74,20000
2019-06-28,40.79,40.79,40.79,40.79,40.79,0
2019-07-01,41.395,41.395,41.395,41.395,41.395,0
2019-07-02,41.615,41.615,41.615,41.615,41.615,0
2019-07-03,42.015,42.015,42.015,42.015,42.015,0
2019-07-04,42.155,42.155,42.155,42.155,42.155,0
2019-07-05,42.11,42.11,42.11,42.11,42.11,0
2019-07-08,42.625,42.625,42.065,42.065,42.065,24
2019-07-09,42.21,42.215,42.14,42.215,42.215,260
2019-07-10,42.285,42.285,42.285,42.285,42.285,0
2019-07-11,42.3,42.4,42.265,42.265,42.265,470
2019-07-12,42.39,42.39,42.345,42.345,42.345,118
2019-07-15,42.945,42.945,42.51,42.585,42.585,4332
2019-07-16,42.925,42.925,42.925,42.925,42.925,0
2019-07-17,42.615,42.615,42.615,42.615,42.615,0
2019-07-18,42.22,42.26,42.185,42.185,42.185,2391
2019-07-19,42.5,42.5,42.415,42.415,42.415,115
2019-07-22,42.6,42.6,42.245,42.245,42.245,246
2019-07-23,42.65,42.69,42.56,42.57,42.57,490
2019-07-24,42.66,42.66,42.595,42.595,42.595,236
2019-07-25,43.12,43.12,42.705,42.705,42.705,5239
2019-07-26,43.195,43.195,43.195,43.195,43.195,0
2019-07-29,43.65,43.78,43.47,43.755,43.755,1096
2019-07-30,44.26,44.26,43.78,43.915,43.915,3198
2019-07-31,44,44,43.695,43.695,43.695,74
2019-08-01,43.605,43.935,43.605,43.935,43.935,1113
2019-08-02,42.92,43.38,42.65,42.6725,42.6725,946
2019-08-05,42.12,42.12,41.8375,41.8375,41.8375,2523
2019-08-06,41.42,41.695,41.42,41.585,41.585,11728
2019-08-07,41.85,42.125,41.245,41.59,41.59,7292
2019-08-08,42.4,42.645,42.38,42.5675,42.5675,1831
2019-08-09,42.97,42.97,42.52,42.52,42.52,1807
2019-08-12,42.68,42.7,42.46,42.46,42.46,1702
2019-08-13,42.8875,42.8875,42.8875,42.8875,42.8875,0
2019-08-14,42.44,42.905,42.0425,42.0425,42.0425,3156
2019-08-15,41.97,41.97,41.59,41.6125,41.6125,137
2019-08-16,42.2,42.2,41.87,42.09,42.09,635
2019-08-19,42.66,42.745,42.59,42.7125,42.7125,3203
2019-08-20,42.92,43.05,42.5625,42.5625,42.5625,1097
2019-08-21,42.7075,42.7075,42.7075,42.7075,42.7075,0
2019-08-22,42.64,42.78,42.155,42.155,42.155,2238
2019-08-23,42.15,42.625,41.61,41.61,41.61,2282
2019-08-27,41.95,41.95,41.465,41.465,41.465,364
2019-08-28,41.775,41.795,41.775,41.795,41.795,270
2019-08-29,42.43,42.47,42.395,42.47,42.47,245
2019-08-30,42.7,42.755,42.4425,42.4425,42.4425,1259
2019-09-02,42.93,42.935,42.8,42.8225,42.8225,2544
2019-09-03,42.64,43.095,42.595,42.595,42.595,3779
2019-09-04,42.6275,42.6275,42.6275,42.6275,42.6275,0
2019-09-05,42.82,42.835,42.68,42.8125,42.8125,3525
2019-09-06,43.05,43.05,42.82,42.9425,42.9425,2995
2019-09-09,43.295,43.39,42.84,42.84,42.84,4658
2019-09-10,42.745,42.745,42.465,42.49,42.49,74
2019-09-11,42.9825,42.9825,42.9825,42.9825,42.9825,0
2019-09-12,43.2,43.315,43.175,43.315,43.315,60000
2019-09-13,43.055,43.155,42.9275,42.9275,42.9275,964
2019-09-16,42.8575,42.8575,42.8575,42.8575,42.8575,0
2019-09-17,42.62,42.835,42.62,42.6275,42.6275,1073
2019-09-18,42.87,42.87,42.6075,42.6075,42.6075,7221
2019-09-19,42.72,42.945,42.65,42.92,42.92,5321
2019-09-20,42.755,42.755,42.755,42.755,42.755,0
2019-09-23,43.01,43.01,42.69,42.69,42.69,159
2019-09-24,42.9,42.925,42.6275,42.6275,42.6275,3210
2019-09-25,42.65,42.65,42.65,42.65,42.65,0
2019-09-26,42.625,42.625,42.625,42.625,42.625,0
2019-09-27,43.09,43.14,43.0075,43.0075,43.0075,4073
2019-09-30,42.88,42.9975,42.84,42.9975,42.9975,4456
2019-10-01,43.07,43.085,42.94,42.94,42.94,4388
2019-10-02,42.275,42.275,41.685,41.685,41.685,204
2019-10-03,41.74,41.84,41.42,41.42,41.42,1243
2019-10-04,41.77,42.315,41.77,42.315,42.315,1332
2019-10-07,42.47,42.5275,42.415,42.5275,42.5275,252
2019-10-08,42.42,42.525,42.21,42.21,42.21,10543
2019-10-09,42.28,42.53,42.26,42.3125,42.3125,22235
