Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-02,70.62,71,70.43,70.71,70.71,404527
2024-01-03,70.58,70.81,70.02,70.135,70.135,146824
2024-01-04,69.89,70.08,69.6281,69.975,69.975,69628
2024-01-05,69.54,69.76,69.43,69.53,69.53,122845
2024-01-08,69.47,69.74,69.35,69.625,69.625,182169
2024-01-09,70.21,70.34,69.96,70.305,70.305,92452
2024-01-10,70.47,70.56,70.25,70.445,70.445,121686
2024-01-11,70.73,70.98,70.19,70.29,70.29,73600
2024-01-12,70.32,70.85,70.31,70.505,70.505,35160
2024-01-15,70.6,70.89,70.48,70.605,70.605,82291
2024-01-16,70.69,71.31,70.6,70.92,70.92,75913
2024-01-17,70.54,70.697,70.33,70.425,70.425,55847
2024-01-18,70.29,70.84,70.03,70.625,70.625,110385
2024-01-19,71.05,71.39,71.05,71.32,71.32,104968
2024-01-22,71.88,72,71.73,71.86,71.86,153904
2024-01-23,71.71,72.27,71.63,72.03,72.03,82443
2024-01-24,72.36,72.57,71.98,72.27,72.27,109110
2024-01-25,72.04,72.52,71.95,72.505,72.505,73898
2024-01-26,72.33,72.59,72.14,72.51,72.51,104259
2024-01-29,72.42,72.76,72.37,72.61,72.61,115584
2024-01-30,73.01,73.3,72.92,73.195,73.195,114622
2024-01-31,72.91,72.97,72.12,72.32,72.32,103015
2024-02-01,72.27,72.55,71.9466,71.98,71.98,127791
2024-02-02,72.82,73.62,72.6,73.615,73.615,128544
2024-02-05,73.83,74.32,73.75,74.045,74.045,143463
2024-02-06,74.17,74.24,73.84,73.97,73.97,131418
2024-02-07,73.85,74.4,73.77,74.355,74.355,97530
2024-02-08,74.51,74.84,74.3858,74.445,74.445,103641
2024-02-09,74.51,74.92,74.48,74.67,74.67,111005
2024-02-12,74.78,75.23,74.78,75.23,75.23,161627
2024-02-13,74.73,74.9,73.93,74.22,74.22,137168
2024-02-14,74.41,74.94,74.3736,74.63,74.63,109613
2024-02-15,75.17,75.28,74.82,74.965,74.965,108712
2024-02-16,75.33,75.57,74.95,75.23,75.23,57933
2024-02-19,74.73,75.01,74.64,74.975,74.975,68505
2024-02-20,74.76,74.81,73.9,74.165,74.165,89721
2024-02-21,74.18,74.45,73.98,74.145,74.145,120007
2024-02-22,74.84,75.72,74.72,75.56,75.56,91178
2024-02-23,75.69,75.91,75.47,75.69,75.69,53602
2024-02-26,75.5,75.83,75.34,75.535,75.535,177464
2024-02-27,75.3,75.64,75.19,75.225,75.225,101017
2024-02-28,75.54,75.61,75.34,75.555,75.555,109789
2024-02-29,75.47,76,75.18,75.775,75.775,131285
2024-03-01,76.12,76.36,75.84,76.31,76.31,116878
2024-03-04,76.34,76.43,76.1273,76.16,76.16,226989
2024-03-05,76.11,76.18,75.25,75.39,75.39,123910
2024-03-06,75.44,75.89,75.39,75.715,75.715,125504
2024-03-07,75.34,76.1,75.23,75.87,75.87,95222
2024-03-08,75.95,76.02,75.32,75.61,75.61,111236
2024-03-11,75.17,75.3,74.81,75.22,75.22,199736
2024-03-12,75.79,76.35,75.46,76.09,76.09,132522
2024-03-13,76.37,76.39,76.05,76.12,76.12,88271
2024-03-14,76.31,76.4,75.87,76.175,76.175,125230
2024-03-15,76.28,76.57,75.5806,75.675,75.675,143592
2024-03-18,75.96,76.67,75.88,76.515,76.515,219702
2024-03-19,76.45,76.6,76.11,76.5,76.5,166174
2024-03-20,76.73,77,76.73,76.78,76.78,138302
2024-03-21,77.54,78.34,77.09,78.31,78.31,178639
2024-03-22,78.39,78.73,78.22,78.32,78.32,169268
2024-03-25,78.29,78.57,77.79,77.97,77.97,260964
2024-03-26,77.98,78.3,77.9474,78.135,78.135,181000
2024-03-27,78.01,78.37,77.89,77.975,77.975,149781
