Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,3.9365,3.9507,3.9194,3.95,3.95,130191
2019-05-17,3.9311,3.9455,3.9311,3.9455,3.9455,14437
2019-05-20,3.9285,3.9522,3.886,3.8945,3.8945,102311
2019-05-21,3.914,3.914,3.914,3.914,3.914,0
2019-05-22,3.952,3.952,3.9274,3.932,3.932,61991
2019-05-23,3.9135,3.9253,3.874,3.874,3.874,10505
2019-05-24,3.881,3.8876,3.8715,3.8718,3.8718,6503
2019-05-28,3.889,3.9015,3.8862,3.8862,3.8862,6422
2019-05-29,3.8375,3.8536,3.8235,3.8385,3.8385,16184
2019-05-30,3.866,3.866,3.8455,3.855,3.855,59376
2019-05-31,3.815,3.821,3.8081,3.819,3.819,9416
2019-06-03,3.787,3.818,3.787,3.8142,3.8142,39217
2019-06-04,3.8305,3.848,3.82,3.8475,3.8475,22318
2019-06-05,3.892,3.892,3.8475,3.8608,3.8608,74250
2019-06-06,3.8905,3.8905,3.8525,3.8612,3.8612,3106
2019-06-07,3.8865,3.898,3.878,3.891,3.891,69540
2019-06-10,3.944,3.944,3.9105,3.9415,3.9415,11006
2019-06-11,3.939,3.9481,3.9195,3.9195,3.9195,18595
2019-06-12,3.902,3.913,3.902,3.9055,3.9055,145696
2019-06-13,3.9385,3.9395,3.9285,3.9325,3.9325,23152
2019-06-14,3.9405,3.943,3.9364,3.943,3.943,67086
2019-06-17,3.9385,3.9575,3.9346,3.957,3.957,29735
2019-06-18,3.952,4.0002,3.9444,4.0002,4.0002,11492
2019-06-19,3.987,3.9905,3.976,3.978,3.978,57520
2019-06-20,4.0155,4.0252,3.9952,3.9952,3.9952,19796
2019-06-21,4.003,4.003,3.9862,3.9875,3.9875,37502
2019-06-24,3.9655,4.0015,3.9545,3.96,3.96,37410
2019-06-25,3.95,3.9525,3.9385,3.948,3.948,72880
2019-06-26,3.9485,3.9521,3.941,3.941,3.941,299101
2019-06-27,3.932,4.0005,3.931,3.9578,3.9578,24395
2019-06-28,3.995,4.002,3.9864,4.002,4.002,75597
2019-07-01,4.0655,4.069,4.044,4.044,4.044,89391
2019-07-02,4.0555,4.067,4.055,4.0635,4.0635,10850
2019-07-03,4.0935,4.103,4.079,4.099,4.099,21865
