Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,5.51,5.585,5.51,5.531,5.531,218155
2020-01-03,5.531,5.531,5.465,5.5165,5.5165,3004
2020-01-06,5.53,5.53,5.487,5.5075,5.5075,47177
2020-01-07,5.536,5.537,5.509,5.515,5.515,10211
2020-01-08,5.526,5.526,5.492,5.507,5.507,64758
2020-01-09,5.544,5.544,5.507,5.524,5.524,18672
2020-01-10,5.562,5.562,5.5155,5.5155,5.5155,61569
2020-01-13,5.55,5.55,5.501,5.5235,5.5235,211497
2020-01-14,5.52,5.5335,5.511,5.5335,5.5335,92538
2020-01-15,5.554,5.562,5.529,5.561,5.561,305503
2020-01-16,5.581,5.596,5.575,5.5845,5.5845,53222
2020-01-17,5.606,5.617,5.5905,5.5905,5.5905,20654
2020-01-20,5.591,5.591,5.5895,5.5895,5.5895,661
2020-01-21,5.606,5.606,5.57,5.576,5.576,40256
2020-01-22,5.623,5.623,5.575,5.575,5.575,24660
2020-01-23,5.557,5.568,5.525,5.525,5.525,94833
2020-01-24,5.58,5.584,5.5325,5.5325,5.5325,31516
2020-01-27,5.493,5.493,5.4195,5.4195,5.4195,54477
2020-01-28,5.412,5.463,5.412,5.461,5.461,100526
2020-01-29,5.503,5.503,5.462,5.4675,5.4675,32192
2020-01-30,5.438,5.438,5.4,5.4095,5.4095,31227
2020-01-31,5.468,5.468,5.357,5.3655,5.3655,89712
2020-02-03,5.399,5.399,5.349,5.384,5.384,60438
2020-02-04,5.435,5.4645,5.435,5.4645,5.4645,144688
2020-02-05,5.486,5.526,5.486,5.514,5.514,9294
2020-02-06,5.525,5.541,5.512,5.521,5.521,10276
2020-02-07,5.5,5.503,5.473,5.473,5.473,26298
2020-02-10,5.507,5.507,5.445,5.464,5.464,19369
2020-02-11,5.501,5.524,5.501,5.5225,5.5225,5729
2020-02-12,5.546,5.546,5.537,5.54,5.54,21163
2020-02-13,5.541,5.5455,5.51,5.5455,5.5455,6909
2020-02-14,5.546,5.565,5.546,5.5515,5.5515,135614
2020-02-17,5.58,5.58,5.54,5.55,5.55,18310
2020-02-18,5.544,5.544,5.5035,5.5035,5.5035,49862
2020-02-19,5.538,5.543,5.523,5.543,5.543,20931
2020-02-20,5.573,5.573,5.5,5.5,5.5,89362
2020-02-21,5.522,5.522,5.492,5.4985,5.4985,2562
2020-02-24,5.437,5.437,5.304,5.317,5.317,227153
2020-02-25,5.351,5.351,5.2375,5.2375,5.2375,84933
2020-02-26,5.172,5.223,5.096,5.215,5.215,45982
2020-02-27,5.083,5.087,4.95,5.0205,5.0205,30597
2020-02-28,4.8845,5.1,4.8,4.8262,4.8262,319099
2020-03-02,4.935,4.9855,4.8245,4.9172,4.9172,64394
2020-03-03,4.999,5.052,4.947,4.9518,4.9518,153902
2020-03-04,4.96,5.022,4.956,4.965,4.965,43897
2020-03-05,5.01,5.01,4.92,4.947,4.947,66136
2020-03-06,4.856,4.856,4.75,4.789,4.789,13144
2020-03-09,4.316,4.7225,4.316,4.484,4.484,229191
2020-03-10,4.5265,4.5965,4.357,4.3945,4.3945,22120
2020-03-11,4.4615,4.4615,4.3215,4.329,4.329,60110
2020-03-12,4.22,4.22,3.764,3.8145,3.8145,313667
2020-03-13,3.923,4.0985,3.771,3.7955,3.7955,462220
2020-03-16,3.8,3.8,3.504,3.6562,3.6562,207184
2020-03-17,3.748,3.748,3.5,3.631,3.631,163947
2020-03-18,3.515,3.52,3.37,3.3858,3.3858,308015
2020-03-19,3.33,3.42,3.2715,3.3735,3.3735,21111
2020-03-20,3.6395,3.6395,3.4338,3.4338,3.4338,103524
2020-03-23,3.364,3.489,3.2605,3.2905,3.2905,125529
2020-03-24,3.52,3.6155,3.4415,3.6025,3.6025,27402
2020-03-25,3.733,3.7425,3.6227,3.7425,3.7425,60878
2020-03-26,3.7285,3.9335,3.6835,3.894,3.894,33298
2020-03-27,3.8855,3.8855,3.8025,3.8412,3.8412,17192
2020-03-30,3.83,3.853,3.7915,3.8428,3.8428,16718
2020-03-31,3.9335,3.9335,3.844,3.908,3.908,77713
2020-04-01,3.79,3.79,3.6715,3.725,3.725,179440
2020-04-02,3.79,3.79,3.6575,3.707,3.707,13126
2020-04-03,3.6505,3.7215,3.6162,3.6162,3.6162,30304
2020-04-06,3.808,3.808,3.7,3.7845,3.7845,715382
2020-04-07,3.974,4,3.8985,3.957,3.957,33901
2020-04-08,3.935,3.9805,3.8755,3.9798,3.9798,20209
2020-04-09,4.1315,4.16,4.008,4.1505,4.1505,75466
2020-04-14,4.107,4.241,4.107,4.143,4.143,113837
2020-04-15,4.2075,4.2075,3.99,4.006,4.006,52088
2020-04-16,4.1105,4.1105,3.9815,3.9998,3.9998,3826
2020-04-17,4.195,4.195,4.093,4.093,4.093,67889
2020-04-20,4.144,4.1805,4.0515,4.1362,4.1362,168589
2020-04-21,4.088,4.091,3.9798,3.9798,3.9798,37552
2020-04-22,4.055,4.0765,4.0265,4.052,4.052,202886
2020-04-23,4.034,4.1535,4.034,4.1428,4.1428,209058
2020-04-24,4.128,4.128,4.0475,4.0895,4.0895,16124
