Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-02,7.059,7.059,6.92,6.948,6.948,121809
2024-01-03,6.974,6.974,6.789,6.8225,6.8225,129436
2024-01-04,6.8,6.83,6.765,6.816,6.816,214112
2024-01-05,6.78,6.837,6.71,6.822,6.822,123365
2024-01-08,6.786,6.844,6.745,6.843,6.843,228607
2024-01-09,6.831,6.899,6.81,6.842,6.842,200791
2024-01-10,6.88,6.88,6.81,6.8315,6.8315,438519
2024-01-11,6.906,6.906,6.76,6.761,6.761,182896
2024-01-12,6.843,6.896,6.81,6.832,6.832,231039
2024-01-15,6.827,6.847,6.787,6.847,6.847,2137288
2024-01-16,6.769,6.775,6.724,6.775,6.775,384066
2024-01-17,6.681,6.715,6.626,6.668,6.668,136252
2024-01-18,6.668,6.728,6.662,6.69,6.69,149384
2024-01-19,6.73,6.741,6.673,6.685,6.685,27974
2024-01-22,6.778,6.853,6.761,6.825,6.825,172204
2024-01-23,6.861,6.875,6.798,6.798,6.798,153867
2024-01-24,6.876,6.9,6.828,6.849,6.849,379755
2024-01-25,6.806,6.865,6.788,6.821,6.821,154794
2024-01-26,6.818,6.896,6.808,6.8515,6.8515,125930
2024-01-29,6.855,6.867,6.825,6.8555,6.8555,348199
2024-01-30,6.922,6.929,6.858,6.878,6.878,150771
2024-01-31,6.899,6.91,6.851,6.862,6.862,91756
2024-02-01,6.818,6.83,6.747,6.76,6.76,458754
2024-02-02,6.868,6.872,6.758,6.792,6.792,95451
2024-02-05,6.79,6.8,6.684,6.71,6.71,379359
2024-02-06,6.735,6.776,6.706,6.7705,6.7705,494670
2024-02-07,6.782,6.813,6.759,6.7675,6.7675,140678
2024-02-08,6.773,6.812,6.756,6.795,6.795,255179
2024-02-09,6.821,6.877,6.804,6.831,6.831,127599
2024-02-12,6.879,6.964,6.873,6.964,6.964,63563
2024-02-13,6.99,6.99,6.747,6.814,6.814,330525
2024-02-14,6.792,6.842,6.778,6.819,6.819,181077
2024-02-15,6.885,6.952,6.885,6.9265,6.9265,211064
2024-02-16,6.977,6.993,6.913,6.979,6.979,105146
2024-02-19,6.952,6.967,6.933,6.937,6.937,175429
2024-02-20,6.949,6.952,6.899,6.906,6.906,90500
2024-02-21,6.919,6.922,6.873,6.8905,6.8905,81927
2024-02-22,6.949,6.974,6.917,6.9415,6.9415,93975
2024-02-23,6.952,6.966,6.922,6.956,6.956,142836
2024-02-26,6.953,6.984,6.931,6.969,6.969,111072
2024-02-27,6.977,7.0185,6.967,7.0185,7.0185,128953
2024-02-28,7.013,7.013,6.9655,7.004,7.004,130036
2024-02-29,7.004,7.081,6.984,7.007,7.007,239705
2024-03-01,7.033,7.087,7.003,7.071,7.071,350626
2024-03-04,7.076,7.094,7.06,7.086,7.086,431897
2024-03-05,7.06,7.08,7.045,7.052,7.052,129547
2024-03-06,7.059,7.12,7.058,7.1115,7.1115,101837
2024-03-07,7.098,7.167,7.08,7.149,7.149,214894
2024-03-08,7.17,7.237,7.142,7.176,7.176,177597
2024-03-11,7.16,7.172,7.079,7.108,7.108,111564
2024-03-12,7.115,7.143,7.072,7.106,7.106,291041
2024-03-13,7.109,7.1555,7.1,7.135,7.135,107737
2024-03-14,7.174,7.174,7.04,7.046,7.046,38297
2024-03-15,7.045,7.076,7.04,7.047,7.047,344887
2024-03-18,7.119,7.119,7.048,7.067,7.067,220206
2024-03-19,7.08,7.08,7.014,7.076,7.076,98272
2024-03-20,7.08,7.098,7.059,7.083,7.083,92808
2024-03-21,7.217,7.237,7.198,7.227,7.227,136027
2024-03-22,7.228,7.238,7.172,7.172,7.172,130544
2024-03-25,7.165,7.196,7.147,7.189,7.189,588347
2024-03-26,7.191,7.223,7.189,7.195,7.195,41276
2024-03-27,7.2,7.244,7.19,7.243,7.243,147079
2024-03-28,7.274,7.319,7.224,7.316,7.316,403253
2024-04-02,7.22,7.252,7.133,7.14,7.14,275833
2024-04-03,7.138,7.202,7.125,7.199,7.199,289221
2024-04-04,7.213,7.262,7.193,7.249,7.249,186372
2024-04-05,7.151,7.172,7.108,7.165,7.165,100468
2024-04-08,7.163,7.228,7.146,7.218,7.218,252738
2024-04-09,7.221,7.25,7.187,7.201,7.201,229001
2024-04-10,7.258,7.263,7.064,7.103,7.103,369566
2024-04-11,7.095,7.11,7.035,7.063,7.063,392115
2024-04-12,7.118,7.128,7.019,7.038,7.038,206422
2024-04-15,7.026,7.052,6.957,6.99,6.99,290083
2024-04-16,6.878,6.8844,6.829,6.863,6.863,340511
2024-04-17,6.862,6.906,6.839,6.8445,6.8445,263765
2024-04-18,6.849,6.931,6.818,6.88,6.88,162467
2024-04-19,6.792,6.846,6.768,6.826,6.826,974055
2024-04-22,6.86,6.88,6.829,6.845,6.845,612957
2024-04-23,6.886,6.999,6.883,6.999,6.999,391397
2024-04-24,6.985,6.99,6.939,6.939,6.939,416119
2024-04-25,6.958,6.977,6.842,6.8815,6.8815,209815
2024-04-26,6.924,7.025,6.913,6.947,6.947,144776
2024-04-29,6.986,7.023,6.984,7.0205,7.0205,195343
2024-04-30,7.014,7.019,6.948,6.95,6.95,282250
2024-05-01,6.9,6.931,6.865,6.895,6.895,30837
2024-05-02,6.97,7.026,6.939,6.97,6.97,132428
2024-05-03,7.035,7.135,7.013,7.0785,7.0785,56093
2024-05-07,7.14,7.192,7.125,7.1905,7.1905,247929
