Date,Open,High,Low,Close,Adjusted_close,Volume
2024-08-27,33.1258,33.1258,33.1258,33.1258,33.1258,0
2024-08-28,33.1397,33.1397,33.1397,33.1397,33.1397,0
2024-08-29,29.219849999999997,29.219849999999997,29.219849999999997,29.219849999999997,29.219849999999997,0
2024-08-30,25.3,25.3,25.3,25.3,25.3,0
2024-09-02,25.3075,25.3075,25.3075,25.3075,25.3075,0
2024-09-03,25.36,25.36,25.1225,25.1225,25.1225,1396
2024-09-04,24.855,24.855,24.8401,24.8425,24.8425,69
2024-09-05,24.8303,24.8303,24.76,24.76,24.76,80
2024-09-06,24.8031,24.8031,24.4375,24.4375,24.4375,340
2024-09-09,24.78,24.78,24.7375,24.7375,24.7375,2790
2024-09-10,24.625,24.625,24.625,24.625,24.625,0
2024-09-11,24.75,24.75,24.6475,24.6475,24.6475,2
2024-09-12,24.8575,24.8575,24.8575,24.8575,24.8575,0
2024-09-13,24.9975,24.9975,24.9975,24.9975,24.9975,0
2024-09-16,24.955,25.0514,24.8975,24.8975,24.8975,1306
2024-09-17,25.0475,25.0475,25.0475,25.0475,25.0475,0
2024-09-18,24.8275,24.8275,24.8275,24.8275,24.8275,0
2024-09-19,25.1575,25.1575,25.1575,25.1575,25.1575,0
2024-09-20,25.0634,25.0634,24.895,24.895,24.895,503
2024-09-23,24.9025,24.9025,24.9025,24.9025,24.9025,0
2024-09-24,24.9775,24.9775,24.9775,24.9775,24.9775,0
2024-09-25,24.9975,24.9975,24.9975,24.9975,24.9975,0
2024-09-26,25.2938,25.2938,25.255,25.255,25.255,3163
2024-09-27,25.2,25.33,25.2,25.33,25.33,2645
2024-09-30,25.24,25.24,25.1175,25.1175,25.1175,400
2024-10-01,25.17,25.17,25.17,25.17,25.17,0
2024-10-02,25.175,25.175,25.175,25.175,25.175,0
2024-10-03,25.3,25.3,25.2075,25.2075,25.2075,1
2024-10-04,25.2875,25.2875,25.2875,25.2875,25.2875,0
2024-10-07,25.36,25.36,25.36,25.36,25.36,0
2024-10-08,25.2118,25.2118,25.1825,25.1825,25.1825,82
2024-10-09,25.2725,25.2725,25.2725,25.2725,25.2725,0
2024-10-10,25.27,25.27,25.2525,25.2525,25.2525,710
2024-10-11,25.31,25.3825,25.305,25.3825,25.3825,1357
2024-10-14,25.368,25.4575,25.368,25.4575,25.4575,35477
2024-10-15,25.32,25.32,25.1925,25.1925,25.1925,18
2024-10-16,25.21,25.21,25.205,25.2075,25.2075,1484
2024-10-17,25.38,25.38,25.295,25.295,25.295,412
2024-10-18,25.24,25.29,25.235,25.29,25.29,1124
2024-10-21,25.31,25.325,25.175,25.175,25.175,1319
2024-10-22,25.075,25.13,25.0725,25.0725,25.0725,614
2024-10-23,24.925,24.925,24.925,24.925,24.925,0
2024-10-24,25.045,25.045,24.9425,24.9425,24.9425,41
2024-10-25,25.035,25.035,24.9675,24.9675,24.9675,4
2024-10-28,25.05,25.0943,25.05,25.0725,25.0725,494
2024-10-29,25.1749,25.1749,24.9275,24.9275,24.9275,3656
2024-10-30,24.8833,24.8833,24.8225,24.8225,24.8225,2012
2024-10-31,24.7,24.75,24.7,24.75,24.75,759
2024-11-01,24.8,24.86,24.8,24.8525,24.8525,500
2024-11-04,24.87,24.9062,24.87,24.8775,24.8775,1552
2024-11-05,24.8813,24.9,24.7777,24.9,24.9,2147
2024-11-06,25.0,25.0,24.775,24.775,24.775,108
2024-11-07,24.9956,25.015,24.95,24.95,24.95,30
2024-11-08,24.9962,24.9962,24.79,24.8,24.8,5054
2024-11-11,24.995,25.04,24.9909,25.0,25.0,9095
2024-11-12,24.899,24.935,24.785,24.785,24.785,203
2024-11-13,24.72,24.8261,24.6142,24.7175,24.7175,8110
2024-11-14,24.875,25.02,24.875,24.9475,24.9475,6821
2024-11-15,24.9003,24.925,24.84,24.84,24.84,1216
2024-11-18,24.855,25.03,24.81,24.905,24.905,19221
2024-11-19,24.85,24.985,24.72,24.8575,24.8575,94243
2024-11-20,24.89,24.94,24.7354,24.745,24.745,33868
2024-11-21,24.7753,24.9975,24.7753,24.9975,24.9975,8877
2024-11-22,25.215,25.295,25.05,25.2225,25.2225,3458
2024-11-25,25.2603,25.395,25.235,25.3075,25.3075,15735
2024-11-26,25.1374,25.1899,25.1374,25.155,25.155,3462
2024-11-27,25.135,25.135,25.03,25.0525,25.0525,1125
2024-11-28,25.085,25.225,25.0775,25.0775,25.0775,2784
2024-11-29,25.075,25.2425,25.075,25.2425,25.2425,673
2024-12-02,25.3476,25.3975,25.315,25.3975,25.3975,2924
