Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-22,5.2113,5.2113,5.2113,5.2113,5.2113,0
2025-04-23,5.2535,5.2535,5.2535,5.2535,5.2535,0
2025-04-24,3.9912,3.9912,3.9912,3.9912,3.9912,0
2025-04-25,4.02,4.02,3.995,3.995,3.995,980
2025-04-28,4.034,4.034,4.008,4.008,4.008,801
2025-04-29,4.0145,4.0375,4.0145,4.026,4.026,20360
2025-04-30,4.044,4.044,4.014,4.0375,4.0375,31457
2025-05-01,4.085,4.085,4.0735,4.0735,4.0735,14797
2025-05-02,4.097,4.1168,4.097,4.1168,4.1168,20829
2025-05-06,4.0915,4.0995,4.0905,4.0992,4.0992,52860
2025-05-07,4.105,4.1055,4.094,4.094,4.094,34078
2025-05-08,4.1,4.125,4.0985,4.102,4.102,22277
2025-05-09,4.1245,4.125,4.1105,4.1105,4.1105,8828
2025-05-12,4.174,4.174,4.147,4.147,4.147,3396
2025-05-13,4.1407,4.159,4.1407,4.149,4.149,412831
2025-05-14,4.1455,4.1455,4.129,4.129,4.129,8898
2025-05-15,4.136,4.1605,4.1355,4.1605,4.1605,1039
2025-05-16,4.178,4.187,4.169,4.1715,4.1715,10750
2025-05-19,4.1685,4.178,4.147,4.1722,4.1722,6230
2025-05-20,4.191,4.215,4.1891,4.2048,4.2048,12150
2025-05-21,4.2015,4.21,4.1965,4.2022,4.2022,18196
2025-05-22,4.1945,4.1945,4.149,4.1662,4.1662,18158
2025-05-23,4.1895,4.197,4.1245,4.138,4.138,17114
2025-05-27,4.064,4.2095,4.064,4.2025,4.2025,4384
2025-05-28,4.2095,4.2095,4.1745,4.1785,4.1785,8147
2025-05-29,4.221,4.221,4.1715,4.1875,4.1875,35252
2025-05-30,4.2145,4.215,4.16,4.1905,4.1905,66682
2025-06-02,4.195,4.2055,4.1715,4.1988,4.1988,6397
2025-06-03,4.2045,4.225,4.1835,4.1995,4.1995,2755
2025-06-04,4.23,4.23,4.1865,4.2098,4.2098,4959
2025-06-05,4.2185,4.23,4.2,4.2025,4.2025,35540
2025-06-06,4.2235,4.2365,4.212,4.2225,4.2225,42588
2025-06-09,4.239,4.239,4.2185,4.2208,4.2208,3780
2025-06-10,4.246,4.2535,4.2318,4.2375,4.2375,78332
2025-06-11,4.244,4.254,4.239,4.239,4.239,9516
2025-06-12,4.24,4.248,4.2121,4.2365,4.2365,61429
2025-06-13,4.23,4.23,4.1835,4.2055,4.2055,10665
2025-06-16,4.2205,4.2405,4.1865,4.2327,4.2327,21017
2025-06-17,4.2045,4.218,4.191,4.208,4.208,133110
2025-06-18,4.223,4.2395,4.212,4.213,4.213,60914
2025-06-19,4.207,4.2235,4.166,4.1782,4.1782,12702
2025-06-20,4.1,4.2055,4.1,4.1745,4.1745,73885
2025-06-23,4.177,4.186,4.1635,4.167,4.167,37076
2025-06-24,4.225,4.225,4.182,4.195,4.195,85618
2025-06-25,4.21,4.21,4.168,4.1702,4.1702,6252
2025-06-26,4.1825,4.19,4.16,4.1753,4.1753,16416
2025-06-27,4.2095,4.233,4.2,4.2298,4.2298,46999
2025-06-30,4.245,4.248,4.2185,4.2255,4.2255,112380
2025-07-01,4.215,4.236,4.2055,4.2115,4.2115,24651
2025-07-02,4.245,4.264,4.2285,4.2562,4.2562,75248
2025-07-03,4.28,4.28,4.255,4.2625,4.2625,161315
2025-07-04,4.2595,4.265,4.2297,4.265,4.265,14794
2025-07-07,4.26,4.3388,4.2255,4.2425,4.2425,28418
2025-07-08,4.27,4.27,4.2305,4.2585,4.2585,12789
2025-07-09,4.262,4.28,4.2543,4.275,4.275,37210
2025-07-10,4.295,4.3095,4.2665,4.2977,4.2977,53737
2025-07-11,4.302,4.302,4.2692,4.2788,4.2788,16224
2025-07-14,4.29,4.2968,4.2535,4.2968,4.2968,12475
2025-07-15,4.3295,4.3345,4.2755,4.2755,4.2755,130760
2025-07-16,4.273,4.282,4.2585,4.2585,4.2585,55540
2025-07-17,4.2845,4.2995,4.265,4.2855,4.2855,16205
2025-07-18,4.3035,4.315,4.2805,4.2882,4.2882,86266
2025-07-21,4.2905,4.328,4.28,4.2968,4.2968,13209
2025-07-22,4.3065,4.3065,4.2784,4.2925,4.2925,23800
2025-07-23,4.3555,4.356,4.3295,4.3422,4.3422,317883
2025-07-24,4.376,4.3905,4.3615,4.372,4.372,16016
2025-07-25,4.364,4.3749,4.3515,4.3705,4.3705,93233
2025-07-28,4.3935,4.3935,4.332,4.3355,4.3355,43884
2025-07-29,4.355,4.3755,4.3365,4.3388,4.3388,28660
2025-07-30,4.3485,4.3525,4.336,4.3457,4.3457,182555
2025-07-31,4.359,4.37,4.326,4.326,4.326,95676
2025-08-01,4.305,4.31,4.254,4.272,4.272,25249
2025-08-04,4.298,4.327,4.2855,4.325,4.325,96032
2025-08-05,4.354,4.3595,4.3235,4.33,4.33,121898
2025-08-06,4.3595,4.363,4.3445,4.3495,4.3495,186685
2025-08-07,4.3575,4.397,4.3542,4.3542,4.3542,52947
2025-08-08,4.3755,4.3805,4.358,4.3725,4.3725,17345
2025-08-11,4.384,4.3855,4.361,4.3672,4.3672,88697
2025-08-12,4.352,4.381,4.352,4.379,4.379,76752
2025-08-13,4.3945,4.399,4.3765,4.3888,4.3888,128090
2025-08-14,4.389,4.394,4.3755,4.3882,4.3882,171370
2025-08-15,4.4205,4.4315,4.4085,4.4125,4.4125,22767
2025-08-18,4.4205,4.4307,4.4005,4.4193,4.4193,44014
2025-08-19,4.4235,4.445,4.4135,4.438,4.438,319464
2025-08-20,4.4245,4.4515,4.4125,4.446,4.446,39545
2025-08-21,4.4715,4.4715,4.4215,4.4425,4.4425,210422
2025-08-22,4.448,4.4883,4.444,4.472,4.472,83378
2025-08-26,4.422,4.432,4.4021,4.427,4.427,150078
2025-08-27,4.429,4.4325,4.4065,4.4145,4.4145,275428
2025-08-28,4.4435,4.4475,4.417,4.4278,4.4278,308714
2025-08-29,4.4305,4.433,4.4082,4.4082,4.4082,288328
2025-09-01,4.43,4.4385,4.4035,4.4095,4.4095,121009
2025-09-02,4.4185,4.4218,4.3855,4.3958,4.3958,67968
2025-09-03,4.4205,4.4205,4.381,4.401,4.401,49073
2025-09-04,4.406,4.4282,4.401,4.4282,4.4282,44432
2025-09-05,4.4395,4.455,4.4145,4.4208,4.4208,90781
2025-09-08,4.4765,4.4765,4.427,4.4627,4.4627,218858
2025-09-09,4.4555,4.4595,4.4315,4.447,4.447,80148
2025-09-10,4.469,4.474,4.4485,4.4525,4.4525,52014
2025-09-11,4.468,4.48,4.453,4.4775,4.4775,121092
2025-09-12,4.4735,4.4875,4.4625,4.467,4.467,290934
2025-09-15,4.474,4.4865,4.4694,4.481,4.481,82183
2025-09-16,4.4812,4.512,4.4485,4.4513,4.4513,72758
