Date,Open,High,Low,Close,Adjusted_close,Volume
2019-05-16,3748,3764.25,3727.5,3764.25,3764.25,4593
2019-05-17,3753,3759.5,3753,3759.5,3759.5,1118
2019-05-20,3715.5,3730.45,3712.75,3712.75,3712.75,1467
2019-05-21,3744.5,3745,3734,3739.75,3739.75,1049
2019-05-22,3757,3764.25,3757,3764.25,3764.25,244
2019-05-23,3694.5,3703.75,3694.5,3703.75,3703.75,204
2019-05-24,3733.5,3733.5,3729,3729,3729,260
2019-05-28,3737,3737,3725,3725,3725,1006
2019-05-29,3700,3700,3670,3672.25,3672.25,8028
2019-05-30,3701,3701,3686.545,3700,3700,594
2019-05-31,3662,3681,3661.5,3679,3679,174
2019-06-03,3633,3671.25,3633,3671.25,3671.25,2146
2019-06-04,3657,3696,3657,3695.75,3695.75,3104
2019-06-05,3718,3726.98,3701,3707.75,3707.75,1050
2019-06-06,3718.5,3718.5,3702.535,3707.25,3707.25,414
2019-06-07,3730,3741,3730,3740.25,3740.25,266
2019-06-10,3767,3771.5,3756.545,3768.5,3768.5,1646
2019-06-11,3792.5,3793.5,3786.75,3786.75,3786.75,3535
2019-06-12,3775.5,3781,3762.5,3779,3779,202
2019-06-13,3790.5,3790.5,3783.25,3783.25,3783.25,710
2019-06-14,3774.5,3774.5,3763.5,3764.5,3764.5,4288
2019-06-17,3767.5,3775.52,3766.5,3772,3772,2659
2019-06-18,3753,3799.7532,3753,3794,3794,34669
2019-06-19,3776,3801.5,3776,3781.75,3781.75,4550
2019-06-20,3808.5,3827.0739,3803.5,3803.5,3803.5,526
2019-06-21,3809.5,3818.937,3799.5,3799.5,3799.5,266
2019-06-24,3824.5,3824.5,3804.5,3806.25,3806.25,9220
2019-06-25,3791.5,3800.5,3789.55,3798.75,3798.75,3986
2019-06-26,3798.5,3801.5,3795,3797.5,3797.5,2338
2019-06-27,3797,3810.25,3783.5,3810.25,3810.25,13002
2019-06-28,3837.7317,3839,3837.7317,3839,3839,7029
2019-07-01,3868,3872.5,3859.24,3864.5,3864.5,7950
2019-07-02,3877,3880,3864,3878.5,3878.5,8867
2019-07-03,3921.5,3921.5,3917.92,3918.25,3918.25,860
2019-07-04,3928.9046,3928.9046,3928,3928,3928,83
2019-07-05,3908,3910.6054,3894.5,3895.25,3895.25,2506
2019-07-08,3906,3906,3885,3886.75,3886.75,22446
2019-07-09,3865.25,3865.25,3865.25,3865.25,3865.25,0
2019-07-10,3861,3873.475,3860.5,3867.75,3867.75,1625
2019-07-11,3874,3874,3860,3862.5,3862.5,978
2019-07-12,3870,3878.7029,3870,3871.5,3871.5,362
2019-07-15,3900,3900,3900,3900,3900,0
2019-07-16,3912,3914.5,3896.05,3911.5,3911.5,1886
2019-07-17,3889.5,3910.42,3885,3886,3886,2136
2019-07-18,3873.5,3873.5,3851,3851.75,3851.75,9992
2019-07-19,3856,3860,3854.55,3860,3860,790
2019-07-22,3868,3872.5,3865.535,3872.5,3872.5,1678
2019-07-23,3895,3896,3889.025,3891.5,3891.5,432
2019-07-24,3894,3897,3882.1245,3892.5,3892.5,220
2019-07-25,3897,3898.075,3893.5,3898,3898,1222
2019-07-26,3901,3910.75,3901,3910.75,3910.75,7277
2019-07-29,3907,3946,3907,3944.5,3944.5,1168
2019-07-30,3916,3944.47,3916,3916.5,3916.5,252
2019-07-31,3921,3921,3896,3896,3896,704
2019-08-01,3910,3913,3899.16,3913,3913,1523
2019-08-02,3889.5,3889.5,3860.5,3861.25,3861.25,83581
2019-08-05,3794,3794,3785,3792,3792,436
2019-08-06,3793.5,3807,3785,3787,3787,10909
2019-08-07,3786.5,3798,3786.5,3793.25,3793.25,328
2019-08-08,3818,3838.25,3818,3838.25,3838.25,6934
2019-08-09,3841,3841,3824,3826.25,3826.25,1507
2019-08-12,3807,3834.985,3798.97,3806.5,3806.5,1587
2019-08-13,3769,3811,3769,3811,3811,109
2019-08-14,3745,3811.415,3727.25,3727.25,3727.25,5536
2019-08-15,3725,3733.04,3667.57,3681.5,3681.5,1502
2019-08-16,3689.065,3717.75,3689.065,3717.75,3717.75,378
2019-08-19,3755.5,3773,3754.6772,3772,3772,14849
2019-08-20,3776.5,3790.5,3752.75,3752.75,3752.75,4158
2019-08-21,3801.98,3808,3801.98,3808,3808,14
2019-08-22,3766,3767.25,3766,3767.25,3767.25,300
2019-08-23,3766.5,3766.5,3760.5,3760.5,3760.5,259
2019-08-27,3754.5,3755,3754.5,3755,3755,150
2019-08-28,3768.5,3768.5,3735,3752.25,3752.25,4520
2019-08-29,3766,3787.5,3764,3787.5,3787.5,4623
2019-08-30,3815,3817,3797.5,3797.5,3797.5,2886
2019-09-02,3822,3826.825,3819,3819,3819,244
2019-09-03,3801,3802,3801,3802,3802,186
2019-09-04,3832,3834.25,3831.5,3834.25,3834.25,269
2019-09-05,3829.5,3837.5,3827,3831.75,3831.75,3717
2019-09-06,3840,3845,3840,3845,3845,55
2019-09-09,3835,3844,3835,3838,3838,2596
2019-09-10,3823.5,3827.98,3823,3827.25,3827.25,517
2019-09-11,3859.5,3859.5,3858,3858.25,3858.25,1524
2019-09-12,3864,3875.25,3864,3875.25,3875.25,1124
2019-09-13,3884,3891.75,3884,3891.75,3891.75,65
2019-09-16,3871,3871,3856.48,3864.5,3864.5,598
2019-09-17,3855,3855,3855,3855,3855,0
2019-09-18,3863,3869.98,3863,3866.75,3866.75,402
2019-09-19,3859.5,3877,3859.5,3877,3877,2267
2019-09-20,3865,3866.5,3858,3858.25,3858.25,1256
2019-09-23,3835.5,3835.5,3833.5,3833.5,3833.5,90
2019-09-24,3832.25,3832.25,3832.25,3832.25,3832.25,0
2019-09-25,3787.475,3807.5,3787.475,3807.5,3807.5,105
2019-09-26,3831.5,3831.5,3819,3820,3820,334
2019-09-27,3853,3853,3851.5,3851.5,3851.5,111
2019-09-30,3851.25,3851.25,3851.25,3851.25,3851.25,0
2019-10-01,3850.25,3850.25,3850.25,3850.25,3850.25,0
2019-10-02,3847,3847,3758,3758,3758,166
2019-10-03,3738.03,3738.03,3731.75,3731.75,3731.75,52
2019-10-04,3782.5,3782.5,3753.97,3782,3782,270
2019-10-07,3792.5,3792.5,3792.5,3792.5,3792.5,0
2019-10-08,3809,3830.5,3770.04,3772.25,3772.25,15434
2019-10-09,3784.5,3784.5,3776,3780.25,3780.25,3579
2019-10-10,3779,3794.5,3778,3786.5,3786.5,525
2019-10-11,3787.5,3809,3787.5,3809,3809,3808
2019-10-14,3797.5,3814.5,3790.5,3814,3814,940
2019-10-15,3827.5,3829.75,3810,3829.75,3829.75,3324
2019-10-16,3813,3817.97,3802.59,3812,3812,1503
2019-10-17,3836,3836,3829.5,3829.5,3829.5,667
2019-10-18,3829.5,3831,3821,3825.75,3825.75,3522
2019-10-21,3825.5,3825.5,3825.5,3825.5,3825.5,0
2019-10-22,3840.5,3841,3827.25,3827.25,3827.25,3858
2019-10-23,3836,3841.92,3827.41,3837,3837,872
2019-10-24,3856.75,3856.75,3856.75,3856.75,3856.75,530
2019-10-25,3852,3859.5,3851,3859.5,3859.5,1514
2019-10-28,3852.2,3873.5,3852.2,3873.5,3873.5,193
2019-10-29,3873.5,3873.5,3858.75,3858.75,3858.75,2
2019-10-30,3854,3866,3854,3866,3866,22
2019-10-31,3848,3848,3848,3848,3848,0
2019-11-01,3855.5,3877.75,3855.5,3877.75,3877.75,420
2019-11-04,3895,3919,3895,3915.5,3915.5,5782
2019-11-05,3909.97,3915.5,3909.97,3915.5,3915.5,122
2019-11-06,3912,3917.415,3905.56,3914.25,3914.25,1290
2019-11-07,3936.5,3956.445,3936.5,3952,3952,3395
2019-11-08,3948.5,3951.96,3942.5,3943.5,3943.5,2739
2019-11-11,3933.5,3950.47,3932.5,3941,3941,7005
2019-11-12,3944.5,3949,3939.5,3948.5,3948.5,17319
2019-11-13,3925,3932.5,3916,3932.5,3932.5,720
2019-11-14,3927,3927,3922.5,3922.5,3922.5,739
2019-11-15,3937.5,3953.25,3935,3953.25,3953.25,8331
2019-11-18,3957.5,3958.5,3940,3948.25,3948.25,18426
2019-11-19,3978.5,3981.985,3951,3953.75,3953.75,2075
2019-11-20,3929.5,3951,3929.5,3951,3951,2869
2019-11-21,3918.5,3926.25,3913,3926.25,3926.25,1388
2019-11-22,3948.5,3953,3944,3952.75,3952.75,1490
2019-11-25,3969,3975.38,3959.5,3967.75,3967.75,8456
2019-11-26,4008.96,4008.96,4003.5,4003.5,4003.5,50
2019-11-27,4003,4015.4499,4002.75,4002.75,4002.75,4895
2019-11-28,4000.5,4011.5,4000.5,4009.5,4009.5,16
2019-11-29,4004.5,4004.5,3983.75,3983.75,3983.75,1768
2019-12-02,3986,3997.4,3963,3967,3967,10430
2019-12-03,3966.5,3966.5,3921.5,3925.5,3925.5,2421
2019-12-04,3948.5,3948.5,3948.5,3948.5,3948.5,0
2019-12-05,3954.5,3954.5,3954.5,3954.5,3954.5,0
2019-12-06,3975.5,3990.5,3967.9599,3990.5,3990.5,3816
2019-12-09,3995,3995,3963.5,3972,3972,23094
2019-12-10,3947.5,3965,3938,3965,3965,16691
2019-12-11,3962,3966,3960.985,3966,3966,178
2019-12-12,3978,4000.5,3976,4000.5,4000.5,4744
2019-12-13,4036.625,4036.625,4009.75,4009.75,4009.75,6279
2019-12-16,4040,4079,4035.5,4078.25,4078.25,1632
2019-12-17,4080.5,4099.75,4080.5,4099.75,4099.75,2377
2019-12-18,4097.5,4104.25,4091.46,4104.25,4104.25,20131
2019-12-19,4110.5,4124.5,4098.46,4118.25,4118.25,25990
2019-12-20,4121.5,4132.9099,4115.5,4118.5,4118.5,2835
