take_profit_pct,trim_pct,windows,pct_outperform,avg_diff_nav,median_diff_nav,avg_trims,avg_return_profit_take,avg_return_hold
0.15,0.05,2926,44.087491455912506,-52.79263891300729,0.0,3.3174982911825017,0.026678383082508073,0.02828550698666889
0.15,0.25,2926,43.91660970608339,-167.83178513457256,0.0,3.3174982911825017,0.02270841215566709,0.02828550698666889
0.15,0.15,2926,43.7799043062201,-120.62982696533953,0.0,3.3174982911825017,0.024408723213958143,0.02828550698666889
0.15,0.2,2926,43.7799043062201,-145.06324962279572,0.0,3.3174982911825017,0.02352826120495194,0.02828550698666889
0.15,0.1,2926,43.711551606288445,-91.26402239760415,0.0,3.3174982911825017,0.025426384199579488,0.02828550698666889
0.15,0.3,2926,43.506493506493506,-191.42254077779,0.0,3.3174982911825017,0.021890307685380896,0.02828550698666889
0.08,0.3,2926,43.233082706766915,-932.41667117981,-878.1835062793907,9.24231032125769,0.0009764342782225741,0.02828550698666889
0.05,0.3,2926,42.857142857142854,-1050.0370839442103,-1063.7032538013373,17.550922761449076,-0.0035285764304251533,0.02828550698666889
0.08,0.25,2926,42.549555707450445,-927.50673899149,-846.264718749997,9.24231032125769,0.0015677198221607951,0.02828550698666889
0.05,0.25,2926,42.378673957621324,-1099.7249599495121,-1081.198538356286,17.550922761449076,-0.004204631153237812,0.02828550698666889
0.05,0.2,2926,42.03691045796309,-1134.2466184502912,-1001.2936996380449,17.550922761449076,-0.0044042935294717235,0.02828550698666889
0.08,0.2,2926,41.49008885850991,-908.3547845352347,-731.2960051199916,9.24231032125769,0.0026004430559074974,0.02828550698666889
0.1,0.3,2926,41.42173615857826,-831.2219866258017,-548.7622579500057,6.896787423103213,0.0042884128139897264,0.02828550698666889
0.08,0.15,2926,41.31920710868079,-861.8489545071708,-645.2592917250004,9.24231032125769,0.00442383265750883,0.02828550698666889
0.05,0.15,2926,41.28503075871497,-1140.577611581138,-891.9881980213977,17.550922761449076,-0.003758761063389549,0.02828550698666889
0.08,0.05,2926,40.80656185919344,-520.3836124986123,-271.46016916562075,9.24231032125769,0.014567001481978141,0.02828550698666889
0.1,0.25,2926,40.80656185919344,-832.0045102404717,-483.8442163085929,6.896787423103213,0.004759313689915603,0.02828550698666889
0.05,0.1,2926,40.77238550922762,-1086.4279741944617,-724.8150142965897,17.550922761449076,-0.0013842897292047074,0.02828550698666889
0.08,0.1,2926,40.70403280929597,-756.3144993764536,-478.2161264732131,9.24231032125769,0.007834412278796932,0.02828550698666889
0.1,0.1,2926,40.66985645933015,-633.9008340653023,-237.3709973484947,6.896787423103213,0.011438923780111061,0.02828550698666889
0.1,0.2,2926,40.66985645933015,-811.429475266166,-420.3382951159365,6.896787423103213,0.005813215912327723,0.02828550698666889
0.1,0.15,2926,40.63568010936432,-754.1783132817856,-360.9241239693729,6.896787423103213,0.007827742191540338,0.02828550698666889
0.1,0.05,2926,40.6015037593985,-406.5412019335597,-127.07959968000068,6.896787423103213,0.017693764516312126,0.02828550698666889
0.05,0.05,2926,40.15721120984279,-859.2443493440463,-441.62787572635716,17.550922761449076,0.0055960636511381305,0.02828550698666889
0.12,0.3,2926,38.038277511961724,-1026.5473835971382,-570.010047890748,4.7631578947368425,0.0009660454264655067,0.02828550698666889
0.12,0.25,2926,37.935748462064254,-982.7894481779557,-510.0202500000014,4.7631578947368425,0.0023857928298346817,0.02828550698666889
0.12,0.15,2926,37.8673957621326,-798.3336816434928,-351.9937914750044,4.7631578947368425,0.007667658013745417,0.02828550698666889
0.12,0.1,2926,37.55980861244019,-626.3795272976089,-240.259103649998,4.7631578947368425,0.012270100153124661,0.02828550698666889
0.12,0.2,2926,37.49145591250854,-911.1279158079483,-430.9642399999975,4.7631578947368425,0.004514795010663469,0.02828550698666889
0.12,0.05,2926,37.38892686261107,-371.0190696312498,-122.60312115624401,4.7631578947368425,0.018891457453674605,0.02828550698666889
0.2,0.3,2926,29.69924812030075,-525.4970709627473,-94.26750000000175,1.3212576896787422,0.014724871611734096,0.02828550698666889
0.2,0.25,2926,29.630895420369104,-457.44699633138185,-78.55625000000146,1.3212576896787422,0.016516479259236643,0.02828550698666889
0.2,0.2,2926,29.59671907040328,-381.91863702255637,-66.1777800000018,1.3212576896787422,0.01848768328245549,0.02828550698666889
0.2,0.15,2926,29.562542720437456,-298.6636628941819,-51.418649999999616,1.3212576896787422,0.020644271591485925,0.02828550698666889
0.2,0.1,2926,29.42583732057416,-207.4300271261112,-34.279099999999744,1.3212576896787422,0.022992117806574508,0.02828550698666889
0.2,0.05,2926,29.357484620642516,-107.96196622013849,-17.139549999999872,1.3212576896787422,0.025537181258119115,0.02828550698666889
