ticker,slope_window,consec,slope_entry_thr,slope_exit_thr,consec_rises_kill,rise_kill_pct,rise_kill_window,carry_ann,other_daily_fee_ann,fee_per_trade,slippage_per_trade,buffer20,grace_days,slope_source,trades,win_rate,total_pct_return,avg_pct_return,avg_win,avg_loss,expectancy_per_trade,median_holding_days,avg_MFE_pct,avg_MAE_pct,max_draw_trade_pct,best_trade_pct,net_expectancy_per_trade,window_start,window_end,window_months,roll_seq,min_trades_window,run_id,run_mode,created_utc,window_mode,sweep_mode,sweep_series_end
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,22,0.5,0.060083,0.002731,0.013476,-0.008014,0.002731,11.5,0.010446,0.005973,-0.017615,0.039819,0.00067,2024-05-08,2025-08-08,15,7,22,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,18,0.5,0.046608,0.002589,0.012812,-0.007633,0.002589,12.5,0.011153,0.005369,-0.015222,0.038644,0.000586,2024-05-08,2025-05-08,12,7,18,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,21,0.47619,0.055058,0.002622,0.014195,-0.007899,0.002622,12.0,0.010956,0.00593,-0.017615,0.038644,0.00054,2024-05-08,2025-07-08,14,7,21,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,-0.0001,-0.0001,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,24,0.5,0.049462,0.002061,0.012997,-0.008875,0.002061,11.5,0.010165,0.006186,-0.017615,0.038644,-4.3e-05,2024-05-08,2025-09-08,16,7,24,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,21,0.428571,0.030245,0.00144,0.01239,-0.006772,0.00144,10.0,0.009066,0.005272,-0.015222,0.039819,-0.000379,2024-02-08,2025-04-08,14,6,21,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,22,0.409091,0.031156,0.001416,0.012942,-0.006563,0.001416,10.5,0.009469,0.005217,-0.015222,0.039819,-0.00042,2024-02-08,2025-05-08,15,6,22,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,20,0.45,0.026001,0.0013,0.012812,-0.008119,0.0013,11.5,0.010148,0.006226,-0.017615,0.038644,-0.000673,2024-05-08,2025-06-09,13,7,20,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.392157,0.072169,0.001415,0.013982,-0.006693,0.001415,10.0,0.010339,0.005862,-0.017615,0.039819,-0.000735,2022-08-04,2025-08-04,36,0,50,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.411765,0.061271,0.001201,0.013128,-0.007147,0.001201,11.0,0.010235,0.006002,-0.017615,0.039819,-0.00096,2022-08-04,2025-09-04,37,0,50,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.392157,0.056251,0.001103,0.013186,-0.006693,0.001103,10.0,0.010101,0.005862,-0.017615,0.039819,-0.000968,2022-08-04,2025-07-04,35,0,50,f4d0cb3879ef,research,2026-03-12T19:45:07Z,rolling_expanding,holdout,2025-09-11
