Date,SWDA.L
24-01-02,7135.0
24-01-03,7064.0
24-01-04,7061.0
24-01-05,7025.0
24-01-08,7035.0
24-01-09,7083.0
24-01-10,7097.0
24-01-11,7073.0
24-01-12,7109.0
24-01-15,7112.5
24-01-16,7130.0
24-01-17,7060.0
24-01-18,7087.0
24-01-19,7133.0
24-01-22,7189.0
24-01-23,7192.0
24-01-24,7228.0
24-01-25,7242.0
24-01-26,7258.0
24-01-29,7271.0
24-01-30,7320.0
24-01-31,7254.0
24-02-01,7231.0
24-02-02,7346.0
24-02-05,7379.0
24-02-06,7374.0
24-02-07,7396.0
24-02-08,7408.0
24-02-09,7422.0
24-02-12,7482.0
24-02-13,7381.0
24-02-14,7428.0
24-02-15,7471.0
24-02-16,7506.0
24-02-19,7489.0
24-02-20,7414.0
24-02-21,7416.5
24-02-22,7535.0
24-02-23,7548.0
24-02-26,7537.0
24-02-27,7523.0
24-02-28,7531.0
24-02-29,7544.0
24-03-01,7606.0
24-03-04,7594.0
24-03-05,7532.0
24-03-06,7567.0
24-03-07,7598.0
24-03-08,7567.0
24-03-11,7536.0
24-03-12,7611.0
24-03-13,7619.0
24-03-14,7613.0
24-03-15,7575.0
24-03-18,7637.0
24-03-19,7642.0
24-03-20,7660.0
24-03-21,7804.0
24-03-22,7806.0
24-03-25,7775.5
24-03-26,7795.0
24-03-27,7785.0
24-03-28,7814.0
24-04-02,7767.0
24-04-03,7781.0
24-04-04,7793.0
24-04-05,7740.0
24-04-08,7752.0
24-04-09,7699.5
24-04-10,7726.0
24-04-11,7734.0
24-04-12,7766.0
24-04-15,7740.0
24-04-16,7628.0
24-04-17,7587.0
24-04-18,7611.0
24-04-19,7576.0
24-04-22,7617.0
24-04-23,7674.0
24-04-24,7677.0
24-04-25,7566.0
24-04-26,7695.0
24-04-29,7671.0
24-04-30,7643.0
24-05-01,7581.0
24-05-02,7610.0
24-05-03,7694.0
24-05-07,7810.0
24-05-08,7824.0
24-05-09,7849.0
24-05-10,7869.0
24-05-13,7851.0
24-05-14,7842.0
24-05-15,7888.0
24-05-16,7919.0
24-05-17,7873.0
24-05-20,7908.0
24-05-21,7880.0
24-05-22,7865.0
24-05-23,7867.0
24-05-24,7841.0
24-05-28,7821.0
24-05-29,7788.0
24-05-30,7765.0
24-05-31,7732.0
24-06-03,7777.0
24-06-04,7758.0
24-06-05,7851.0
24-06-06,7879.0
24-06-07,7904.0
24-06-10,7888.0
24-06-11,7870.0
24-06-12,7928.0
24-06-13,7909.0
24-06-14,7934.0
24-06-17,7950.0
24-06-18,8005.0
24-06-19,7998.0
24-06-20,8044.0
24-06-21,8017.0
24-06-24,8026.0
24-06-25,8014.0
24-06-26,8024.0
24-06-27,8025.0
24-06-28,8072.0
24-07-01,8031.0
24-07-02,8027.0
24-07-03,8046.0
24-07-04,8073.0
24-07-05,8060.0
24-07-08,8066.0
24-07-09,8086.0
24-07-10,8096.0
24-07-11,8067.0
24-07-12,8090.0
24-07-15,8097.0
24-07-16,8106.0
24-07-17,8026.0
24-07-18,7985.5
24-07-19,7953.0
24-07-22,7986.0
24-07-23,8044.0
24-07-24,7901.0
24-07-25,7885.5
24-07-26,7913.0
24-07-29,7919.5
24-07-30,7915.0
24-07-31,8042.0
24-08-01,7978.0
24-08-02,7730.0
24-08-05,7613.0
24-08-06,7692.0
24-08-07,7789.0
24-08-08,7770.0
24-08-09,7787.0
24-08-12,7805.0
24-08-13,7862.0
24-08-14,7922.0
24-08-15,8021.0
24-08-16,8013.0
24-08-19,8035.0
24-08-20,8022.0
24-08-21,8023.0
24-08-22,8006.0
